timestamp,ehci7,ehci0,ehci8,ehci6,ehci4,ehci5,ehci9,ehci3,ehci2,ehci1,max,min,avg
102,0.5168,0.493,0.5056,0.493,0.419,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.419,0.4895
103,0.5168,0.493,0.5056,0.493,0.419,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.419,0.4895
104,0.5168,0.493,0.5056,0.493,0.419,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.419,0.4895
105,0.5168,0.493,0.5056,0.493,0.419,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.419,0.4895
106,0.5168,0.493,0.5056,0.493,0.419,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.419,0.4895
107,0.5168,0.493,0.5056,0.493,0.419,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.419,0.4895
108,0.5168,0.4986,0.5056,0.493,0.419,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.419,0.4901
109,0.5168,0.4986,0.5056,0.493,0.419,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.419,0.4901
110,0.5168,0.5196,0.5056,0.493,0.419,0.5126,0.4246,0.5084,0.5209,0.5014,0.5209,0.419,0.4922
111,0.5168,0.5196,0.5056,0.493,0.419,0.5126,0.4246,0.5084,0.5209,0.5098,0.5209,0.419,0.493
112,0.5168,0.5209,0.5056,0.493,0.4218,0.5126,0.4246,0.5084,0.5209,0.5098,0.5209,0.4218,0.4934
113,0.5168,0.5209,0.5056,0.493,0.4218,0.5126,0.4246,0.5084,0.5209,0.514,0.5209,0.4218,0.4939
114,0.5168,0.5209,0.5056,0.493,0.4218,0.5126,0.4246,0.5084,0.5209,0.514,0.5209,0.4218,0.4939
115,0.5168,0.5209,0.5056,0.493,0.4218,0.5126,0.4246,0.5084,0.5209,0.514,0.5209,0.4218,0.4939
116,0.5168,0.5209,0.5056,0.493,0.4218,0.5126,0.4246,0.5084,0.5209,0.514,0.5209,0.4218,0.4939
117,0.5168,0.5209,0.5056,0.493,0.4218,0.5126,0.4246,0.5084,0.5209,0.514,0.5209,0.4218,0.4939
118,0.5168,0.5209,0.5056,0.493,0.4218,0.5126,0.4246,0.5084,0.5209,0.514,0.5209,0.4218,0.4939
119,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5084,0.5209,0.514,0.5209,0.4218,0.4947
120,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5084,0.5209,0.514,0.5209,0.4218,0.4947
121,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5084,0.5209,0.514,0.5209,0.4218,0.4947
122,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5084,0.5209,0.514,0.5209,0.4218,0.4947
123,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5084,0.5209,0.514,0.5209,0.4218,0.4947
124,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5084,0.5209,0.514,0.5209,0.4218,0.4947
125,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5084,0.5209,0.514,0.5209,0.4218,0.4947
126,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5084,0.5209,0.514,0.5209,0.4218,0.4947
127,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5112,0.5209,0.514,0.5209,0.4218,0.495
128,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5112,0.5209,0.514,0.5209,0.4218,0.495
129,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5112,0.5209,0.514,0.5209,0.4218,0.495
130,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5112,0.5209,0.514,0.5209,0.4218,0.495
131,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5112,0.5209,0.514,0.5209,0.4218,0.495
132,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5112,0.5209,0.514,0.5209,0.4218,0.495
133,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5112,0.5209,0.514,0.5209,0.4218,0.495
134,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5112,0.5209,0.514,0.5209,0.4218,0.495
135,0.5168,0.5209,0.5056,0.5014,0.4218,0.5126,0.4246,0.5112,0.5209,0.514,0.5209,0.4218,0.495
136,0.5182,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5112,0.5209,0.514,0.5209,0.4218,0.4953
137,0.5182,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5112,0.5209,0.514,0.5209,0.4218,0.4953
138,0.5182,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5112,0.5209,0.514,0.5209,0.4218,0.4953
139,0.5182,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5112,0.5209,0.514,0.5209,0.4218,0.4953
140,0.5182,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5112,0.5209,0.514,0.5209,0.4218,0.4953
141,0.5182,0.5209,0.5056,0.5014,0.4218,0.5126,0.426,0.5112,0.5209,0.514,0.5209,0.4218,0.4953
