timestamp,legacy_rtl81397,legacy_rtl81399,legacy_rtl81393,legacy_rtl81395,legacy_rtl81391,legacy_rtl81394,legacy_rtl81396,legacy_rtl81390,legacy_rtl81392,max,min,avg
77,0.3189,0.3843,0.391,0.3489,0.3879,0.428,0.2835,0.287,0.5475,0.5475,0.2835,0.3752
78,0.3189,0.3941,0.391,0.3489,0.3879,0.428,0.2835,0.2905,0.5475,0.5475,0.2835,0.3767
79,0.3189,0.3941,0.391,0.3489,0.3879,0.428,0.2835,0.2905,0.5475,0.5475,0.2835,0.3767
80,0.3189,0.3941,0.391,0.3489,0.3879,0.428,0.2835,0.3166,0.5475,0.5475,0.2835,0.3796
81,0.3396,0.3941,0.3945,0.3489,0.3879,0.428,0.2835,0.3477,0.5475,0.5475,0.2835,0.3857
82,0.3396,0.3941,0.3945,0.3489,0.3879,0.428,0.285,0.3477,0.5475,0.5475,0.285,0.3859
83,0.3396,0.3941,0.3945,0.3489,0.3879,0.428,0.2944,0.3477,0.5475,0.5475,0.2944,0.387
84,0.3396,0.3941,0.3945,0.3489,0.3879,0.428,0.2944,0.3497,0.5475,0.5475,0.2944,0.3872
85,0.3431,0.3941,0.3945,0.3489,0.4007,0.428,0.3832,0.3497,0.5475,0.5475,0.3431,0.3989
86,0.3431,0.3941,0.3945,0.3489,0.4007,0.428,0.3832,0.3497,0.5475,0.5475,0.3431,0.3989
87,0.3431,0.3941,0.3945,0.3489,0.4042,0.428,0.3832,0.3497,0.5475,0.5475,0.3431,0.3992
88,0.3431,0.3941,0.3945,0.3489,0.4042,0.428,0.3832,0.3497,0.5475,0.5475,0.3431,0.3992
89,0.3431,0.3941,0.3945,0.3489,0.405,0.428,0.3832,0.3497,0.5475,0.5475,0.3431,0.3993
90,0.5117,0.3988,0.3945,0.3489,0.405,0.4365,0.3832,0.3497,0.5475,0.5475,0.3489,0.4195
91,0.5117,0.3988,0.3945,0.3489,0.405,0.4365,0.3832,0.3497,0.5475,0.5475,0.3489,0.4195
92,0.5117,0.3988,0.3945,0.5004,0.405,0.4365,0.3832,0.3497,0.5475,0.5475,0.3497,0.4364
93,0.5117,0.3988,0.3945,0.5004,0.405,0.4365,0.3832,0.3695,0.5475,0.5475,0.3695,0.4386
94,0.5117,0.3988,0.3945,0.5004,0.405,0.4365,0.3832,0.3695,0.5475,0.5475,0.3695,0.4386
95,0.5117,0.4093,0.3945,0.5004,0.4062,0.4447,0.3832,0.3695,0.5475,0.5475,0.3695,0.4408
96,0.5117,0.4128,0.3945,0.5004,0.4062,0.4455,0.3832,0.3695,0.5475,0.5475,0.3695,0.4413
97,0.5117,0.4136,0.3945,0.5039,0.4062,0.5483,0.3832,0.3695,0.5475,0.5483,0.3695,0.4532
98,0.5117,0.4136,0.3945,0.5039,0.4062,0.5483,0.3832,0.3695,0.5475,0.5483,0.3695,0.4532
99,0.5117,0.4136,0.3945,0.5039,0.4062,0.5483,0.3832,0.3695,0.551,0.551,0.3695,0.4535
100,0.5117,0.4136,0.3945,0.5039,0.4062,0.5483,0.3832,0.3695,0.551,0.551,0.3695,0.4535
101,0.5117,0.4136,0.3972,0.5039,0.4062,0.5483,0.3832,0.3695,0.551,0.551,0.3695,0.4538
102,0.5117,0.4136,0.3972,0.5039,0.4073,0.5483,0.3832,0.3695,0.551,0.551,0.3695,0.454
103,0.5117,0.4136,0.3972,0.5039,0.4073,0.5483,0.3832,0.3695,0.551,0.551,0.3695,0.454
104,0.5117,0.4136,0.3972,0.5039,0.4073,0.5483,0.3832,0.3695,0.5545,0.5545,0.3695,0.4544
105,0.5117,0.4136,0.4058,0.5039,0.4451,0.5483,0.3832,0.4097,0.5545,0.5545,0.3832,0.464
106,0.5117,0.5214,0.4058,0.5039,0.4451,0.5483,0.3832,0.4097,0.5545,0.5545,0.3832,0.476
107,0.5117,0.5214,0.4058,0.5039,0.4451,0.5483,0.3832,0.4097,0.5545,0.5545,0.3832,0.476
108,0.5117,0.5214,0.4058,0.5039,0.4451,0.5483,0.3832,0.4097,0.5545,0.5545,0.3832,0.476
109,0.5117,0.5214,0.4058,0.5039,0.4451,0.5483,0.3832,0.4097,0.5545,0.5545,0.3832,0.476
110,0.5152,0.5214,0.4128,0.5191,0.4451,0.5483,0.3832,0.4097,0.5545,0.5545,0.3832,0.4788
111,0.5187,0.5214,0.4128,0.5191,0.4451,0.5483,0.3832,0.4248,0.5545,0.5545,0.3832,0.4809
112,0.5187,0.5323,0.4128,0.5191,0.4451,0.5483,0.3832,0.4248,0.5545,0.5545,0.3832,0.4821
113,0.5187,0.5323,0.4128,0.5191,0.4451,0.5483,0.3832,0.4283,0.5545,0.5545,0.3832,0.4825
114,0.5187,0.5323,0.4128,0.5191,0.4451,0.5483,0.3832,0.4283,0.5545,0.5545,0.3832,0.4825
115,0.5187,0.5323,0.4128,0.5191,0.4467,0.5483,0.3832,0.4319,0.5545,0.5545,0.3832,0.4831
116,0.5187,0.5323,0.4128,0.5191,0.4467,0.5483,0.3832,0.4319,0.5545,0.5545,0.3832,0.4831
