timestamp,legacy_ne20001,legacy_ne20009,legacy_ne20004,legacy_ne20003,legacy_ne20005,legacy_ne20006,legacy_ne20007,legacy_ne20008,legacy_ne20000,legacy_ne20002,max,min,avg
73,0.3682,0.3727,0.2864,0.3273,0.0091,0.2591,0.4455,0.3773,0.2091,0.2091,0.4455,0.0091,0.2864
74,0.3682,0.3727,0.2864,0.2409,0.0091,0.3273,0.4455,0.3773,0.2091,0.3545,0.4455,0.0091,0.2991
75,0.3682,0.2136,0.2864,0.2409,0.0091,0.3273,0.3227,0.3727,0.2091,0.3545,0.3727,0.0091,0.2704
76,0.3682,0.2136,0.2864,0.2409,0.2818,0.3273,0.3227,0.3682,0.2091,0.3545,0.3682,0.2091,0.2973
77,0.3682,0.1955,0.2864,0.2409,0.3409,0.2636,0.2364,0.3682,0.2091,0.3545,0.3682,0.1955,0.2864
78,0.3682,0.3182,0.2864,0.2409,0.3409,0.2636,0.2318,0.3682,0.2091,0.3545,0.3682,0.2091,0.2982
79,0.3682,0.3091,0.1727,0.0091,0.3773,0.1318,0.2045,0.3409,0.3773,0.2545,0.3773,0.0091,0.2545
80,0.3682,0.3091,0.2,0.0091,0.3773,0.1318,0.1682,0.3409,0.3591,0.2545,0.3773,0.0091,0.2518
81,0.3682,0.3091,0.2,0.3864,0.3773,0.1318,0.1773,0.2318,0.2682,0.2545,0.3864,0.1318,0.2705
82,0.3682,0.3091,0.2,0.1364,0.3773,0.1318,0.4455,0.2864,0.2682,0.3455,0.4455,0.1318,0.2868
83,0.3682,0.1227,0.2,0.1409,0.3773,0.4591,0.4455,0.2864,0.0636,0.3455,0.4591,0.0636,0.2809
84,0.3682,0.1227,0.2,0.1091,0.3773,0.4591,0.4455,0.3273,0.2455,0.3455,0.4591,0.1091,0.3
85,0.3682,0.1909,0.2,0.1091,0.3773,0.4591,0.4727,0.3409,0.2455,0.3455,0.4727,0.1091,0.3109
86,0.3409,0.1636,0.2,0.1091,0.3773,0.4591,0.25,0.35,0.2455,0.2136,0.4591,0.1091,0.2709
87,0.3409,0.1636,0.2909,0.1091,0.3409,0.4591,0.2409,0.3045,0.3955,0.2136,0.4591,0.1091,0.2859
88,0.3409,0.1636,0.0227,0.1091,0.3091,0.3955,0.2409,0.3045,0.3955,0.2955,0.3955,0.0227,0.2577
89,0.3409,0.1636,0.2682,0.1091,0.3091,0.3955,0.0227,0.3045,0.3955,0.2773,0.3955,0.0227,0.2586
90,0.3409,0.1636,0.25,0.1091,0.2636,0.3955,0.35,0.1818,0.3955,0.2773,0.3955,0.1091,0.2727
91,0.3273,0.1636,0.25,0.1091,0.1636,0.3955,0.1045,0.1818,0.3955,0.2773,0.3955,0.1045,0.2368
92,0.3273,0.1682,0.25,0.1091,0.1636,0.3955,0.1045,0.1636,0.3955,0.2773,0.3955,0.1045,0.2355
93,0.3227,0.1682,0.3682,0.1091,0.4,0.3682,0.2318,0.1636,0.3955,0.2773,0.4,0.1091,0.2805
94,0.3227,0.1682,0.2364,0.4045,0.4,0.3682,0.2318,0.1636,0.4409,0.2773,0.4409,0.1636,0.3014
95,0.3,0.1682,0.2818,0.4045,0.4,0.3682,0.2318,0.1636,0.4409,0.3045,0.4409,0.1636,0.3064
96,0.3,0.1682,0.2364,0.4045,0.4,0.3682,0.2318,0.1636,0.3727,0.3045,0.4045,0.1636,0.295
97,0.1545,0.1682,0.1636,0.4045,0.3727,0.3318,0.2318,0.1636,0.3727,0.2227,0.4045,0.1545,0.2586
98,0.1545,0.1682,0.1636,0.4045,0.3727,0.3318,0.2318,0.4227,0.3636,0.2227,0.4227,0.1545,0.2836
100,0.1545,0.1682,0.2364,0.4045,0.35,0.3318,0.2318,0.4227,0.3636,0.0091,0.4227,0.0091,0.2673
101,0.3045,0.3182,0.2364,0.4045,0.2955,0.3318,0.2318,0.4227,0.3636,0.25,0.4227,0.2318,0.3159
102,0.2818,0.3182,0.2364,0.4045,0.2955,0.4727,0.2318,0.4227,0.5091,0.1318,0.5091,0.1318,0.3305
103,0.1455,0.3182,0.3591,0.3955,0.3909,0.4727,0.4955,0.4227,0.5091,0.3318,0.5091,0.1455,0.3841
105,0.1455,0.2227,0.3591,0.3955,0.3909,0.4318,0.4955,0.4227,0.5091,0.3318,0.5091,0.1455,0.3705
106,0.3318,0.2227,0.3591,0.3455,0.3909,0.4318,0.3409,0.4227,0.5091,0.3318,0.5091,0.2227,0.3686
107,0.3318,0.2,0.3591,0.3455,0.3909,0.4318,0.3409,0.4227,0.5045,0.3318,0.5045,0.2,0.3659
108,0.3318,0.2,0.3591,0.3455,0.3909,0.4318,0.3409,0.4182,0.5045,0.4409,0.5045,0.2,0.3764
110,0.3318,0.2136,0.3591,0.3455,0.3909,0.4318,0.3409,0.4182,0.5045,0.4409,0.5045,0.2136,0.3777
