timestamp,qemu_xhci4,qemu_xhci9,qemu_xhci0,qemu_xhci7,qemu_xhci8,qemu_xhci1,qemu_xhci3,qemu_xhci6,max,min,avg
89,0.5576,0.5446,0.5478,0.5391,0.5413,0.5533,0.5457,0.5435,0.5576,0.5391,0.5466
90,0.5576,0.5446,0.5489,0.5391,0.5413,0.5533,0.5457,0.5435,0.5576,0.5391,0.5468
91,0.5576,0.5446,0.5489,0.5391,0.5413,0.5533,0.5457,0.5435,0.5576,0.5391,0.5468
92,0.5576,0.5446,0.5489,0.5391,0.5413,0.5533,0.5457,0.5435,0.5576,0.5391,0.5468
93,0.5576,0.5446,0.5489,0.5391,0.5413,0.5533,0.5457,0.5435,0.5576,0.5391,0.5468
94,0.5576,0.5446,0.5489,0.5391,0.5413,0.5533,0.5457,0.5435,0.5576,0.5391,0.5468
95,0.5576,0.5446,0.5489,0.5391,0.5435,0.5533,0.5457,0.5435,0.5576,0.5391,0.547
96,0.5576,0.5446,0.5489,0.5391,0.5435,0.5543,0.5457,0.5435,0.5576,0.5391,0.5472
97,0.5576,0.5446,0.5489,0.5391,0.5435,0.5543,0.5457,0.5435,0.5576,0.5391,0.5472
98,0.5576,0.5446,0.5489,0.5391,0.5435,0.5543,0.5478,0.5435,0.5576,0.5391,0.5474
99,0.5576,0.5446,0.5489,0.5391,0.5435,0.5543,0.5478,0.5435,0.5576,0.5391,0.5474
100,0.5576,0.5446,0.5489,0.5391,0.5435,0.5543,0.5478,0.5446,0.5576,0.5391,0.5475
101,0.5576,0.5446,0.5489,0.5391,0.5435,0.5543,0.5478,0.5446,0.5576,0.5391,0.5475
102,0.5576,0.5446,0.5489,0.5391,0.5435,0.5543,0.5478,0.5446,0.5576,0.5391,0.5475
103,0.5576,0.5446,0.5489,0.5391,0.5435,0.5543,0.5478,0.5446,0.5576,0.5391,0.5475
104,0.5576,0.5446,0.5489,0.5391,0.5446,0.5543,0.5478,0.5446,0.5576,0.5391,0.5477
105,0.5576,0.5446,0.5489,0.5391,0.5457,0.5543,0.5478,0.5446,0.5576,0.5391,0.5478
106,0.5576,0.5446,0.5489,0.5391,0.5457,0.5543,0.5478,0.5446,0.5576,0.5391,0.5478
107,0.5576,0.5446,0.5489,0.5391,0.5457,0.5543,0.5478,0.5446,0.5576,0.5391,0.5478
108,0.5576,0.5446,0.5489,0.5391,0.5457,0.5543,0.5478,0.5446,0.5576,0.5391,0.5478
109,0.5576,0.5446,0.5489,0.5391,0.5457,0.5543,0.5478,0.5446,0.5576,0.5391,0.5478
110,0.5598,0.5446,0.5489,0.5391,0.5457,0.5543,0.5478,0.5446,0.5598,0.5391,0.5481
111,0.5598,0.5446,0.5489,0.5391,0.5457,0.5543,0.5478,0.5467,0.5598,0.5391,0.5484
112,0.5609,0.5446,0.5489,0.5391,0.5457,0.5543,0.5478,0.5467,0.5609,0.5391,0.5485
113,0.5609,0.5446,0.5489,0.5391,0.5457,0.5543,0.5478,0.5467,0.5609,0.5391,0.5485
114,0.5609,0.5446,0.5489,0.5391,0.5457,0.5543,0.5478,0.5478,0.5609,0.5391,0.5486
115,0.5609,0.5446,0.5489,0.5391,0.5457,0.5543,0.5478,0.5478,0.5609,0.5391,0.5486
116,0.5609,0.5446,0.5489,0.5391,0.5457,0.5543,0.5478,0.5478,0.5609,0.5391,0.5486
117,0.5609,0.5446,0.5489,0.5391,0.5457,0.5543,0.5478,0.5478,0.5609,0.5391,0.5486
118,0.562,0.5446,0.5489,0.5391,0.5457,0.5543,0.5478,0.5478,0.562,0.5391,0.5488
119,0.562,0.5446,0.5489,0.5391,0.5478,0.5543,0.55,0.5478,0.562,0.5391,0.5493
120,0.562,0.5446,0.5489,0.5391,0.5478,0.5543,0.55,0.5478,0.562,0.5391,0.5493
121,0.563,0.5446,0.5489,0.5391,0.5478,0.5543,0.55,0.5478,0.563,0.5391,0.5494
122,0.563,0.5446,0.5511,0.5391,0.5478,0.5543,0.55,0.5478,0.563,0.5391,0.5497
123,0.563,0.5446,0.5511,0.5391,0.5478,0.5543,0.55,0.5478,0.563,0.5391,0.5497
124,0.563,0.5446,0.5511,0.5391,0.5489,0.5543,0.55,0.5478,0.563,0.5391,0.5498
126,0.563,0.5446,0.5511,0.5391,0.5489,0.5554,0.55,0.5478,0.563,0.5391,0.55
127,0.563,0.5446,0.5511,0.5457,0.5489,0.5554,0.5511,0.5478,0.563,0.5446,0.551
128,0.563,0.5446,0.5511,0.5457,0.5489,0.5554,0.5511,0.5478,0.563,0.5446,0.551
129,0.563,0.5446,0.5511,0.5457,0.5489,0.5554,0.5511,0.5478,0.563,0.5446,0.551
130,0.563,0.5446,0.5511,0.5457,0.5489,0.5554,0.5511,0.5478,0.563,0.5446,0.551
131,0.563,0.5446,0.5511,0.5457,0.5489,0.5554,0.5511,0.5478,0.563,0.5446,0.551
132,0.563,0.5446,0.5511,0.5457,0.5489,0.5554,0.5522,0.5478,0.563,0.5446,0.5511
133,0.563,0.5446,0.5511,0.5457,0.5489,0.5554,0.5522,0.5478,0.563,0.5446,0.5511
135,0.563,0.5446,0.5511,0.5457,0.5489,0.5554,0.5522,0.5478,0.563,0.5446,0.5511
136,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.5478,0.563,0.5446,0.5514
137,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.5478,0.563,0.5446,0.5514
138,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.5478,0.563,0.5446,0.5514
139,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.5478,0.563,0.5446,0.5514
140,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.55,0.563,0.5446,0.5516
141,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.55,0.563,0.5446,0.5516
142,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.55,0.563,0.5446,0.5516
143,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.55,0.563,0.5446,0.5516
144,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.55,0.563,0.5446,0.5516
145,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.55,0.563,0.5446,0.5516
146,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.55,0.563,0.5446,0.5516
147,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.55,0.563,0.5446,0.5516
148,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.5533,0.563,0.5446,0.552
149,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.5533,0.563,0.5446,0.552
150,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.5533,0.563,0.5446,0.552
151,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.5533,0.563,0.5446,0.552
152,0.563,0.5446,0.5511,0.5478,0.5489,0.5554,0.5522,0.5533,0.563,0.5446,0.552
153,0.563,0.5446,0.5511,0.5522,0.5489,0.5554,0.5522,0.5533,0.563,0.5446,0.5526
154,0.563,0.5446,0.5511,0.5522,0.5489,0.5554,0.5522,0.5533,0.563,0.5446,0.5526
155,0.563,0.5446,0.5511,0.5522,0.5489,0.5554,0.5522,0.5533,0.563,0.5446,0.5526
156,0.563,0.5446,0.5511,0.5533,0.5489,0.5554,0.5554,0.5533,0.563,0.5446,0.5531
157,0.563,0.5446,0.5511,0.5533,0.5489,0.5554,0.5554,0.5533,0.563,0.5446,0.5531
158,0.563,0.5446,0.5511,0.5533,0.5489,0.5554,0.5554,0.5533,0.563,0.5446,0.5531
159,0.563,0.5446,0.5511,0.5543,0.5489,0.5554,0.5554,0.5533,0.563,0.5446,0.5533
160,0.563,0.5446,0.5511,0.5543,0.5489,0.5554,0.5554,0.5533,0.563,0.5446,0.5533
161,0.563,0.5446,0.5511,0.5543,0.5489,0.5554,0.5554,0.5533,0.563,0.5446,0.5533
162,0.5641,0.5446,0.5511,0.5543,0.5489,0.5554,0.5554,0.5533,0.5641,0.5446,0.5534
163,0.5641,0.5457,0.5511,0.5543,0.5489,0.5554,0.5554,0.5533,0.5641,0.5457,0.5535
