timestamp,ohci2,ohci4,ohci1,ohci7,ohci3,ohci8,ohci6,ohci5,ohci9,max,min,avg
122,0.7857,0.7216,0.6575,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7271
123,0.7857,0.7216,0.6575,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7271
124,0.7857,0.7216,0.6575,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7271
125,0.7857,0.7216,0.6575,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7271
126,0.7857,0.7216,0.6575,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7271
127,0.7857,0.7216,0.6575,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7271
128,0.7857,0.7216,0.6575,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7271
129,0.7857,0.7216,0.6575,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7271
130,0.7857,0.7216,0.6575,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6575,0.7271
131,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6593,0.7273
132,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6593,0.7273
133,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6593,0.7273
134,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6593,0.7273
135,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6593,0.7273
136,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6593,0.7273
137,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6593,0.7273
138,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6593,0.7273
139,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6593,0.7273
140,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6593,0.7273
141,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6593,0.7273
142,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6593,0.7273
143,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6593,0.7273
144,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7491,0.7857,0.6593,0.7273
145,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7546,0.7857,0.6593,0.7279
146,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7546,0.7857,0.6593,0.7279
147,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7546,0.7857,0.6593,0.7279
148,0.7857,0.7216,0.6593,0.7711,0.7308,0.7344,0.7289,0.6648,0.7546,0.7857,0.6593,0.7279
149,0.7857,0.7216,0.6593,0.7711,0.7326,0.7344,0.7289,0.6648,0.7546,0.7857,0.6593,0.7281
150,0.7857,0.7216,0.6593,0.7711,0.7326,0.7344,0.7289,0.6648,0.7546,0.7857,0.6593,0.7281
151,0.7857,0.7216,0.6593,0.7711,0.7326,0.7344,0.7308,0.6648,0.7546,0.7857,0.6593,0.7283
152,0.7857,0.7216,0.6593,0.7711,0.7326,0.7344,0.7308,0.6648,0.7546,0.7857,0.6593,0.7283
153,0.7857,0.7216,0.7253,0.7711,0.7326,0.7344,0.7308,0.6648,0.7546,0.7857,0.6648,0.7357
154,0.7857,0.7216,0.7253,0.7711,0.7326,0.7344,0.7308,0.6648,0.7546,0.7857,0.6648,0.7357
155,0.7857,0.7216,0.7271,0.7711,0.7326,0.7344,0.7308,0.6648,0.7546,0.7857,0.6648,0.7359
156,0.7857,0.7216,0.7271,0.7711,0.7326,0.7344,0.7308,0.6648,0.7546,0.7857,0.6648,0.7359
157,0.7857,0.7216,0.7271,0.7711,0.7326,0.7344,0.7308,0.6648,0.7546,0.7857,0.6648,0.7359
158,0.7857,0.7216,0.7271,0.7711,0.7326,0.7344,0.7308,0.6648,0.7546,0.7857,0.6648,0.7359
159,0.7857,0.7216,0.7271,0.7711,0.7326,0.7344,0.7308,0.6648,0.7546,0.7857,0.6648,0.7359
160,0.7857,0.7216,0.7271,0.7711,0.7326,0.7344,0.7308,0.6648,0.7546,0.7857,0.6648,0.7359
161,0.7857,0.7216,0.7271,0.7711,0.7326,0.7344,0.7308,0.6648,0.7546,0.7857,0.6648,0.7359
162,0.7857,0.7216,0.7271,0.7711,0.7326,0.7344,0.7308,0.6648,0.7546,0.7857,0.6648,0.7359
163,0.7857,0.7216,0.7271,0.7711,0.7326,0.7344,0.7308,0.6648,0.7546,0.7857,0.6648,0.7359
