timestamp,legacy_sb169,legacy_sb161,legacy_sb162,legacy_sb160,legacy_sb167,legacy_sb165,legacy_sb163,legacy_sb168,legacy_sb164,max,min,avg
106,0.4335,0.4672,0.3599,0.4087,0.4973,0.4406,0.453,0.6099,0.4211,0.6099,0.3599,0.4546
107,0.4335,0.4672,0.3599,0.422,0.4973,0.4406,0.453,0.6099,0.4211,0.6099,0.3599,0.4561
108,0.4335,0.4672,0.3599,0.422,0.4973,0.4406,0.453,0.6099,0.4211,0.6099,0.3599,0.4561
109,0.4335,0.4672,0.3599,0.422,0.4973,0.4406,0.453,0.6099,0.4211,0.6099,0.3599,0.4561
110,0.4335,0.4672,0.3599,0.422,0.4973,0.4406,0.453,0.6099,0.4211,0.6099,0.3599,0.4561
112,0.4335,0.4672,0.3599,0.422,0.4973,0.4406,0.453,0.6099,0.4211,0.6099,0.3599,0.4561
113,0.4335,0.4672,0.3599,0.422,0.4973,0.4406,0.453,0.6099,0.4211,0.6099,0.3599,0.4561
114,0.4335,0.4672,0.3599,0.422,0.4973,0.4406,0.453,0.6099,0.4211,0.6099,0.3599,0.4561
115,0.4335,0.4672,0.3599,0.422,0.4973,0.4406,0.453,0.6099,0.4211,0.6099,0.3599,0.4561
116,0.4335,0.4672,0.3599,0.422,0.4973,0.4406,0.453,0.6099,0.4211,0.6099,0.3599,0.4561
117,0.4335,0.4672,0.3599,0.422,0.4973,0.4406,0.453,0.6099,0.4211,0.6099,0.3599,0.4561
118,0.4335,0.4672,0.3599,0.422,0.4973,0.4468,0.453,0.6099,0.4211,0.6099,0.3599,0.4567
119,0.4335,0.4672,0.3599,0.422,0.4973,0.4468,0.453,0.6099,0.4211,0.6099,0.3599,0.4567
120,0.4335,0.4672,0.3599,0.422,0.4973,0.4468,0.453,0.6099,0.4211,0.6099,0.3599,0.4567
121,0.4335,0.4672,0.3599,0.422,0.4973,0.4468,0.453,0.6117,0.4211,0.6117,0.3599,0.4569
122,0.4335,0.4672,0.3599,0.422,0.4973,0.4468,0.453,0.6117,0.4211,0.6117,0.3599,0.4569
123,0.4335,0.4672,0.3599,0.5337,0.4973,0.4468,0.453,0.6117,0.4211,0.6117,0.3599,0.4694
124,0.4335,0.4672,0.3599,0.5337,0.4973,0.4468,0.453,0.6117,0.4211,0.6117,0.3599,0.4694
125,0.4335,0.4672,0.3599,0.5337,0.4973,0.4468,0.453,0.6117,0.4211,0.6117,0.3599,0.4694
126,0.4335,0.4672,0.3599,0.5337,0.4973,0.4468,0.453,0.6117,0.4211,0.6117,0.3599,0.4694
127,0.4353,0.4672,0.3599,0.5337,0.4973,0.4468,0.453,0.6117,0.4211,0.6117,0.3599,0.4696
128,0.4353,0.4672,0.3599,0.5337,0.4973,0.4468,0.453,0.6117,0.4211,0.6117,0.3599,0.4696
129,0.4353,0.4672,0.3599,0.5337,0.4973,0.4468,0.453,0.6117,0.43,0.6117,0.3599,0.4705
130,0.4353,0.4672,0.3599,0.5337,0.4973,0.4468,0.4725,0.6117,0.43,0.6117,0.3599,0.4727
131,0.4353,0.4672,0.3599,0.5337,0.4973,0.4468,0.4725,0.6117,0.43,0.6117,0.3599,0.4727
132,0.4353,0.4672,0.3599,0.5337,0.4973,0.4468,0.4725,0.6117,0.43,0.6117,0.3599,0.4727
133,0.4353,0.4672,0.3617,0.5337,0.4973,0.4468,0.4725,0.6117,0.5168,0.6117,0.3617,0.4826
134,0.4353,0.4672,0.3617,0.5337,0.4973,0.4468,0.4725,0.6117,0.5168,0.6117,0.3617,0.4826
135,0.4353,0.4672,0.3617,0.5337,0.4973,0.4468,0.4849,0.6117,0.5168,0.6117,0.3617,0.4839
136,0.4353,0.4672,0.3617,0.5337,0.4973,0.4504,0.4849,0.6117,0.5168,0.6117,0.3617,0.4843
137,0.4353,0.4672,0.3617,0.5337,0.4973,0.4504,0.4849,0.6117,0.5168,0.6117,0.3617,0.4843
138,0.4353,0.4672,0.3617,0.5337,0.4973,0.4504,0.4849,0.6117,0.5168,0.6117,0.3617,0.4843
139,0.4353,0.4672,0.3617,0.5337,0.4973,0.4504,0.4849,0.6117,0.5168,0.6117,0.3617,0.4843
140,0.4353,0.4672,0.375,0.5337,0.4973,0.4504,0.4849,0.6117,0.5168,0.6117,0.375,0.4858
141,0.4353,0.4672,0.375,0.5337,0.4973,0.4504,0.4849,0.6117,0.5168,0.6117,0.375,0.4858
142,0.4353,0.4672,0.375,0.5337,0.4973,0.4504,0.4849,0.6117,0.5186,0.6117,0.375,0.486
143,0.4353,0.4672,0.375,0.5337,0.4973,0.4504,0.4885,0.6117,0.5186,0.6117,0.375,0.4864
144,0.4353,0.4672,0.375,0.5337,0.4973,0.4504,0.4885,0.6117,0.5186,0.6117,0.375,0.4864
146,0.4353,0.4672,0.375,0.5337,0.4973,0.4504,0.4885,0.6117,0.5186,0.6117,0.375,0.4864
147,0.4353,0.4672,0.375,0.5337,0.4973,0.4504,0.4885,0.6117,0.5186,0.6117,0.375,0.4864
148,0.4415,0.4672,0.375,0.5337,0.4973,0.4504,0.4938,0.6117,0.5186,0.6117,0.375,0.4877
149,0.4415,0.4672,0.375,0.5337,0.4973,0.4504,0.4938,0.6188,0.5186,0.6188,0.375,0.4885
150,0.4415,0.4672,0.375,0.6285,0.4973,0.4504,0.5133,0.6188,0.5186,0.6285,0.375,0.5012
151,0.4415,0.4672,0.375,0.6285,0.4973,0.4504,0.5133,0.6188,0.5186,0.6285,0.375,0.5012
152,0.4415,0.4672,0.375,0.6285,0.4973,0.4504,0.5133,0.6188,0.5186,0.6285,0.375,0.5012
153,0.4415,0.4672,0.375,0.6285,0.4973,0.4566,0.5133,0.6188,0.5186,0.6285,0.375,0.5019
154,0.4415,0.4672,0.375,0.6285,0.4973,0.4566,0.5133,0.6188,0.5186,0.6285,0.375,0.5019
155,0.4415,0.4672,0.375,0.6285,0.5399,0.4566,0.5133,0.6188,0.5186,0.6285,0.375,0.5066
156,0.4415,0.4672,0.375,0.6285,0.5399,0.4778,0.5133,0.6223,0.5186,0.6285,0.375,0.5093
157,0.4415,0.4672,0.375,0.6285,0.5399,0.4778,0.5133,0.6223,0.5186,0.6285,0.375,0.5093
158,0.4415,0.4672,0.375,0.6303,0.5399,0.4778,0.5301,0.6223,0.5186,0.6303,0.375,0.5114
159,0.4415,0.4672,0.375,0.6303,0.5399,0.4778,0.5319,0.6223,0.5186,0.6303,0.375,0.5116
160,0.4415,0.4672,0.375,0.6303,0.5399,0.4778,0.5319,0.6223,0.5186,0.6303,0.375,0.5116
161,0.4415,0.4672,0.3785,0.6303,0.5399,0.4778,0.5319,0.6268,0.5186,0.6303,0.3785,0.5125
162,0.4415,0.4672,0.4619,0.6303,0.5399,0.4778,0.5319,0.6268,0.5186,0.6303,0.4415,0.5218
163,0.4415,0.4672,0.4619,0.6303,0.5399,0.4778,0.5319,0.6268,0.5186,0.6303,0.4415,0.5218
164,0.4415,0.4672,0.4619,0.6303,0.5399,0.4778,0.5319,0.6268,0.5186,0.6303,0.4415,0.5218
165,0.4415,0.4672,0.4619,0.6303,0.5399,0.4778,0.5319,0.6268,0.5186,0.6303,0.4415,0.5218
166,0.4415,0.4672,0.4619,0.6303,0.5399,0.4778,0.5319,0.6268,0.5186,0.6303,0.4415,0.5218
167,0.4415,0.4672,0.4619,0.6303,0.5399,0.4778,0.5355,0.6268,0.5186,0.6303,0.4415,0.5222
168,0.4415,0.4672,0.4681,0.6303,0.5399,0.4778,0.5355,0.6268,0.5186,0.6303,0.4415,0.5229
169,0.4415,0.4672,0.4681,0.6321,0.5399,0.4778,0.5355,0.6268,0.5186,0.6321,0.4415,0.5231
170,0.4415,0.4672,0.4681,0.6321,0.5399,0.4778,0.5355,0.6268,0.5186,0.6321,0.4415,0.5231
171,0.4415,0.4672,0.4681,0.6321,0.5399,0.4778,0.5355,0.6268,0.5186,0.6321,0.4415,0.5231
172,0.4415,0.4672,0.4681,0.6321,0.5399,0.4778,0.5355,0.6303,0.5186,0.6321,0.4415,0.5234
173,0.4415,0.4672,0.4681,0.6321,0.5399,0.4778,0.5355,0.6303,0.5186,0.6321,0.4415,0.5234
174,0.4415,0.4672,0.4681,0.6321,0.5399,0.4778,0.5355,0.6303,0.5186,0.6321,0.4415,0.5234
