timestamp,e1000e0,e1000e4,e1000e6,e1000e7,e1000e3,e1000e9,e1000e1,e1000e2,e1000e5,e1000e8,max,min,avg
144,0.2958,0.2868,0.2267,0.3003,0.2598,0.2748,0.3108,0.3363,0.1877,0.3153,0.3363,0.1877,0.2794
145,0.2958,0.2868,0.2267,0.3093,0.2598,0.2748,0.3108,0.3363,0.1877,0.3153,0.3363,0.1877,0.2803
149,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.3363,0.1877,0.3153,0.3363,0.1877,0.2805
154,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.3363,0.1877,0.3153,0.3363,0.1877,0.2805
158,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.3363,0.1877,0.3153,0.3363,0.1877,0.2805
160,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.4069,0.1877,0.3153,0.4069,0.1877,0.2875
161,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.4069,0.1877,0.3153,0.4069,0.1877,0.2875
162,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.4249,0.1877,0.3153,0.4249,0.1877,0.2893
163,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.4249,0.1877,0.3153,0.4249,0.1877,0.2893
165,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.4249,0.1892,0.3153,0.4249,0.1892,0.2895
167,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.4414,0.1892,0.3153,0.4414,0.1892,0.2911
168,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.4414,0.1892,0.3153,0.4414,0.1892,0.2911
171,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.4414,0.1892,0.3153,0.4414,0.1892,0.2911
174,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.4414,0.1892,0.3153,0.4414,0.1892,0.2911
175,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.4505,0.1892,0.3153,0.4505,0.1892,0.2921
179,0.2958,0.2868,0.2267,0.3108,0.2598,0.2748,0.3108,0.4505,0.1892,0.3153,0.4505,0.1892,0.2921
184,0.2958,0.2868,0.2267,0.3123,0.2598,0.2748,0.3108,0.4505,0.1892,0.3153,0.4505,0.1892,0.2922
