timestamp,v32,v37,v30,v34,v36,v33,v38,v35,v39,v31,max,min,avg
115,0.6339,0.5984,0.6048,0.6177,0.521,0.6145,0.5823,0.6016,0.6016,0.5048,0.6339,0.5048,0.5881
116,0.6339,0.5984,0.6048,0.6177,0.521,0.6145,0.5855,0.6016,0.6016,0.5048,0.6339,0.5048,0.5884
124,0.6339,0.5984,0.6048,0.6177,0.521,0.6145,0.5855,0.6016,0.6016,0.5048,0.6339,0.5048,0.5884
126,0.6339,0.5984,0.6048,0.6177,0.521,0.6161,0.5855,0.6016,0.6016,0.5048,0.6339,0.5048,0.5885
127,0.6339,0.5984,0.6048,0.6177,0.521,0.6161,0.5903,0.6016,0.6016,0.5048,0.6339,0.5048,0.589
128,0.6339,0.5984,0.6048,0.6177,0.521,0.6161,0.6097,0.6016,0.6016,0.5048,0.6339,0.5048,0.591
130,0.6339,0.5984,0.6048,0.6177,0.521,0.6161,0.6097,0.6016,0.6016,0.5048,0.6339,0.5048,0.591
131,0.6339,0.5984,0.6048,0.6177,0.521,0.6177,0.6097,0.6016,0.6016,0.5806,0.6339,0.521,0.5987
132,0.6339,0.5984,0.6048,0.6177,0.521,0.6177,0.6097,0.6016,0.6016,0.5952,0.6339,0.521,0.6002
135,0.6339,0.5984,0.6048,0.6177,0.521,0.6177,0.6097,0.6016,0.6016,0.5984,0.6339,0.521,0.6005
141,0.6339,0.5984,0.6048,0.6177,0.521,0.6177,0.6097,0.6016,0.6016,0.5984,0.6339,0.521,0.6005
144,0.6339,0.5984,0.6048,0.6177,0.521,0.6177,0.6113,0.6016,0.6016,0.5984,0.6339,0.521,0.6006
145,0.6339,0.5984,0.6048,0.6177,0.521,0.6177,0.6113,0.6016,0.6016,0.5984,0.6339,0.521,0.6006
147,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.5984,0.6339,0.521,0.6008
148,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.5984,0.6339,0.521,0.6008
149,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6,0.6339,0.521,0.601
150,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6081,0.6339,0.521,0.6018
155,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6097,0.6339,0.521,0.6019
156,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6097,0.6339,0.521,0.6019
157,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6113,0.6339,0.521,0.6021
167,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6129,0.6339,0.521,0.6023
173,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6161,0.6339,0.521,0.6026
174,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6161,0.6339,0.521,0.6026
176,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6161,0.6339,0.521,0.6026
178,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6177,0.6339,0.521,0.6027
180,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6177,0.6339,0.521,0.6027
181,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6177,0.6339,0.521,0.6027
182,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6177,0.6339,0.521,0.6027
184,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6355,0.6355,0.521,0.6045
185,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6355,0.6355,0.521,0.6045
187,0.6339,0.5984,0.6048,0.6194,0.521,0.6177,0.6113,0.6016,0.6016,0.6355,0.6355,0.521,0.6045
188,0.6339,0.5984,0.6048,0.621,0.521,0.6177,0.6113,0.6016,0.6016,0.6355,0.6355,0.521,0.6047
190,0.6339,0.5984,0.6048,0.621,0.521,0.6177,0.6113,0.6016,0.6016,0.6355,0.6355,0.521,0.6047
192,0.6339,0.5984,0.6048,0.621,0.521,0.6177,0.6113,0.6016,0.6016,0.6355,0.6355,0.521,0.6047
193,0.6339,0.5984,0.6048,0.621,0.521,0.6177,0.6113,0.6016,0.6016,0.6371,0.6371,0.521,0.6048
194,0.6339,0.5984,0.6048,0.621,0.5419,0.6177,0.6113,0.6016,0.6016,0.6371,0.6371,0.5419,0.6069
199,0.6339,0.5984,0.6048,0.621,0.5452,0.6177,0.6113,0.6016,0.6016,0.6371,0.6371,0.5452,0.6073
209,0.6339,0.5984,0.6048,0.621,0.55,0.6177,0.6113,0.6016,0.6016,0.6371,0.6371,0.55,0.6077
211,0.6339,0.5984,0.6048,0.621,0.5548,0.6177,0.6113,0.6016,0.6016,0.6371,0.6371,0.5548,0.6082
214,0.6339,0.5984,0.6048,0.621,0.5548,0.6177,0.6113,0.6016,0.6016,0.6371,0.6371,0.5548,0.6082
219,0.6339,0.5984,0.6048,0.621,0.5548,0.6177,0.6113,0.6032,0.6016,0.6371,0.6371,0.5548,0.6084
220,0.6339,0.5984,0.6048,0.621,0.5548,0.6177,0.6113,0.6097,0.6016,0.6371,0.6371,0.5548,0.609
