timestamp,i825502,i825500,i825506,i825503,i825509,i825505,i825501,i825507,i825508,i825504,max,min,avg
68,0.8796,0.8843,0.8796,0.8657,0.8819,0.8796,0.8866,0.8866,0.8773,0.8866,0.8866,0.8657,0.8808
69,0.8796,0.8889,0.8796,0.8657,0.8819,0.8796,0.8866,0.8866,0.8773,0.8866,0.8889,0.8657,0.8812
70,0.8796,0.8889,0.8796,0.8657,0.8819,0.8796,0.8866,0.8866,0.8773,0.8866,0.8889,0.8657,0.8812
71,0.8796,0.8889,0.8796,0.8657,0.8819,0.8796,0.8866,0.8866,0.8773,0.8866,0.8889,0.8657,0.8812
72,0.8796,0.8889,0.8796,0.8657,0.8819,0.8796,0.8866,0.8866,0.8773,0.8866,0.8889,0.8657,0.8812
73,0.8796,0.8889,0.8796,0.8657,0.8819,0.8796,0.8866,0.8866,0.8773,0.8866,0.8889,0.8657,0.8812
74,0.8796,0.8889,0.8796,0.8657,0.8819,0.8796,0.8866,0.8889,0.8773,0.8866,0.8889,0.8657,0.8815
75,0.8796,0.8889,0.8796,0.8657,0.8819,0.8796,0.8866,0.8912,0.8773,0.8866,0.8912,0.8657,0.8817
76,0.8819,0.8889,0.8796,0.8657,0.8819,0.8796,0.8866,0.8912,0.8773,0.8866,0.8912,0.8657,0.8819
77,0.8819,0.8912,0.8796,0.8657,0.8819,0.8796,0.8866,0.8912,0.8773,0.8866,0.8912,0.8657,0.8822
78,0.8819,0.8912,0.8796,0.8657,0.8819,0.8819,0.8866,0.8912,0.8773,0.8866,0.8912,0.8657,0.8824
79,0.8819,0.8912,0.8819,0.8657,0.8819,0.8819,0.8866,0.8912,0.8773,0.8866,0.8912,0.8657,0.8826
80,0.8819,0.8912,0.8819,0.8657,0.8819,0.8843,0.8866,0.8912,0.8773,0.8866,0.8912,0.8657,0.8829
81,0.8819,0.8912,0.8819,0.8657,0.8819,0.8843,0.8866,0.8912,0.8796,0.8866,0.8912,0.8657,0.8831
82,0.8819,0.8912,0.8819,0.8657,0.8819,0.8843,0.8866,0.8912,0.8796,0.8866,0.8912,0.8657,0.8831
83,0.8819,0.8912,0.8819,0.8657,0.8819,0.8843,0.8866,0.8912,0.8796,0.8866,0.8912,0.8657,0.8831
84,0.8819,0.8912,0.8819,0.8657,0.8819,0.8843,0.8866,0.8912,0.8796,0.8866,0.8912,0.8657,0.8831
85,0.8819,0.8912,0.8819,0.8657,0.8819,0.8866,0.8866,0.8912,0.8796,0.8866,0.8912,0.8657,0.8833
86,0.8819,0.8935,0.8819,0.8657,0.8819,0.8866,0.8866,0.8912,0.8796,0.8866,0.8935,0.8657,0.8835
87,0.8819,0.8935,0.8819,0.8657,0.8819,0.8866,0.8866,0.8912,0.8796,0.8866,0.8935,0.8657,0.8835
88,0.8819,0.8935,0.8819,0.8657,0.8819,0.8866,0.8866,0.8912,0.8796,0.8866,0.8935,0.8657,0.8835
89,0.8819,0.8935,0.8819,0.8681,0.8819,0.8866,0.8866,0.8912,0.8796,0.8866,0.8935,0.8681,0.8838
90,0.8819,0.8935,0.8819,0.8681,0.8843,0.8866,0.8866,0.8912,0.8796,0.8866,0.8935,0.8681,0.884
91,0.8819,0.8935,0.8819,0.8681,0.8843,0.8866,0.8866,0.8912,0.8796,0.8866,0.8935,0.8681,0.884
92,0.8819,0.8935,0.8819,0.8681,0.8843,0.8866,0.8866,0.8912,0.8796,0.8866,0.8935,0.8681,0.884
93,0.8819,0.8935,0.8819,0.8681,0.8843,0.8866,0.8866,0.8912,0.8796,0.8866,0.8935,0.8681,0.884
94,0.8819,0.8935,0.8819,0.8681,0.8843,0.8866,0.8866,0.8912,0.8796,0.8866,0.8935,0.8681,0.884
95,0.8819,0.8935,0.8819,0.8681,0.8843,0.8866,0.8866,0.8912,0.8796,0.8866,0.8935,0.8681,0.884
96,0.8819,0.8935,0.8819,0.8681,0.8843,0.8866,0.8866,0.8912,0.8796,0.8866,0.8935,0.8681,0.884
97,0.8819,0.8935,0.8819,0.8681,0.8843,0.8866,0.8866,0.8912,0.8796,0.8866,0.8935,0.8681,0.884
98,0.8819,0.8935,0.8819,0.8681,0.8843,0.8866,0.8866,0.8912,0.8819,0.8866,0.8935,0.8681,0.8843
99,0.8819,0.8935,0.8819,0.8681,0.8843,0.8866,0.8866,0.8912,0.8819,0.8866,0.8935,0.8681,0.8843
100,0.8819,0.8935,0.8819,0.8681,0.8843,0.8866,0.8866,0.8912,0.8819,0.8866,0.8935,0.8681,0.8843
101,0.8819,0.8935,0.8819,0.8681,0.8843,0.8866,0.8866,0.8912,0.8819,0.8889,0.8935,0.8681,0.8845
102,0.8819,0.8935,0.8819,0.8727,0.8843,0.8866,0.8866,0.8912,0.8819,0.8889,0.8935,0.8727,0.8849
103,0.8819,0.8935,0.8819,0.8727,0.8843,0.8866,0.8866,0.8912,0.8819,0.8889,0.8935,0.8727,0.8849
104,0.8819,0.8935,0.8819,0.8727,0.8866,0.8889,0.8866,0.8912,0.8819,0.8889,0.8935,0.8727,0.8854
105,0.8819,0.8935,0.8819,0.8727,0.8866,0.8889,0.8866,0.8912,0.8819,0.8889,0.8935,0.8727,0.8854
106,0.8819,0.8958,0.8819,0.8727,0.8866,0.8889,0.8866,0.8912,0.8819,0.8889,0.8958,0.8727,0.8856
107,0.8819,0.8958,0.8819,0.8727,0.8866,0.8889,0.8866,0.8912,0.8819,0.8889,0.8958,0.8727,0.8856
108,0.8819,0.8958,0.8819,0.8727,0.8866,0.8889,0.8866,0.8912,0.8819,0.8889,0.8958,0.8727,0.8856
109,0.8819,0.8958,0.8819,0.8727,0.8866,0.8889,0.8866,0.8912,0.8819,0.8889,0.8958,0.8727,0.8856
110,0.8819,0.8958,0.8843,0.8727,0.8866,0.8889,0.8866,0.8912,0.8819,0.8889,0.8958,0.8727,0.8859
111,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8819,0.8912,0.8958,0.8773,0.8866
112,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8819,0.8912,0.8958,0.8773,0.8866
113,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8843,0.8912,0.8958,0.8773,0.8868
114,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8843,0.8912,0.8958,0.8773,0.8868
115,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8843,0.8912,0.8958,0.8773,0.8868
116,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8843,0.8912,0.8958,0.8773,0.8868
117,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8843,0.8912,0.8958,0.8773,0.8868
118,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8843,0.8912,0.8958,0.8773,0.8868
119,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8843,0.8912,0.8958,0.8773,0.8868
120,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8843,0.8912,0.8958,0.8773,0.8868
121,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8843,0.8912,0.8958,0.8773,0.8868
122,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8843,0.8912,0.8958,0.8773,0.8868
123,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8843,0.8912,0.8958,0.8773,0.8868
124,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8843,0.8912,0.8958,0.8773,0.8868
125,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8912,0.8843,0.8912,0.8958,0.8773,0.8868
126,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8935,0.8843,0.8912,0.8958,0.8773,0.887
127,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8935,0.8843,0.8912,0.8958,0.8773,0.887
128,0.8819,0.8958,0.8843,0.8773,0.8866,0.8889,0.8866,0.8935,0.8843,0.8912,0.8958,0.8773,0.887
