timestamp,vmxnet31,vmxnet36,vmxnet37,vmxnet39,vmxnet35,vmxnet30,vmxnet33,vmxnet32,vmxnet38,vmxnet34,max,min,avg
535,0.1864,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1266
536,0.1864,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1266
537,0.1864,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1266
538,0.1864,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1266
539,0.1864,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1266
540,0.1864,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1266
541,0.1864,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1266
542,0.1864,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1266
543,0.1864,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1266
544,0.1864,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1266
545,0.1864,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1266
546,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1268
547,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1268
548,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1268
549,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1268
550,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1268
551,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1268
552,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1268
553,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1268
554,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1268
555,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1268
556,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2023,0.2023,0.0909,0.1268
557,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
558,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
559,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
560,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
561,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
562,0.1886,0.1295,0.15,0.0909,0.0909,0.1318,0.0932,0.0955,0.0955,0.2045,0.2045,0.0909,0.127
