timestamp,legacy_floppy5,legacy_floppy1,legacy_floppy7,legacy_floppy4,legacy_floppy8,legacy_floppy0,legacy_floppy9,legacy_floppy3,legacy_floppy2,legacy_floppy6,max,min,avg
12352,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12356,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12362,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12364,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12368,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12369,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12388,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12394,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12398,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12399,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12400,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12410,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12417,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
12426,0.7012,0.6992,0.687,0.6911,0.685,0.6972,0.6972,0.6992,0.6992,0.689,0.7012,0.685,0.6945
