timestamp,legacy_sdhci3,legacy_sdhci9,legacy_sdhci6,legacy_sdhci4,legacy_sdhci7,legacy_sdhci2,legacy_sdhci5,legacy_sdhci8,legacy_sdhci1,legacy_sdhci0,max,min,avg
68,0.3484,0.3403,0.3694,0.4032,0.3629,0.3435,0.3839,0.3629,0.3806,0.3742,0.4032,0.3403,0.3669
69,0.3484,0.3403,0.3694,0.4032,0.3677,0.3435,0.3839,0.3677,0.3806,0.3742,0.4032,0.3403,0.3679
70,0.3484,0.3403,0.3694,0.4032,0.3677,0.3435,0.3839,0.3677,0.3806,0.3742,0.4032,0.3403,0.3679
71,0.3484,0.3403,0.3694,0.4032,0.371,0.3435,0.3839,0.3677,0.3806,0.3742,0.4032,0.3403,0.3682
73,0.3484,0.3403,0.3694,0.4032,0.371,0.3435,0.3839,0.3677,0.3806,0.3742,0.4032,0.3403,0.3682
74,0.3484,0.3403,0.3694,0.4145,0.371,0.3435,0.3839,0.3677,0.3806,0.3742,0.4145,0.3403,0.3694
75,0.3484,0.3403,0.3694,0.4145,0.371,0.3435,0.3839,0.3677,0.3806,0.3742,0.4145,0.3403,0.3694
76,0.3484,0.3403,0.3694,0.4145,0.371,0.3435,0.3839,0.3677,0.3806,0.3742,0.4145,0.3403,0.3694
77,0.3484,0.3403,0.3919,0.4145,0.371,0.3435,0.3839,0.3839,0.3806,0.3742,0.4145,0.3403,0.3732
78,0.3484,0.3403,0.3919,0.4145,0.371,0.3435,0.3839,0.3839,0.3806,0.3742,0.4145,0.3403,0.3732
79,0.3484,0.3403,0.3919,0.4145,0.371,0.3435,0.3839,0.3839,0.3806,0.3742,0.4145,0.3403,0.3732
80,0.3484,0.3403,0.3919,0.4145,0.371,0.3435,0.3839,0.3855,0.3806,0.3742,0.4145,0.3403,0.3734
81,0.3484,0.379,0.3919,0.4145,0.371,0.3435,0.45,0.3855,0.3806,0.3742,0.45,0.3435,0.3839
82,0.3484,0.379,0.3919,0.4145,0.3726,0.3435,0.45,0.3871,0.3806,0.3742,0.45,0.3435,0.3842
83,0.3484,0.379,0.3935,0.4145,0.3742,0.3435,0.45,0.3871,0.3806,0.3742,0.45,0.3435,0.3845
84,0.3484,0.379,0.3935,0.4145,0.3742,0.3435,0.45,0.3871,0.3806,0.3758,0.45,0.3435,0.3847
85,0.3484,0.379,0.3935,0.4145,0.3806,0.3435,0.45,0.3871,0.3806,0.3758,0.45,0.3435,0.3853
86,0.3484,0.379,0.3935,0.4145,0.3806,0.3435,0.45,0.3871,0.3806,0.3758,0.45,0.3435,0.3853
87,0.3484,0.379,0.3935,0.4145,0.3806,0.3468,0.45,0.3871,0.3806,0.3758,0.45,0.3468,0.3856
88,0.3484,0.3806,0.3935,0.4145,0.3806,0.3468,0.45,0.3871,0.3806,0.3758,0.45,0.3468,0.3858
89,0.3484,0.3806,0.3935,0.4145,0.3806,0.3468,0.45,0.3871,0.3806,0.3758,0.45,0.3468,0.3858
90,0.3484,0.3806,0.3935,0.4145,0.3806,0.3516,0.45,0.3871,0.3806,0.3758,0.45,0.3484,0.3863
91,0.3484,0.4032,0.3935,0.4145,0.3806,0.3532,0.45,0.3919,0.3806,0.3758,0.45,0.3484,0.3892
92,0.3484,0.4032,0.3935,0.4145,0.3806,0.3532,0.45,0.3919,0.3806,0.3758,0.45,0.3484,0.3892
93,0.3484,0.4032,0.3935,0.4145,0.3806,0.3532,0.45,0.3919,0.3806,0.3758,0.45,0.3484,0.3892
94,0.3532,0.4032,0.3935,0.4145,0.3806,0.3532,0.45,0.3984,0.3806,0.3758,0.45,0.3532,0.3903
95,0.3532,0.4032,0.3935,0.4145,0.3806,0.3532,0.4532,0.3984,0.3806,0.3758,0.4532,0.3532,0.3906
96,0.3532,0.4032,0.3935,0.4145,0.3806,0.3532,0.4532,0.3984,0.3806,0.3758,0.4532,0.3532,0.3906
97,0.3532,0.4032,0.4081,0.4145,0.3806,0.3532,0.4532,0.4097,0.3806,0.3758,0.4532,0.3532,0.3932
98,0.3532,0.4113,0.4081,0.4145,0.3806,0.4177,0.4532,0.4097,0.3806,0.379,0.4532,0.3532,0.4008
99,0.3532,0.4113,0.4081,0.4145,0.3806,0.4177,0.4565,0.4097,0.3806,0.379,0.4565,0.3532,0.4011
100,0.3532,0.4113,0.4081,0.4145,0.3806,0.4177,0.4565,0.4097,0.3806,0.379,0.4565,0.3532,0.4011
101,0.3532,0.4113,0.4081,0.4387,0.3806,0.4177,0.4565,0.4097,0.3806,0.379,0.4565,0.3532,0.4035
102,0.3532,0.4113,0.4081,0.4387,0.3806,0.4177,0.4565,0.4113,0.3806,0.379,0.4565,0.3532,0.4037
103,0.3532,0.4113,0.4081,0.4387,0.3806,0.4177,0.4565,0.4113,0.3806,0.379,0.4565,0.3532,0.4037
104,0.3597,0.4129,0.4081,0.4387,0.3806,0.4177,0.4565,0.4113,0.3806,0.379,0.4565,0.3597,0.4045
105,0.3597,0.4129,0.4081,0.4387,0.3806,0.4177,0.4581,0.421,0.3806,0.379,0.4581,0.3597,0.4056
106,0.3597,0.4161,0.4081,0.4387,0.3806,0.4177,0.4581,0.421,0.3806,0.379,0.4581,0.3597,0.406
107,0.3597,0.4161,0.4081,0.4387,0.3806,0.4177,0.4581,0.421,0.3806,0.379,0.4581,0.3597,0.406
108,0.3597,0.4161,0.4081,0.4387,0.3806,0.4177,0.4581,0.421,0.3806,0.379,0.4581,0.3597,0.406
109,0.3597,0.4161,0.4081,0.4387,0.3806,0.4242,0.4581,0.421,0.3806,0.379,0.4581,0.3597,0.4066
110,0.3597,0.4161,0.4081,0.4387,0.3806,0.4242,0.4581,0.421,0.3806,0.379,0.4581,0.3597,0.4066
111,0.3597,0.4161,0.4081,0.4387,0.3806,0.4242,0.4581,0.421,0.3806,0.379,0.4581,0.3597,0.4066
112,0.3597,0.4161,0.4081,0.4387,0.3806,0.4242,0.4581,0.421,0.3806,0.379,0.4581,0.3597,0.4066
113,0.3613,0.4161,0.4081,0.4387,0.3806,0.4242,0.4581,0.421,0.3806,0.379,0.4581,0.3613,0.4068
114,0.3613,0.4161,0.4081,0.4387,0.3806,0.4242,0.4581,0.421,0.3806,0.379,0.4581,0.3613,0.4068
115,0.3613,0.4161,0.4081,0.4387,0.3806,0.4242,0.4581,0.421,0.3806,0.379,0.4581,0.3613,0.4068
116,0.3629,0.4161,0.4081,0.4387,0.3806,0.4242,0.4581,0.421,0.3806,0.379,0.4581,0.3629,0.4069
117,0.3629,0.4161,0.4081,0.4387,0.3806,0.4242,0.4581,0.421,0.3806,0.379,0.4581,0.3629,0.4069
118,0.3629,0.4161,0.4081,0.4387,0.3806,0.4242,0.4581,0.421,0.3806,0.379,0.4581,0.3629,0.4069
119,0.3629,0.4161,0.4081,0.4387,0.3806,0.4242,0.4581,0.421,0.3806,0.379,0.4581,0.3629,0.4069
120,0.3629,0.4161,0.4081,0.4387,0.3806,0.4242,0.4629,0.421,0.3806,0.379,0.4629,0.3629,0.4074
121,0.3629,0.4161,0.4081,0.4387,0.3806,0.4242,0.4629,0.421,0.3806,0.379,0.4629,0.3629,0.4074
122,0.3645,0.4161,0.4081,0.4387,0.3806,0.4242,0.4629,0.421,0.3806,0.379,0.4629,0.3645,0.4076
123,0.3645,0.4161,0.4081,0.4387,0.3806,0.4242,0.4629,0.421,0.3806,0.379,0.4629,0.3645,0.4076
124,0.3645,0.4161,0.4081,0.4387,0.3806,0.4242,0.4629,0.421,0.3806,0.379,0.4629,0.3645,0.4076
125,0.3887,0.4161,0.4081,0.4387,0.3806,0.4242,0.4661,0.421,0.3806,0.379,0.4661,0.379,0.4103
126,0.3887,0.4161,0.4081,0.4387,0.3806,0.4242,0.4661,0.421,0.3806,0.379,0.4661,0.379,0.4103
128,0.3903,0.4161,0.4081,0.4387,0.3806,0.4242,0.4661,0.421,0.3806,0.379,0.4661,0.379,0.4105
129,0.3903,0.4161,0.4081,0.4387,0.3806,0.4242,0.4661,0.421,0.3806,0.379,0.4661,0.379,0.4105
131,0.3903,0.4161,0.4081,0.4387,0.3806,0.4242,0.4661,0.421,0.3806,0.379,0.4661,0.379,0.4105
132,0.3919,0.4161,0.4081,0.4387,0.3806,0.4242,0.4661,0.421,0.3806,0.379,0.4661,0.379,0.4106
133,0.3919,0.4161,0.4081,0.4387,0.3806,0.4242,0.4661,0.421,0.3806,0.379,0.4661,0.379,0.4106
134,0.3935,0.4161,0.4081,0.4387,0.3806,0.4242,0.4661,0.421,0.3806,0.379,0.4661,0.379,0.4108
135,0.3935,0.4161,0.4097,0.4387,0.421,0.4242,0.4661,0.421,0.3806,0.379,0.4661,0.379,0.415
136,0.3935,0.4161,0.4097,0.4387,0.421,0.4242,0.4661,0.421,0.3806,0.379,0.4661,0.379,0.415
137,0.3935,0.4161,0.4097,0.4387,0.4274,0.4242,0.4661,0.421,0.3806,0.379,0.4661,0.379,0.4156
138,0.3935,0.4161,0.4097,0.4387,0.4274,0.4242,0.4661,0.421,0.3806,0.379,0.4661,0.379,0.4156
139,0.3935,0.4161,0.4097,0.4387,0.4274,0.4242,0.4661,0.421,0.3806,0.3806,0.4661,0.3806,0.4158
140,0.3935,0.4161,0.4097,0.4387,0.4274,0.4242,0.4661,0.421,0.3806,0.3806,0.4661,0.3806,0.4158
141,0.3968,0.4161,0.4194,0.4387,0.4274,0.4242,0.4661,0.421,0.3806,0.3806,0.4661,0.3806,0.4171
142,0.3968,0.4161,0.4194,0.4387,0.4274,0.4242,0.4661,0.421,0.3806,0.3806,0.4661,0.3806,0.4171
143,0.3968,0.4161,0.4194,0.4387,0.4274,0.4242,0.4661,0.421,0.3806,0.3806,0.4661,0.3806,0.4171
145,0.3968,0.4161,0.4194,0.4387,0.4274,0.4242,0.4661,0.421,0.3806,0.3806,0.4661,0.3806,0.4171
146,0.3968,0.4161,0.4194,0.4387,0.4274,0.4242,0.4661,0.421,0.3806,0.3806,0.4661,0.3806,0.4171
147,0.3968,0.4161,0.4242,0.4387,0.4274,0.4242,0.4661,0.421,0.3806,0.3806,0.4661,0.3806,0.4176
149,0.3968,0.4161,0.429,0.4387,0.4274,0.4242,0.4661,0.421,0.3806,0.3806,0.4661,0.3806,0.418
150,0.3968,0.4161,0.429,0.4387,0.4274,0.4242,0.4661,0.421,0.3806,0.3984,0.4661,0.3806,0.4198
152,0.3968,0.4161,0.429,0.4387,0.4274,0.4242,0.4661,0.421,0.3903,0.3984,0.4661,0.3903,0.4208
153,0.4065,0.4161,0.429,0.4387,0.4274,0.4242,0.4661,0.421,0.3903,0.3984,0.4661,0.3903,0.4218
154,0.4065,0.4161,0.429,0.4387,0.4274,0.4242,0.4661,0.421,0.3903,0.3984,0.4661,0.3903,0.4218
155,0.429,0.4161,0.429,0.4387,0.4274,0.4242,0.4661,0.421,0.3903,0.3984,0.4661,0.3903,0.424
156,0.429,0.4387,0.429,0.4387,0.4274,0.4242,0.4661,0.421,0.3903,0.3984,0.4661,0.3903,0.4263
157,0.429,0.4387,0.429,0.4387,0.4274,0.4242,0.4661,0.421,0.3903,0.3984,0.4661,0.3903,0.4263
158,0.429,0.4387,0.429,0.4387,0.45,0.4629,0.4661,0.421,0.3903,0.3984,0.4661,0.3903,0.4324
