timestamp,pcnet7,pcnet2,pcnet4,pcnet9,pcnet3,pcnet0,pcnet5,pcnet8,pcnet1,pcnet6,max,min,avg
86,0.615,0.6588,0.6588,0.6898,0.6624,0.6624,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6549
87,0.615,0.6588,0.6588,0.6898,0.6624,0.6624,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6549
88,0.615,0.6588,0.6588,0.6898,0.6807,0.6624,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6568
89,0.615,0.6606,0.6588,0.6898,0.6807,0.6624,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6569
90,0.615,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6584
91,0.615,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6584
92,0.615,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6584
93,0.615,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6584
94,0.615,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6584
95,0.615,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6584
96,0.615,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6584
97,0.615,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6533,0.6569,0.6624,0.6898,0.615,0.6584
98,0.6405,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6533,0.6569,0.6624,0.6898,0.6296,0.661
99,0.6405,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6533,0.6569,0.6624,0.6898,0.6296,0.661
100,0.6405,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6533,0.6569,0.6624,0.6898,0.6296,0.661
101,0.6405,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6533,0.6569,0.6624,0.6898,0.6296,0.661
102,0.6405,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6533,0.6569,0.6624,0.6898,0.6296,0.661
103,0.6405,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6569,0.6569,0.6624,0.6898,0.6296,0.6613
104,0.6405,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6569,0.6569,0.6624,0.6898,0.6296,0.6613
105,0.6405,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6569,0.6569,0.6624,0.6898,0.6296,0.6613
106,0.6405,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6569,0.6569,0.6624,0.6898,0.6296,0.6613
107,0.6405,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6569,0.6569,0.6624,0.6898,0.6296,0.6613
108,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6569,0.6569,0.6624,0.6898,0.6296,0.6615
109,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6569,0.6569,0.6624,0.6898,0.6296,0.6615
110,0.6423,0.6606,0.6588,0.6898,0.6807,0.677,0.6296,0.6569,0.6569,0.6624,0.6898,0.6296,0.6615
