timestamp,legacy_ne20007,legacy_ne20004,legacy_ne20001,legacy_ne20002,legacy_ne20003,legacy_ne20009,legacy_ne20006,legacy_ne20008,legacy_ne20000,legacy_ne20005,max,min,avg
69,0.4289,0.5819,0.4353,0.4892,0.5065,0.5927,0.5884,0.6746,0.5086,0.5065,0.6746,0.4289,0.5313
70,0.4289,0.5819,0.4353,0.4892,0.5065,0.5927,0.5884,0.6746,0.5086,0.5065,0.6746,0.4289,0.5313
71,0.4289,0.5841,0.4353,0.4892,0.5065,0.5927,0.5884,0.6746,0.5086,0.5065,0.6746,0.4289,0.5315
72,0.4289,0.5841,0.4353,0.4892,0.5065,0.5927,0.5884,0.6746,0.5086,0.5065,0.6746,0.4289,0.5315
73,0.4289,0.5841,0.4353,0.4892,0.5065,0.6034,0.5884,0.6746,0.5086,0.5065,0.6746,0.4289,0.5326
74,0.4289,0.5841,0.4353,0.4892,0.5065,0.6034,0.5884,0.6746,0.5086,0.5065,0.6746,0.4289,0.5326
75,0.4289,0.5841,0.4353,0.4892,0.5733,0.6034,0.5884,0.6746,0.5086,0.5065,0.6746,0.4289,0.5392
76,0.4289,0.5841,0.4353,0.4892,0.5733,0.6034,0.5884,0.6746,0.5086,0.5065,0.6746,0.4289,0.5392
77,0.4289,0.5841,0.4353,0.4892,0.6034,0.6034,0.5884,0.6746,0.5086,0.5065,0.6746,0.4289,0.5422
78,0.4289,0.5884,0.4353,0.4892,0.6034,0.6034,0.5884,0.6746,0.5496,0.5065,0.6746,0.4289,0.5468
79,0.4289,0.5884,0.4353,0.4892,0.6034,0.6034,0.5884,0.6746,0.5496,0.5065,0.6746,0.4289,0.5468
80,0.4289,0.5884,0.4353,0.4892,0.6034,0.6034,0.5884,0.6746,0.5496,0.5065,0.6746,0.4289,0.5468
81,0.4289,0.5884,0.4353,0.4892,0.6034,0.6034,0.5884,0.6746,0.5496,0.5065,0.6746,0.4289,0.5468
82,0.4289,0.5884,0.4353,0.4892,0.6034,0.6034,0.5884,0.6746,0.5496,0.5065,0.6746,0.4289,0.5468
83,0.4289,0.5884,0.4353,0.4892,0.6034,0.6034,0.5884,0.6746,0.5496,0.5065,0.6746,0.4289,0.5468
84,0.4289,0.5884,0.4353,0.4892,0.6034,0.6034,0.5884,0.6746,0.5496,0.5065,0.6746,0.4289,0.5468
85,0.4289,0.6272,0.4353,0.4892,0.6034,0.6034,0.5884,0.6746,0.5496,0.5065,0.6746,0.4289,0.5506
86,0.4289,0.6272,0.4353,0.4892,0.6034,0.6034,0.5884,0.6746,0.5496,0.5065,0.6746,0.4289,0.5506
87,0.4289,0.6272,0.4397,0.4892,0.6034,0.6034,0.6056,0.6746,0.5496,0.5065,0.6746,0.4289,0.5528
88,0.4289,0.6272,0.444,0.4892,0.6034,0.6034,0.6056,0.6746,0.5496,0.5065,0.6746,0.4289,0.5532
89,0.4289,0.6272,0.444,0.4892,0.6034,0.6034,0.6099,0.6746,0.5496,0.5065,0.6746,0.4289,0.5537
90,0.4289,0.6272,0.444,0.4892,0.6034,0.6034,0.6099,0.6746,0.5496,0.5065,0.6746,0.4289,0.5537
91,0.4289,0.6272,0.444,0.4892,0.6034,0.6034,0.6099,0.6746,0.5496,0.5065,0.6746,0.4289,0.5537
92,0.4289,0.6272,0.444,0.4892,0.6034,0.6034,0.6099,0.6746,0.5496,0.5065,0.6746,0.4289,0.5537
93,0.4289,0.6272,0.444,0.4892,0.6164,0.6034,0.6099,0.6746,0.5496,0.5065,0.6746,0.4289,0.555
94,0.4289,0.6272,0.444,0.4892,0.6164,0.6207,0.6099,0.6746,0.5496,0.5065,0.6746,0.4289,0.5567
95,0.4289,0.6272,0.444,0.4892,0.6164,0.6207,0.6099,0.6746,0.5496,0.5065,0.6746,0.4289,0.5567
96,0.4289,0.6272,0.444,0.4892,0.6164,0.6207,0.6099,0.6746,0.5496,0.5065,0.6746,0.4289,0.5567
97,0.431,0.6272,0.444,0.4892,0.6164,0.6207,0.6099,0.6746,0.5496,0.5065,0.6746,0.431,0.5569
98,0.431,0.6272,0.444,0.4892,0.6164,0.6207,0.6099,0.6746,0.5625,0.5065,0.6746,0.431,0.5582
99,0.431,0.6272,0.444,0.4892,0.6164,0.6207,0.6099,0.6746,0.5625,0.5065,0.6746,0.431,0.5582
100,0.431,0.6272,0.444,0.4892,0.6164,0.6207,0.6099,0.6746,0.5625,0.5065,0.6746,0.431,0.5582
103,0.431,0.6272,0.444,0.4892,0.6164,0.6207,0.6099,0.6746,0.5625,0.5065,0.6746,0.431,0.5582
104,0.431,0.6272,0.444,0.4892,0.6164,0.6207,0.6099,0.6746,0.5625,0.5065,0.6746,0.431,0.5582
105,0.431,0.6272,0.444,0.4892,0.6207,0.6207,0.625,0.6746,0.5625,0.5065,0.6746,0.431,0.5601
106,0.431,0.6444,0.444,0.4892,0.6207,0.6207,0.625,0.6746,0.5625,0.5065,0.6746,0.431,0.5619
107,0.431,0.6444,0.444,0.4892,0.6207,0.6207,0.625,0.6789,0.5625,0.5065,0.6789,0.431,0.5623
108,0.4397,0.6444,0.444,0.4892,0.6207,0.6293,0.625,0.6789,0.5625,0.5065,0.6789,0.4397,0.564
109,0.4397,0.6444,0.444,0.4892,0.6207,0.6293,0.625,0.6789,0.5625,0.5065,0.6789,0.4397,0.564
110,0.4397,0.6444,0.444,0.4892,0.6207,0.6293,0.625,0.6789,0.5625,0.5065,0.6789,0.4397,0.564
111,0.4397,0.6444,0.444,0.4892,0.6207,0.6293,0.625,0.6789,0.5625,0.5065,0.6789,0.4397,0.564
112,0.4397,0.6444,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5065,0.6789,0.4397,0.5713
113,0.4397,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5065,0.6789,0.4397,0.5718
114,0.4397,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5065,0.6789,0.4397,0.5718
115,0.4397,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5065,0.6789,0.4397,0.5718
116,0.4397,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.4397,0.5726
117,0.4397,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.4397,0.5726
118,0.4569,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.444,0.5744
119,0.4569,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.444,0.5744
120,0.4612,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.444,0.5748
121,0.4612,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.444,0.5748
122,0.5345,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.444,0.5821
123,0.5345,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.444,0.5821
124,0.5345,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.444,0.5821
125,0.5345,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.444,0.5821
126,0.5345,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.444,0.5821
127,0.5345,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.444,0.5821
128,0.5474,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.444,0.5834
129,0.5603,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.444,0.5847
130,0.5603,0.6487,0.444,0.4892,0.6207,0.6293,0.6703,0.6789,0.5905,0.5151,0.6789,0.444,0.5847
131,0.5647,0.6487,0.4461,0.4892,0.6207,0.6293,0.6875,0.6789,0.5905,0.5151,0.6875,0.4461,0.5871
132,0.569,0.6487,0.4461,0.4892,0.6207,0.6293,0.6875,0.6789,0.5905,0.5151,0.6875,0.4461,0.5875
133,0.569,0.6487,0.4461,0.4892,0.6207,0.6293,0.6875,0.6789,0.5905,0.5151,0.6875,0.4461,0.5875
134,0.569,0.6487,0.4461,0.4892,0.6207,0.6293,0.6875,0.6789,0.5905,0.5151,0.6875,0.4461,0.5875
135,0.569,0.6487,0.4914,0.4892,0.6207,0.6293,0.6918,0.6789,0.5905,0.5151,0.6918,0.4892,0.5925
136,0.569,0.6487,0.4914,0.4892,0.6207,0.6293,0.6918,0.6789,0.5905,0.5151,0.6918,0.4892,0.5925
137,0.569,0.6487,0.4914,0.4892,0.6207,0.6293,0.6918,0.6789,0.5905,0.5151,0.6918,0.4892,0.5925
138,0.569,0.6487,0.4914,0.4892,0.6207,0.6293,0.6918,0.6789,0.5905,0.5151,0.6918,0.4892,0.5925
139,0.569,0.6487,0.4914,0.4892,0.6207,0.6293,0.6918,0.6789,0.5905,0.5151,0.6918,0.4892,0.5925
140,0.569,0.6487,0.4914,0.4892,0.6207,0.6293,0.6918,0.6789,0.5905,0.5151,0.6918,0.4892,0.5925
141,0.569,0.6487,0.4914,0.4892,0.6207,0.6293,0.6918,0.6789,0.5905,0.5151,0.6918,0.4892,0.5925
142,0.5733,0.6487,0.4914,0.4892,0.6207,0.6293,0.6918,0.6789,0.5905,0.5216,0.6918,0.4892,0.5935
143,0.5733,0.6487,0.4914,0.4892,0.6207,0.6293,0.6918,0.6789,0.5905,0.5216,0.6918,0.4892,0.5935
