timestamp,legacy_ee100pro4,legacy_ee100pro6,legacy_ee100pro2,legacy_ee100pro9,legacy_ee100pro7,legacy_ee100pro3,legacy_ee100pro5,legacy_ee100pro1,legacy_ee100pro8,legacy_ee100pro0,max,min,avg
68,0.3519,0.3519,0.2778,0.419,0.0116,0.3241,0.2917,0.0116,0.5116,0.4213,0.5116,0.0116,0.2973
69,0.3519,0.3519,0.2778,0.419,0.0116,0.3241,0.2917,0.4028,0.5116,0.4213,0.5116,0.0116,0.3364
70,0.3519,0.3519,0.0116,0.419,0.0116,0.3241,0.2917,0.4028,0.5116,0.3125,0.5116,0.0116,0.2989
71,0.3519,0.3333,0.2639,0.419,0.0116,0.3241,0.2917,0.4028,0.5116,0.3125,0.5116,0.0116,0.3222
72,0.3519,0.3333,0.2639,0.4005,0.0116,0.2199,0.2917,0.4028,0.5116,0.419,0.5116,0.0116,0.3206
73,0.3519,0.3333,0.2986,0.4005,0.0116,0.2199,0.287,0.0116,0.5116,0.419,0.5116,0.0116,0.2845
74,0.3519,0.3333,0.2986,0.4005,0.0116,0.331,0.287,0.3148,0.5116,0.412,0.5116,0.0116,0.3252
75,0.3519,0.3287,0.2986,0.4005,0.0116,0.331,0.287,0.1227,0.5116,0.2708,0.5116,0.0116,0.2914
76,0.3519,0.3287,0.2917,0.4005,0.0116,0.331,0.287,0.1227,0.5116,0.2708,0.5116,0.0116,0.2908
77,0.3519,0.3287,0.2917,0.4005,0.0116,0.3218,0.287,0.1227,0.5116,0.2708,0.5116,0.0116,0.2898
78,0.3519,0.3287,0.2917,0.4005,0.0116,0.3218,0.287,0.1227,0.5116,0.2708,0.5116,0.0116,0.2898
79,0.3519,0.3287,0.2917,0.3958,0.0116,0.3218,0.287,0.1227,0.5116,0.2708,0.5116,0.0116,0.2894
80,0.3519,0.3287,0.2917,0.3958,0.0116,0.331,0.287,0.1227,0.5116,0.4444,0.5116,0.0116,0.3076
81,0.3426,0.3287,0.2917,0.3958,0.0116,0.3079,0.287,0.1227,0.5023,0.4444,0.5023,0.0116,0.3035
82,0.3426,0.2801,0.2917,0.3958,0.0116,0.1181,0.287,0.1134,0.5023,0.4444,0.5023,0.0116,0.2787
83,0.3426,0.2801,0.2917,0.3889,0.4282,0.1181,0.2685,0.2986,0.5023,0.4444,0.5023,0.1181,0.3363
84,0.3426,0.2801,0.2917,0.3889,0.4282,0.1181,0.2685,0.2986,0.5023,0.4444,0.5023,0.1181,0.3363
85,0.3426,0.2801,0.2894,0.3889,0.4282,0.1181,0.2685,0.2986,0.5023,0.4097,0.5023,0.1181,0.3326
86,0.3426,0.2801,0.2894,0.3889,0.4282,0.1181,0.2454,0.2523,0.5023,0.4097,0.5023,0.1181,0.3257
87,0.338,0.2801,0.2894,0.375,0.4282,0.1181,0.2454,0.2523,0.5023,0.3796,0.5023,0.1181,0.3208
88,0.338,0.2801,0.2894,0.375,0.4282,0.1181,0.2454,0.0741,0.5023,0.1412,0.5023,0.0741,0.2792
