timestamp,legacy_cs4231a8,legacy_cs4231a7,legacy_cs4231a6,legacy_cs4231a2,legacy_cs4231a1,legacy_cs4231a9,legacy_cs4231a3,legacy_cs4231a0,legacy_cs4231a4,legacy_cs4231a5,max,min,avg
94,0.4783,0.6377,0.6884,0.5797,0.6159,0.5797,0.5507,0.6159,0.558,0.5725,0.6884,0.4783,0.5877
95,0.4783,0.6377,0.6884,0.5797,0.6159,0.5797,0.5507,0.6159,0.558,0.5725,0.6884,0.4783,0.5877
96,0.4783,0.6377,0.6884,0.5797,0.6159,0.5797,0.5507,0.6159,0.558,0.5725,0.6884,0.4783,0.5877
97,0.4783,0.6377,0.6884,0.5797,0.6159,0.5797,0.5507,0.6159,0.558,0.5725,0.6884,0.4783,0.5877
98,0.4783,0.6377,0.6884,0.5797,0.6159,0.5797,0.5507,0.6159,0.558,0.5725,0.6884,0.4783,0.5877
99,0.4783,0.6377,0.6884,0.5797,0.6159,0.5797,0.5507,0.6159,0.558,0.5725,0.6884,0.4783,0.5877
100,0.4783,0.6377,0.6884,0.5942,0.6304,0.5797,0.5507,0.6159,0.558,0.5725,0.6884,0.4783,0.5906
101,0.4783,0.6377,0.6884,0.5942,0.6304,0.5797,0.5652,0.6159,0.558,0.5725,0.6884,0.4783,0.592
102,0.4783,0.6957,0.6884,0.5942,0.6304,0.5797,0.5652,0.6159,0.558,0.5725,0.6957,0.4783,0.5978
103,0.4783,0.6957,0.6884,0.5942,0.6304,0.5797,0.5652,0.6449,0.558,0.5725,0.6957,0.4783,0.6007
104,0.4783,0.6957,0.6884,0.6014,0.6304,0.5797,0.5725,0.6449,0.558,0.5725,0.6957,0.4783,0.6022
105,0.4783,0.6957,0.6884,0.6014,0.6304,0.6087,0.5725,0.6449,0.558,0.5725,0.6957,0.4783,0.6051
106,0.5145,0.6957,0.6884,0.6014,0.6304,0.6087,0.5725,0.6449,0.558,0.5725,0.6957,0.5145,0.6087
107,0.5145,0.6957,0.6884,0.6159,0.6304,0.6087,0.5725,0.6449,0.558,0.5725,0.6957,0.5145,0.6101
108,0.5145,0.6957,0.6884,0.6159,0.6304,0.6087,0.5725,0.6449,0.558,0.5725,0.6957,0.5145,0.6101
109,0.5145,0.7029,0.6884,0.6159,0.6304,0.6087,0.5725,0.6449,0.558,0.5725,0.7029,0.5145,0.6109
110,0.5145,0.7029,0.6884,0.6159,0.6304,0.6087,0.6667,0.6449,0.558,0.5725,0.7029,0.5145,0.6203
111,0.5145,0.7029,0.6884,0.6159,0.6304,0.6087,0.6667,0.6449,0.558,0.5725,0.7029,0.5145,0.6203
112,0.5145,0.7029,0.6884,0.6159,0.6304,0.6087,0.6667,0.6449,0.558,0.5725,0.7029,0.5145,0.6203
113,0.5145,0.7029,0.6884,0.6159,0.6304,0.6087,0.6667,0.6449,0.558,0.5725,0.7029,0.5145,0.6203
114,0.558,0.7029,0.6884,0.6159,0.6304,0.6087,0.6667,0.6449,0.558,0.5725,0.7029,0.558,0.6246
115,0.558,0.7029,0.6884,0.6159,0.6304,0.6087,0.6667,0.6449,0.558,0.5725,0.7029,0.558,0.6246
116,0.558,0.7029,0.6884,0.6159,0.6304,0.6087,0.6667,0.6449,0.558,0.5725,0.7029,0.558,0.6246
117,0.558,0.7029,0.6884,0.6159,0.6304,0.6087,0.6667,0.6449,0.558,0.5725,0.7029,0.558,0.6246
118,0.558,0.7029,0.6884,0.6159,0.6377,0.6087,0.6667,0.6449,0.558,0.5725,0.7029,0.558,0.6254
119,0.558,0.7029,0.6884,0.6159,0.6377,0.6304,0.6667,0.6449,0.558,0.5725,0.7029,0.558,0.6275
120,0.558,0.7029,0.6884,0.6159,0.6377,0.6304,0.6667,0.6449,0.558,0.5725,0.7029,0.558,0.6275
121,0.6087,0.7029,0.6884,0.6159,0.6377,0.6304,0.6667,0.6449,0.558,0.5725,0.7029,0.558,0.6326
122,0.6087,0.7029,0.6884,0.6159,0.6377,0.6304,0.6667,0.6449,0.558,0.5725,0.7029,0.558,0.6326
123,0.6087,0.7029,0.6884,0.6159,0.6377,0.6304,0.6667,0.6449,0.558,0.5725,0.7029,0.558,0.6326
124,0.6377,0.7029,0.6884,0.6159,0.6377,0.6304,0.6667,0.6449,0.558,0.5725,0.7029,0.558,0.6355
125,0.6377,0.7029,0.6957,0.6159,0.6884,0.6304,0.6667,0.6449,0.558,0.5725,0.7029,0.558,0.6413
126,0.6377,0.7029,0.6957,0.6159,0.6884,0.6304,0.6667,0.6449,0.558,0.5725,0.7029,0.558,0.6413
127,0.6377,0.7029,0.6957,0.6159,0.6884,0.6304,0.6739,0.6449,0.558,0.5725,0.7029,0.558,0.642
128,0.6377,0.7029,0.6957,0.6159,0.6884,0.6304,0.6739,0.6449,0.558,0.5725,0.7029,0.558,0.642
129,0.6377,0.7029,0.6957,0.6159,0.6884,0.6304,0.6739,0.6449,0.558,0.5725,0.7029,0.558,0.642
130,0.6377,0.7029,0.6957,0.6159,0.6884,0.6304,0.6739,0.6449,0.558,0.5725,0.7029,0.558,0.642
131,0.6377,0.7029,0.6957,0.6304,0.6884,0.6304,0.6739,0.6449,0.558,0.5725,0.7029,0.558,0.6435
