timestamp,legacy_intelhda7,legacy_intelhda6,legacy_intelhda0,legacy_intelhda4,legacy_intelhda8,legacy_intelhda3,legacy_intelhda5,legacy_intelhda2,legacy_intelhda1,legacy_intelhda9,max,min,avg
128,0.7462,0.7207,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7201
129,0.7462,0.7207,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7201
130,0.7462,0.7207,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7201
131,0.7462,0.7207,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7201
132,0.7462,0.7237,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7204
133,0.7462,0.7237,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7204
134,0.7462,0.7237,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7204
135,0.7462,0.7237,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7204
136,0.7462,0.7237,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7204
138,0.7973,0.7237,0.6126,0.7237,0.7988,0.5871,0.7192,0.7462,0.8168,0.7297,0.8168,0.5871,0.7255
139,0.7973,0.7237,0.6126,0.7357,0.7988,0.6471,0.7192,0.7462,0.8168,0.7297,0.8168,0.6126,0.7327
140,0.7973,0.7237,0.6126,0.7357,0.7988,0.6471,0.7192,0.7462,0.8168,0.7297,0.8168,0.6126,0.7327
141,0.7973,0.7237,0.6126,0.7357,0.7988,0.6471,0.7192,0.7462,0.8168,0.7297,0.8168,0.6126,0.7327
142,0.7973,0.7237,0.6126,0.7357,0.7988,0.6471,0.7192,0.7462,0.8168,0.7297,0.8168,0.6126,0.7327
143,0.7973,0.7237,0.6126,0.7357,0.7988,0.6471,0.7192,0.7462,0.8168,0.7297,0.8168,0.6126,0.7327
