timestamp,xhci4,xhci2,xhci0,xhci8,xhci9,xhci7,xhci3,xhci5,xhci1,xhci6,max,min,avg
135,0.154,0.1258,0.1291,0.1193,0.1855,0.128,0.1312,0.141,0.1822,0.1638,0.1855,0.1193,0.146
136,0.1627,0.1258,0.1291,0.1204,0.1855,0.128,0.1312,0.141,0.1822,0.1638,0.1855,0.1204,0.147
137,0.1627,0.1258,0.1291,0.1204,0.1855,0.128,0.1312,0.141,0.1822,0.1638,0.1855,0.1204,0.147
138,0.1627,0.1258,0.1312,0.1204,0.1855,0.128,0.1323,0.141,0.1822,0.1638,0.1855,0.1204,0.1473
139,0.1627,0.1258,0.1312,0.1204,0.1855,0.1291,0.1323,0.141,0.1822,0.1638,0.1855,0.1204,0.1474
140,0.1627,0.1258,0.1312,0.1204,0.1855,0.1291,0.1323,0.141,0.1822,0.1638,0.1855,0.1204,0.1474
141,0.1627,0.1269,0.1312,0.1204,0.1855,0.1291,0.1323,0.141,0.1822,0.1638,0.1855,0.1204,0.1475
142,0.1627,0.1269,0.1312,0.1204,0.1855,0.1291,0.1323,0.141,0.1822,0.1638,0.1855,0.1204,0.1475
143,0.1627,0.1269,0.1312,0.1204,0.1855,0.1291,0.1323,0.141,0.1822,0.1638,0.1855,0.1204,0.1475
144,0.1627,0.1269,0.1312,0.1247,0.1855,0.1291,0.1323,0.141,0.1822,0.1638,0.1855,0.1247,0.1479
145,0.1638,0.128,0.1312,0.1247,0.1855,0.1291,0.1367,0.141,0.1822,0.1638,0.1855,0.1247,0.1486
146,0.1638,0.128,0.1312,0.1356,0.1855,0.1291,0.1388,0.141,0.1822,0.1649,0.1855,0.128,0.15
147,0.1638,0.128,0.1312,0.1356,0.1855,0.1302,0.1388,0.141,0.1822,0.1649,0.1855,0.128,0.1501
148,0.1638,0.1291,0.1312,0.1356,0.1855,0.1302,0.1388,0.141,0.1844,0.1649,0.1855,0.1291,0.1505
149,0.1638,0.1291,0.1312,0.1356,0.1855,0.1302,0.1388,0.141,0.1844,0.1649,0.1855,0.1291,0.1505
150,0.1638,0.1291,0.1312,0.1356,0.1855,0.1302,0.1388,0.141,0.1844,0.1649,0.1855,0.1291,0.1505
151,0.18,0.1291,0.1345,0.1356,0.1855,0.1302,0.141,0.141,0.1844,0.1649,0.1855,0.1291,0.1526
152,0.1811,0.1291,0.1345,0.1377,0.1855,0.1302,0.141,0.141,0.1844,0.1649,0.1855,0.1291,0.1529
153,0.1811,0.1291,0.1345,0.1377,0.1855,0.1302,0.141,0.141,0.1844,0.1649,0.1855,0.1291,0.1529
154,0.1855,0.1291,0.1345,0.1377,0.1855,0.1302,0.141,0.141,0.1844,0.1649,0.1855,0.1291,0.1534
155,0.1866,0.1291,0.1345,0.1377,0.1855,0.1302,0.141,0.141,0.1844,0.1649,0.1866,0.1291,0.1535
156,0.1866,0.1388,0.1464,0.1377,0.1855,0.1302,0.141,0.141,0.1844,0.1649,0.1866,0.1302,0.1557
157,0.1887,0.1388,0.1464,0.1377,0.1855,0.1302,0.141,0.141,0.1844,0.1659,0.1887,0.1302,0.156
158,0.1909,0.1388,0.1464,0.1377,0.1855,0.1302,0.1421,0.141,0.1844,0.1659,0.1909,0.1302,0.1563
159,0.1909,0.1399,0.1464,0.1377,0.1855,0.1302,0.1421,0.141,0.1844,0.1681,0.1909,0.1302,0.1566
160,0.1909,0.1399,0.1464,0.1377,0.1855,0.1302,0.1421,0.141,0.1844,0.1681,0.1909,0.1302,0.1566
161,0.1909,0.1399,0.1475,0.1377,0.1855,0.1302,0.1421,0.141,0.1844,0.1681,0.1909,0.1302,0.1567
162,0.1909,0.1399,0.1475,0.1377,0.1855,0.1302,0.1421,0.141,0.1844,0.1681,0.1909,0.1302,0.1567
163,0.1909,0.1399,0.1475,0.1377,0.1855,0.1302,0.1421,0.141,0.1844,0.1681,0.1909,0.1302,0.1567
164,0.1909,0.1399,0.1475,0.1377,0.1855,0.1302,0.1421,0.141,0.1931,0.1681,0.1931,0.1302,0.1576
165,0.1909,0.1399,0.1475,0.1377,0.1855,0.1302,0.1421,0.1443,0.2061,0.1681,0.2061,0.1302,0.1592
166,0.1909,0.1399,0.1475,0.1377,0.1887,0.1302,0.1421,0.1443,0.2061,0.1703,0.2061,0.1302,0.1598
167,0.1909,0.1399,0.1475,0.1377,0.1887,0.1302,0.1421,0.1443,0.2061,0.1703,0.2061,0.1302,0.1598
168,0.1941,0.1421,0.1475,0.1388,0.192,0.1302,0.1421,0.1443,0.2061,0.1703,0.2061,0.1302,0.1608
169,0.1941,0.1421,0.1475,0.1388,0.192,0.1302,0.1421,0.1443,0.2082,0.1703,0.2082,0.1302,0.161
170,0.1941,0.1421,0.1475,0.1388,0.192,0.1302,0.1421,0.1443,0.2082,0.1703,0.2082,0.1302,0.161
171,0.1941,0.1421,0.1475,0.1388,0.192,0.1302,0.1421,0.1443,0.2082,0.1703,0.2082,0.1302,0.161
172,0.1941,0.1432,0.1475,0.1399,0.192,0.1302,0.1421,0.1443,0.2082,0.1703,0.2082,0.1302,0.1612
173,0.1941,0.1443,0.1475,0.1399,0.192,0.1302,0.1421,0.1443,0.2082,0.1703,0.2082,0.1302,0.1613
174,0.1941,0.1443,0.1475,0.1399,0.192,0.1312,0.1421,0.1443,0.2082,0.1703,0.2082,0.1312,0.1614
175,0.1941,0.1443,0.1475,0.1399,0.192,0.1312,0.1421,0.1443,0.2082,0.1703,0.2082,0.1312,0.1614
176,0.1941,0.1453,0.1475,0.1399,0.192,0.1312,0.1421,0.1443,0.2082,0.1703,0.2082,0.1312,0.1615
177,0.1941,0.1453,0.1486,0.1399,0.192,0.1312,0.1421,0.1443,0.2082,0.1703,0.2082,0.1312,0.1616
178,0.1941,0.1453,0.1486,0.1399,0.192,0.1312,0.1421,0.1464,0.2082,0.1703,0.2082,0.1312,0.1618
179,0.1941,0.1453,0.1486,0.1399,0.192,0.141,0.1421,0.1464,0.2082,0.1703,0.2082,0.1399,0.1628
180,0.1963,0.1453,0.1486,0.1399,0.192,0.1432,0.1421,0.1464,0.2082,0.1703,0.2082,0.1399,0.1632
181,0.1963,0.1464,0.1486,0.1399,0.192,0.1432,0.1421,0.1464,0.2082,0.1703,0.2082,0.1399,0.1633
182,0.1963,0.1464,0.1486,0.1399,0.1931,0.1432,0.1421,0.1464,0.2093,0.1703,0.2093,0.1399,0.1636
183,0.1963,0.1464,0.1486,0.1399,0.1931,0.1432,0.1421,0.1464,0.2104,0.1703,0.2104,0.1399,0.1637
184,0.1963,0.1464,0.1486,0.1399,0.1931,0.1432,0.1421,0.1464,0.2104,0.1703,0.2104,0.1399,0.1637
185,0.1963,0.1464,0.1486,0.1399,0.1931,0.1432,0.1421,0.1464,0.2104,0.1703,0.2104,0.1399,0.1637
186,0.1963,0.1464,0.1486,0.1399,0.1931,0.1432,0.1421,0.1464,0.2104,0.1703,0.2104,0.1399,0.1637
187,0.1963,0.1464,0.1486,0.1399,0.1931,0.1432,0.1421,0.1464,0.2169,0.1703,0.2169,0.1399,0.1643
188,0.1963,0.1464,0.1486,0.1399,0.1931,0.1432,0.1421,0.1464,0.2169,0.1703,0.2169,0.1399,0.1643
189,0.1963,0.1562,0.1486,0.1399,0.1931,0.1443,0.1421,0.1464,0.2169,0.1703,0.2169,0.1399,0.1654
190,0.1963,0.1562,0.154,0.1399,0.1931,0.1475,0.1421,0.1464,0.2169,0.1703,0.2169,0.1399,0.1663
191,0.1963,0.1573,0.154,0.1399,0.1931,0.1475,0.1421,0.1464,0.2169,0.1714,0.2169,0.1399,0.1665
192,0.1963,0.1573,0.154,0.1399,0.1931,0.1475,0.1421,0.1464,0.2234,0.1714,0.2234,0.1399,0.1671
193,0.1963,0.1573,0.154,0.1399,0.1931,0.1475,0.1421,0.1464,0.2234,0.1714,0.2234,0.1399,0.1671
194,0.1963,0.1573,0.154,0.1399,0.1931,0.1475,0.1421,0.1464,0.2234,0.1714,0.2234,0.1399,0.1671
195,0.1963,0.1573,0.154,0.1399,0.1931,0.1475,0.1421,0.1464,0.2245,0.1714,0.2245,0.1399,0.1672
196,0.1963,0.1573,0.154,0.1399,0.1931,0.1475,0.1421,0.1464,0.2245,0.1714,0.2245,0.1399,0.1672
197,0.1963,0.1573,0.154,0.1399,0.1931,0.1475,0.1421,0.1464,0.2245,0.1714,0.2245,0.1399,0.1672
198,0.1963,0.1573,0.154,0.1399,0.1931,0.1475,0.1421,0.1464,0.2245,0.1714,0.2245,0.1399,0.1672
199,0.1963,0.1573,0.1584,0.1399,0.1931,0.1475,0.1421,0.1464,0.2245,0.1714,0.2245,0.1399,0.1677
