timestamp,uhci9,uhci2,uhci4,uhci1,uhci0,uhci5,uhci3,uhci8,uhci7,uhci6,max,min,avg
111,0.6647,0.6734,0.6763,0.6763,0.6676,0.6676,0.6705,0.6676,0.6618,0.6705,0.6763,0.6618,0.6696
112,0.6647,0.6705,0.6763,0.6734,0.6676,0.6676,0.6734,0.6647,0.6618,0.6705,0.6763,0.6618,0.6691
113,0.6647,0.6734,0.6792,0.6734,0.6676,0.6676,0.6705,0.6647,0.6618,0.6705,0.6792,0.6618,0.6693
114,0.6647,0.6734,0.6763,0.6734,0.6676,0.6676,0.6705,0.6676,0.6647,0.6734,0.6763,0.6647,0.6699
115,0.6647,0.6705,0.6763,0.6734,0.6676,0.6676,0.6705,0.6647,0.6618,0.6705,0.6763,0.6618,0.6688
116,0.6647,0.6705,0.6792,0.6763,0.6676,0.6676,0.6705,0.6647,0.6618,0.6705,0.6792,0.6618,0.6693
117,0.6647,0.6705,0.6792,0.6734,0.6676,0.6676,0.6734,0.6676,0.6618,0.6705,0.6792,0.6618,0.6696
118,0.6647,0.6705,0.6763,0.6734,0.6705,0.6676,0.6734,0.6676,0.6647,0.6705,0.6763,0.6647,0.6699
119,0.6647,0.6705,0.6763,0.6734,0.6705,0.6676,0.6705,0.6647,0.6618,0.6705,0.6763,0.6618,0.669
120,0.6647,0.6705,0.6763,0.6792,0.6676,0.6705,0.6705,0.6647,0.6705,0.6705,0.6792,0.6647,0.6705
121,0.6705,0.6705,0.6763,0.6792,0.6676,0.6676,0.6705,0.6676,0.6705,0.6705,0.6792,0.6676,0.6711
122,0.6705,0.6705,0.6763,0.6792,0.6676,0.6676,0.6705,0.6647,0.6705,0.6705,0.6792,0.6647,0.6708
123,0.6705,0.6734,0.6763,0.6792,0.6676,0.6676,0.6705,0.6647,0.6734,0.6705,0.6792,0.6647,0.6714
124,0.6705,0.6705,0.6763,0.6792,0.6676,0.6676,0.6734,0.6647,0.6705,0.6705,0.6792,0.6647,0.6711
125,0.6705,0.6705,0.6763,0.6821,0.6676,0.6676,0.6705,0.6647,0.6705,0.6734,0.6821,0.6647,0.6714
126,0.6734,0.6705,0.6792,0.6792,0.6676,0.6705,0.6705,0.6647,0.6734,0.6734,0.6792,0.6647,0.6722
127,0.6705,0.6705,0.6763,0.6792,0.6705,0.6676,0.6705,0.6647,0.6734,0.6705,0.6792,0.6647,0.6714
128,0.6734,0.6705,0.6792,0.6792,0.6676,0.6676,0.6705,0.6647,0.6705,0.6705,0.6792,0.6647,0.6714
129,0.6705,0.6705,0.6821,0.6821,0.6676,0.6676,0.6705,0.6676,0.6705,0.6705,0.6821,0.6676,0.6719
130,0.6734,0.6705,0.6821,0.6821,0.6705,0.6676,0.6705,0.6647,0.6734,0.6705,0.6821,0.6647,0.6725
131,0.6734,0.6705,0.6821,0.685,0.6734,0.6676,0.6705,0.6647,0.6705,0.6705,0.685,0.6647,0.6728
132,0.6705,0.6705,0.685,0.6821,0.6705,0.6676,0.6705,0.6647,0.6705,0.6705,0.685,0.6647,0.6722
133,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6705,0.6647,0.6705,0.6705,0.6821,0.6647,0.6719
134,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6705,0.6647,0.6705,0.6705,0.6821,0.6647,0.6719
135,0.6705,0.6705,0.685,0.6821,0.6705,0.6705,0.6705,0.6647,0.6705,0.6734,0.685,0.6647,0.6728
136,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6705,0.6647,0.6705,0.6705,0.6821,0.6647,0.6719
137,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6705,0.6647,0.6734,0.6705,0.6821,0.6647,0.6722
138,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6705,0.6676,0.6705,0.6705,0.6821,0.6676,0.6722
139,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6734,0.6647,0.6734,0.6705,0.6821,0.6647,0.6725
140,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6734,0.6647,0.6705,0.6734,0.6821,0.6647,0.6725
141,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6734,0.6647,0.6705,0.6705,0.6821,0.6647,0.6722
142,0.6705,0.6705,0.685,0.6821,0.6705,0.6676,0.6734,0.6647,0.6705,0.6705,0.685,0.6647,0.6725
143,0.6705,0.6705,0.6821,0.6821,0.6705,0.6676,0.6734,0.6647,0.6705,0.6705,0.6821,0.6647,0.6722
