timestamp,legacy_ac970,legacy_ac971,legacy_ac975,legacy_ac976,legacy_ac973,legacy_ac972,max,min,avg
95,0.9141,0.9141,0.919,0.9288,0.8985,0.9034,0.9288,0.8985,0.913
96,0.918,0.9093,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.913
97,0.918,0.9093,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.913
98,0.918,0.9093,0.8605,0.879,0.8985,0.9298,0.9298,0.8605,0.8992
99,0.918,0.9093,0.8605,0.879,0.8985,0.9034,0.918,0.8605,0.8948
100,0.918,0.9141,0.8605,0.9034,0.8985,0.9034,0.918,0.8605,0.8996
101,0.918,0.9063,0.8605,0.9034,0.8985,0.9298,0.9298,0.8605,0.9028
102,0.918,0.9141,0.8605,0.9034,0.8985,0.9298,0.9298,0.8605,0.9041
103,0.918,0.9063,0.8605,0.9034,0.8985,0.9298,0.9298,0.8605,0.9028
104,0.918,0.9063,0.8605,0.882,0.8985,0.9298,0.9298,0.8605,0.8992
105,0.918,0.9093,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.913
106,0.918,0.9093,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.913
107,0.918,0.9093,0.919,0.9034,0.8985,0.9278,0.9278,0.8985,0.9127
108,0.918,0.9093,0.919,0.9288,0.8985,0.9034,0.9288,0.8985,0.9128
109,0.918,0.9093,0.919,0.9034,0.8985,0.9034,0.919,0.8985,0.9086
110,0.918,0.9093,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.913
111,0.918,0.9093,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.913
112,0.918,0.9141,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.9138
113,0.918,0.9141,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.9138
115,0.918,0.9063,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.9125
116,0.918,0.9063,0.919,0.9034,0.8771,0.9298,0.9298,0.8771,0.9089
117,0.918,0.9063,0.919,0.9288,0.8985,0.9298,0.9298,0.8985,0.9167
118,0.918,0.9063,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.9125
119,0.918,0.9063,0.9239,0.9034,0.8985,0.9298,0.9298,0.8985,0.9133
120,0.918,0.9063,0.9239,0.9034,0.8985,0.9034,0.9239,0.8985,0.9089
121,0.918,0.9063,0.9239,0.9034,0.8771,0.9034,0.9239,0.8771,0.9053
123,0.9141,0.9063,0.9239,0.9034,0.8771,0.9278,0.9278,0.8771,0.9088
124,0.9141,0.9063,0.9239,0.9034,0.8771,0.9298,0.9298,0.8771,0.9091
125,0.9141,0.9063,0.919,0.9034,0.8771,0.9298,0.9298,0.8771,0.9083
126,0.9141,0.9063,0.919,0.9034,0.8771,0.9298,0.9298,0.8771,0.9083
127,0.9141,0.9063,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.9118
128,0.9141,0.9063,0.919,0.9034,0.8771,0.9298,0.9298,0.8771,0.9083
129,0.9141,0.9063,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.9118
130,0.9141,0.9063,0.919,0.9034,0.8771,0.9298,0.9298,0.8771,0.9083
131,0.9141,0.9063,0.9239,0.9034,0.8985,0.9298,0.9298,0.8985,0.9127
132,0.9141,0.9063,0.9239,0.9034,0.8615,0.9298,0.9298,0.8615,0.9065
133,0.9141,0.9063,0.9239,0.9034,0.8176,0.9298,0.9298,0.8176,0.8992
134,0.918,0.9063,0.9239,0.9034,0.8771,0.9298,0.9298,0.8771,0.9098
135,0.918,0.9063,0.919,0.9034,0.8615,0.9298,0.9298,0.8615,0.9063
136,0.918,0.9093,0.919,0.9034,0.8985,0.9298,0.9298,0.8985,0.913
137,0.918,0.9093,0.919,0.9034,0.8771,0.9298,0.9298,0.8771,0.9094
138,0.918,0.9093,0.919,0.9288,0.8771,0.9298,0.9298,0.8771,0.9137
139,0.918,0.9093,0.919,0.9288,0.8771,0.9298,0.9298,0.8771,0.9137
140,0.918,0.9093,0.919,0.9288,0.8771,0.9298,0.9298,0.8771,0.9137
141,0.918,0.9093,0.8868,0.9288,0.8985,0.9298,0.9298,0.8868,0.9119
143,0.918,0.9093,0.8868,0.8946,0.8985,0.9298,0.9298,0.8868,0.9062
144,0.918,0.9093,0.8868,0.8946,0.8985,0.9298,0.9298,0.8868,0.9062
145,0.918,0.9093,0.8868,0.9288,0.8985,0.9298,0.9298,0.8868,0.9119
146,0.918,0.9093,0.9239,0.9288,0.8985,0.9298,0.9298,0.8985,0.9181
147,0.918,0.9093,0.9239,0.9288,0.8985,0.9298,0.9298,0.8985,0.9181
148,0.918,0.9141,0.9239,0.9288,0.8985,0.9278,0.9288,0.8985,0.9185
150,0.918,0.9141,0.9239,0.9288,0.8985,0.9278,0.9288,0.8985,0.9185
152,0.918,0.9141,0.9239,0.8693,0.8985,0.9278,0.9278,0.8693,0.9086
153,0.918,0.9141,0.9239,0.8693,0.8985,0.9298,0.9298,0.8693,0.9089
154,0.918,0.9141,0.9239,0.9288,0.8985,0.9298,0.9298,0.8985,0.9189
155,0.918,0.9141,0.919,0.9288,0.8985,0.9298,0.9298,0.8985,0.918
156,0.918,0.9141,0.919,0.9288,0.8771,0.9298,0.9298,0.8771,0.9145
157,0.918,0.9141,0.919,0.9288,0.8985,0.9298,0.9298,0.8985,0.918
158,0.918,0.9141,0.919,0.9288,0.8985,0.9298,0.9298,0.8985,0.918
159,0.918,0.9141,0.919,0.9288,0.8771,0.9298,0.9298,0.8771,0.9145
160,0.918,0.9141,0.919,0.9288,0.8771,0.9298,0.9298,0.8771,0.9145
161,0.918,0.9141,0.919,0.9034,0.8771,0.9298,0.9298,0.8771,0.9102
162,0.9141,0.9141,0.919,0.9288,0.8771,0.9298,0.9298,0.8771,0.9138
163,0.9141,0.9141,0.919,0.9288,0.8985,0.9298,0.9298,0.8985,0.9174
164,0.9141,0.9141,0.919,0.8946,0.8985,0.9298,0.9298,0.8946,0.9117
165,0.918,0.9093,0.919,0.879,0.8985,0.9298,0.9298,0.879,0.9089
166,0.918,0.9093,0.919,0.9288,0.8985,0.8985,0.9288,0.8985,0.912
167,0.918,0.9093,0.8868,0.8693,0.8985,0.8985,0.918,0.8693,0.8967
168,0.918,0.9093,0.8868,0.8693,0.8985,0.8985,0.918,0.8693,0.8967
169,0.918,0.9141,0.8868,0.8693,0.8985,0.9298,0.9298,0.8693,0.9028
170,0.918,0.9141,0.8868,0.9034,0.8771,0.9298,0.9298,0.8771,0.9049
171,0.9141,0.9141,0.8868,0.9229,0.8615,0.9298,0.9298,0.8615,0.9049
