timestamp,fdc1,fdc4,fdc3,fdc6,fdc8,fdc9,fdc7,fdc5,fdc2,fdc0,max,min,avg
75,0.4736,0.4675,0.4187,0.4776,0.4837,0.4614,0.4492,0.4695,0.4756,0.4329,0.4837,0.4187,0.461
76,0.4736,0.4675,0.4187,0.4797,0.4837,0.4614,0.4492,0.4695,0.4756,0.4329,0.4837,0.4187,0.4612
77,0.4756,0.4675,0.4187,0.4797,0.4837,0.4675,0.4492,0.4695,0.4756,0.4329,0.4837,0.4187,0.462
78,0.4756,0.4675,0.4187,0.4797,0.4837,0.4695,0.4492,0.4715,0.4756,0.4329,0.4837,0.4187,0.4624
79,0.4756,0.4675,0.4187,0.4797,0.4837,0.4695,0.4492,0.4715,0.4756,0.4329,0.4837,0.4187,0.4624
80,0.4756,0.4695,0.4187,0.4797,0.4837,0.4695,0.4492,0.4715,0.4756,0.4329,0.4837,0.4187,0.4626
81,0.4756,0.4695,0.4187,0.4797,0.4837,0.4695,0.4492,0.4715,0.4756,0.435,0.4837,0.4187,0.4628
82,0.4756,0.4715,0.4187,0.4797,0.4837,0.4695,0.4492,0.4715,0.4756,0.435,0.4837,0.4187,0.463
83,0.4756,0.4715,0.4187,0.4797,0.4858,0.4695,0.4492,0.4715,0.4756,0.435,0.4858,0.4187,0.4632
84,0.4756,0.4715,0.4187,0.4817,0.4898,0.4695,0.4492,0.4715,0.4756,0.435,0.4898,0.4187,0.4638
85,0.4756,0.4715,0.4187,0.4817,0.4898,0.4695,0.4492,0.4715,0.4756,0.435,0.4898,0.4187,0.4638
86,0.4756,0.4715,0.4187,0.4817,0.4898,0.4695,0.4492,0.4736,0.4756,0.435,0.4898,0.4187,0.464
87,0.4756,0.4715,0.4187,0.4817,0.4898,0.4736,0.4492,0.4736,0.4756,0.435,0.4898,0.4187,0.4644
88,0.4756,0.4715,0.4187,0.4817,0.4898,0.4736,0.4492,0.4736,0.4756,0.435,0.4898,0.4187,0.4644
89,0.4756,0.4715,0.4187,0.4817,0.4898,0.4736,0.4492,0.4736,0.4756,0.435,0.4898,0.4187,0.4644
90,0.4756,0.4715,0.4187,0.4817,0.4898,0.4736,0.4492,0.4736,0.4756,0.435,0.4898,0.4187,0.4644
91,0.4756,0.4715,0.4187,0.4817,0.4898,0.4736,0.4492,0.4736,0.4756,0.435,0.4898,0.4187,0.4644
92,0.4756,0.4715,0.4187,0.4817,0.4898,0.4736,0.4492,0.4736,0.4756,0.435,0.4898,0.4187,0.4644
93,0.4756,0.4715,0.4187,0.4817,0.4898,0.4736,0.4512,0.4736,0.4756,0.435,0.4898,0.4187,0.4646
94,0.4756,0.4736,0.4187,0.4817,0.4959,0.4736,0.4512,0.4736,0.4756,0.4472,0.4959,0.4187,0.4667
95,0.4756,0.4736,0.4187,0.4817,0.498,0.4736,0.4512,0.4736,0.4756,0.4472,0.498,0.4187,0.4669
96,0.4756,0.4736,0.4187,0.4817,0.498,0.4736,0.4512,0.4736,0.4756,0.4472,0.498,0.4187,0.4669
97,0.4756,0.4736,0.4187,0.4817,0.498,0.4736,0.4512,0.4736,0.4756,0.4593,0.498,0.4187,0.4681
98,0.4756,0.4736,0.4187,0.4817,0.498,0.4736,0.4512,0.4736,0.4756,0.4593,0.498,0.4187,0.4681
99,0.4756,0.4756,0.4187,0.4817,0.498,0.4736,0.4512,0.4736,0.4756,0.4593,0.498,0.4187,0.4683
100,0.4756,0.4756,0.4187,0.4817,0.498,0.4837,0.4512,0.4736,0.4756,0.4593,0.498,0.4187,0.4693
101,0.4756,0.4756,0.4187,0.4817,0.498,0.4837,0.4512,0.4736,0.4756,0.4593,0.498,0.4187,0.4693
102,0.4756,0.4756,0.4187,0.4817,0.498,0.4837,0.4512,0.4736,0.4756,0.4593,0.498,0.4187,0.4693
103,0.4756,0.4756,0.4187,0.4817,0.498,0.4837,0.4512,0.4736,0.4756,0.4593,0.498,0.4187,0.4693
104,0.4756,0.4756,0.4187,0.4817,0.498,0.4837,0.4512,0.4736,0.4756,0.4593,0.498,0.4187,0.4693
105,0.4756,0.4756,0.4187,0.4817,0.498,0.4837,0.4512,0.502,0.4756,0.4593,0.502,0.4187,0.4721
106,0.4756,0.4756,0.4187,0.4817,0.498,0.4837,0.4512,0.502,0.4756,0.4593,0.502,0.4187,0.4721
107,0.4756,0.4756,0.4187,0.4837,0.498,0.4837,0.4512,0.502,0.4756,0.4593,0.502,0.4187,0.4723
108,0.4756,0.4756,0.4187,0.4837,0.498,0.4837,0.4614,0.502,0.4756,0.4593,0.502,0.4187,0.4734
109,0.4756,0.4756,0.4187,0.4837,0.498,0.4837,0.4695,0.502,0.4756,0.4593,0.502,0.4187,0.4742
110,0.4756,0.4756,0.4207,0.4837,0.498,0.4837,0.4695,0.502,0.4756,0.4593,0.502,0.4207,0.4744
111,0.4756,0.4756,0.4248,0.4837,0.498,0.4837,0.4695,0.502,0.4756,0.4654,0.502,0.4248,0.4754
112,0.4756,0.4756,0.4248,0.4837,0.498,0.4837,0.4695,0.502,0.4756,0.4654,0.502,0.4248,0.4754
113,0.4756,0.4756,0.4248,0.4837,0.498,0.4837,0.4695,0.502,0.4756,0.4654,0.502,0.4248,0.4754
114,0.4756,0.4756,0.4248,0.4837,0.498,0.4837,0.4715,0.502,0.4756,0.4654,0.502,0.4248,0.4756
115,0.4756,0.4756,0.4248,0.4837,0.498,0.4837,0.4715,0.502,0.4756,0.4654,0.502,0.4248,0.4756
116,0.4756,0.4756,0.4248,0.4837,0.5,0.4837,0.4715,0.502,0.4756,0.4654,0.502,0.4248,0.4758
117,0.4756,0.4756,0.4268,0.4837,0.5,0.4837,0.4715,0.502,0.4776,0.4654,0.502,0.4268,0.4762
118,0.4756,0.4756,0.4268,0.4837,0.5,0.4837,0.4736,0.502,0.4776,0.4654,0.502,0.4268,0.4764
119,0.4756,0.4837,0.4268,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4268,0.4774
120,0.4756,0.4837,0.4268,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4268,0.4774
121,0.4756,0.4837,0.4268,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4268,0.4774
122,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4472,0.4807
123,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4472,0.4807
124,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4472,0.4807
125,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4472,0.4807
126,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4472,0.4807
127,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4472,0.4807
128,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4472,0.4807
129,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4472,0.4807
130,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4472,0.4807
131,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4472,0.4807
132,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4472,0.4807
133,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4736,0.502,0.4776,0.4654,0.502,0.4472,0.4807
134,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4756,0.502,0.4858,0.4654,0.502,0.4472,0.4817
135,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4756,0.502,0.4858,0.4654,0.502,0.4472,0.4817
136,0.4817,0.4898,0.4472,0.4837,0.5,0.4858,0.4756,0.502,0.4858,0.4654,0.502,0.4472,0.4817
137,0.4837,0.4898,0.4472,0.4837,0.5,0.4858,0.4776,0.502,0.4858,0.4654,0.502,0.4472,0.4821
138,0.4837,0.4898,0.4472,0.4837,0.5,0.4858,0.4776,0.502,0.4858,0.4654,0.502,0.4472,0.4821
139,0.4837,0.4898,0.4472,0.4837,0.5,0.4858,0.4776,0.502,0.4858,0.4654,0.502,0.4472,0.4821
140,0.4837,0.4898,0.4472,0.4837,0.5,0.4858,0.4776,0.502,0.4858,0.4654,0.502,0.4472,0.4821
141,0.4837,0.4898,0.4472,0.4837,0.5,0.4858,0.4776,0.502,0.4858,0.4654,0.502,0.4472,0.4821
142,0.4837,0.4898,0.4512,0.4837,0.5,0.4858,0.4776,0.502,0.4878,0.4654,0.502,0.4512,0.4827
143,0.4837,0.4898,0.4512,0.4837,0.5,0.4858,0.4837,0.502,0.4878,0.4654,0.502,0.4512,0.4833
144,0.4837,0.4898,0.4512,0.4837,0.5,0.4858,0.4837,0.502,0.4878,0.4654,0.502,0.4512,0.4833
145,0.4837,0.4898,0.4512,0.4837,0.5,0.4858,0.4837,0.502,0.4878,0.4654,0.502,0.4512,0.4833
146,0.4858,0.4898,0.4512,0.4837,0.5,0.4858,0.4837,0.502,0.4878,0.4654,0.502,0.4512,0.4835
