timestamp,uhci5,uhci8,uhci3,uhci6,uhci0,uhci1,uhci9,uhci4,uhci7,uhci2,max,min,avg
90,0.396,0.396,0.396,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3908
91,0.396,0.396,0.396,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3908
92,0.396,0.396,0.396,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3908
93,0.396,0.396,0.396,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3908
94,0.396,0.396,0.396,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3908
95,0.396,0.396,0.396,0.3931,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3908
96,0.396,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3911
97,0.3988,0.396,0.396,0.396,0.3786,0.3786,0.4191,0.3757,0.3988,0.3786,0.4191,0.3757,0.3916
98,0.3988,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3913
99,0.3988,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3913
100,0.3988,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3913
101,0.3988,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3913
102,0.3988,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3913
103,0.3988,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3913
104,0.3988,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3913
105,0.3988,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3913
106,0.3988,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3913
107,0.3988,0.396,0.396,0.3988,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3916
108,0.3988,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3913
109,0.3988,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3913
110,0.3988,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3913
111,0.4162,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3931
112,0.4162,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3931
113,0.4162,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3931
114,0.4162,0.396,0.396,0.3988,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3934
115,0.4162,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3931
116,0.4162,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3931
117,0.4162,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3931
118,0.4162,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3931
119,0.4162,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3931
120,0.4162,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3931
121,0.4162,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3931
122,0.4162,0.396,0.396,0.396,0.3786,0.3786,0.4162,0.3757,0.3988,0.3786,0.4162,0.3757,0.3931
