timestamp,ohci7,ohci5,ohci8,ohci2,ohci3,ohci4,ohci0,ohci9,ohci1,ohci6,max,min,avg
147,0.7701,0.7409,0.7682,0.7956,0.7847,0.7774,0.719,0.7847,0.7609,0.6734,0.7956,0.6734,0.7575
148,0.7701,0.7409,0.7682,0.7956,0.7847,0.7774,0.719,0.7847,0.7609,0.6734,0.7956,0.6734,0.7575
149,0.7701,0.7409,0.7682,0.7956,0.7847,0.7774,0.719,0.7847,0.7701,0.7208,0.7956,0.719,0.7631
150,0.7701,0.7409,0.7682,0.7956,0.7847,0.7774,0.719,0.7847,0.7701,0.7208,0.7956,0.719,0.7631
151,0.7701,0.7409,0.7682,0.7956,0.7847,0.7774,0.719,0.7847,0.7701,0.7281,0.7956,0.719,0.7639
152,0.7701,0.7409,0.7701,0.7956,0.7847,0.7774,0.719,0.7847,0.7701,0.7281,0.7956,0.719,0.7641
153,0.7701,0.7409,0.7701,0.7956,0.7847,0.7774,0.719,0.7847,0.7701,0.7281,0.7956,0.719,0.7641
154,0.7701,0.7409,0.7701,0.7974,0.7847,0.7774,0.719,0.7847,0.7701,0.7281,0.7974,0.719,0.7642
155,0.7701,0.7409,0.7701,0.7974,0.7847,0.7774,0.719,0.7847,0.7701,0.7281,0.7974,0.719,0.7642
156,0.7701,0.7409,0.7701,0.7974,0.7956,0.7774,0.719,0.7847,0.7701,0.7445,0.7974,0.719,0.767
157,0.7701,0.7409,0.7701,0.7974,0.7956,0.7774,0.719,0.7847,0.7701,0.7482,0.7974,0.719,0.7674
158,0.7701,0.7409,0.7701,0.7974,0.7956,0.7774,0.719,0.7847,0.7701,0.7482,0.7974,0.719,0.7674
159,0.7737,0.7409,0.7701,0.7974,0.7956,0.7774,0.719,0.7847,0.7701,0.7482,0.7974,0.719,0.7677
160,0.7737,0.7409,0.7701,0.7974,0.7956,0.7774,0.719,0.7847,0.7701,0.7482,0.7974,0.719,0.7677
161,0.7737,0.7409,0.7701,0.7974,0.7956,0.7774,0.719,0.7847,0.7701,0.7482,0.7974,0.719,0.7677
162,0.7737,0.7409,0.7701,0.7974,0.7956,0.7774,0.719,0.7847,0.7701,0.7482,0.7974,0.719,0.7677
163,0.7737,0.7409,0.7701,0.7974,0.7956,0.7774,0.719,0.7847,0.7719,0.7482,0.7974,0.719,0.7679
164,0.7737,0.7409,0.7701,0.7974,0.7956,0.7774,0.719,0.7847,0.7719,0.75,0.7974,0.719,0.7681
165,0.7737,0.7409,0.7701,0.7974,0.7956,0.7774,0.7208,0.7847,0.7719,0.75,0.7974,0.7208,0.7682
166,0.7737,0.7409,0.7701,0.7974,0.7956,0.7774,0.7208,0.7847,0.7719,0.75,0.7974,0.7208,0.7682
167,0.7737,0.7409,0.7701,0.7974,0.7956,0.7774,0.7208,0.7847,0.7719,0.75,0.7974,0.7208,0.7682
168,0.7737,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7719,0.75,0.7974,0.7208,0.7684
169,0.7737,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7755,0.75,0.7974,0.7208,0.7688
170,0.7737,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7755,0.75,0.7974,0.7208,0.7688
171,0.7737,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7755,0.75,0.7974,0.7208,0.7688
172,0.7737,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7792,0.75,0.7974,0.7208,0.7692
173,0.7755,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7792,0.75,0.7974,0.7208,0.7693
174,0.7755,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7792,0.75,0.7974,0.7208,0.7693
175,0.7755,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7792,0.75,0.7974,0.7208,0.7693
176,0.7755,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7792,0.75,0.7974,0.7208,0.7693
177,0.7755,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7792,0.75,0.7974,0.7208,0.7693
178,0.7755,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7792,0.75,0.7974,0.7208,0.7693
179,0.7755,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7792,0.75,0.7974,0.7208,0.7693
180,0.7755,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7792,0.75,0.7974,0.7208,0.7693
181,0.7755,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7792,0.75,0.7974,0.7208,0.7693
182,0.7755,0.7409,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7792,0.75,0.7974,0.7208,0.7693
183,0.7847,0.7445,0.7701,0.7974,0.7956,0.7792,0.7208,0.7847,0.7792,0.75,0.7974,0.7208,0.7706
184,0.7847,0.7445,0.7701,0.7974,0.7956,0.7792,0.7226,0.7847,0.7792,0.75,0.7974,0.7226,0.7708
185,0.7847,0.7445,0.7701,0.7974,0.7956,0.7792,0.7226,0.7847,0.7792,0.75,0.7974,0.7226,0.7708
186,0.7847,0.7445,0.7701,0.7974,0.7956,0.7792,0.7226,0.7847,0.7792,0.75,0.7974,0.7226,0.7708
187,0.7847,0.7445,0.7701,0.7974,0.7956,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7712
188,0.7847,0.7445,0.7701,0.7974,0.7956,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7712
189,0.7847,0.7445,0.7701,0.7974,0.7956,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7712
190,0.7847,0.7445,0.7701,0.7974,0.7956,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7712
191,0.7847,0.7445,0.7701,0.7974,0.7974,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7713
192,0.7847,0.7445,0.7701,0.7974,0.7974,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7713
193,0.7847,0.7445,0.7701,0.7974,0.7974,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7713
194,0.7847,0.7445,0.7701,0.7974,0.7974,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7713
195,0.7847,0.7445,0.7701,0.7974,0.7974,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7713
196,0.7847,0.7445,0.7701,0.7974,0.7974,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7713
197,0.7847,0.7482,0.7701,0.7974,0.7974,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7717
198,0.7847,0.7482,0.7701,0.7974,0.7974,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7717
199,0.7847,0.7482,0.7701,0.7974,0.7974,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7717
200,0.7847,0.7482,0.7701,0.7974,0.7974,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7717
201,0.7847,0.7482,0.7701,0.7974,0.7974,0.7792,0.7226,0.7883,0.7792,0.75,0.7974,0.7226,0.7717
202,0.7847,0.7482,0.7701,0.7974,0.7974,0.7792,0.7226,0.7901,0.781,0.75,0.7974,0.7226,0.7721
203,0.7847,0.7482,0.7701,0.7974,0.7974,0.7792,0.7226,0.7901,0.781,0.75,0.7974,0.7226,0.7721
204,0.7847,0.7482,0.7701,0.7974,0.7974,0.7792,0.7226,0.7901,0.781,0.7518,0.7974,0.7226,0.7722
205,0.7847,0.7482,0.7701,0.7974,0.7974,0.7792,0.7226,0.7901,0.781,0.7701,0.7974,0.7226,0.7741
206,0.7847,0.7646,0.7701,0.7974,0.7974,0.7792,0.7226,0.7901,0.781,0.7701,0.7974,0.7226,0.7757
207,0.7847,0.7646,0.7701,0.7974,0.7974,0.7792,0.7226,0.7901,0.781,0.7701,0.7974,0.7226,0.7757
208,0.7847,0.7646,0.7701,0.7974,0.7974,0.7792,0.7226,0.7901,0.781,0.7701,0.7974,0.7226,0.7757
209,0.7847,0.7646,0.7701,0.7974,0.7974,0.7792,0.7299,0.7901,0.781,0.7701,0.7974,0.7299,0.7764
210,0.7847,0.7646,0.7701,0.7974,0.7974,0.7792,0.7299,0.7901,0.781,0.7701,0.7974,0.7299,0.7764
