timestamp,ohci8,ohci9,ohci7,ohci2,ohci6,ohci3,ohci1,ohci4,ohci0,ohci5,max,min,avg
88,0.3668,0.3577,0.3704,0.3358,0.3686,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3593
89,0.3668,0.3577,0.3704,0.3358,0.3686,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3593
90,0.3668,0.3577,0.3704,0.3358,0.3686,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3593
91,0.3668,0.3577,0.3704,0.3358,0.3686,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3593
92,0.3668,0.3631,0.3704,0.3358,0.3686,0.3631,0.3522,0.3577,0.3631,0.3577,0.3704,0.3358,0.3599
93,0.3668,0.3631,0.3704,0.3358,0.3686,0.3631,0.3522,0.3577,0.3631,0.3631,0.3704,0.3358,0.3604
94,0.3668,0.3631,0.3704,0.3358,0.3686,0.3631,0.3522,0.3577,0.3631,0.3631,0.3704,0.3358,0.3604
95,0.3668,0.3631,0.3704,0.3358,0.3686,0.3631,0.3595,0.3577,0.3631,0.3631,0.3704,0.3358,0.3611
96,0.3668,0.3631,0.3704,0.3358,0.3686,0.3631,0.3595,0.3577,0.3631,0.3668,0.3704,0.3358,0.3615
97,0.3668,0.3631,0.3704,0.3358,0.3686,0.3631,0.3595,0.3577,0.3631,0.3668,0.3704,0.3358,0.3615
98,0.3668,0.3631,0.3704,0.3358,0.3686,0.3631,0.3595,0.3577,0.3631,0.3668,0.3704,0.3358,0.3615
99,0.3668,0.3631,0.3704,0.3358,0.3723,0.365,0.3595,0.3577,0.3631,0.3668,0.3723,0.3358,0.3621
100,0.3668,0.3631,0.3704,0.3358,0.3723,0.365,0.3595,0.3577,0.3631,0.3668,0.3723,0.3358,0.3621
101,0.3668,0.3631,0.3704,0.3358,0.3723,0.365,0.3595,0.3577,0.3631,0.3668,0.3723,0.3358,0.3621
102,0.3668,0.3631,0.3704,0.3358,0.3723,0.365,0.3595,0.3577,0.3631,0.3668,0.3723,0.3358,0.3621
103,0.3668,0.3631,0.3704,0.3358,0.3723,0.365,0.3595,0.3577,0.3631,0.3668,0.3723,0.3358,0.3621
104,0.3686,0.3631,0.3704,0.3358,0.3723,0.365,0.3595,0.3577,0.3631,0.3668,0.3723,0.3358,0.3622
105,0.3686,0.3631,0.3704,0.3358,0.3723,0.3668,0.3595,0.3577,0.3631,0.3668,0.3723,0.3358,0.3624
106,0.3686,0.3631,0.3704,0.3358,0.3723,0.3668,0.3595,0.3577,0.3631,0.3668,0.3723,0.3358,0.3624
107,0.3686,0.3631,0.3704,0.3358,0.3723,0.3668,0.3595,0.3577,0.3631,0.3668,0.3723,0.3358,0.3624
108,0.3686,0.3631,0.3704,0.3558,0.3723,0.3668,0.3595,0.3577,0.3631,0.3668,0.3723,0.3558,0.3644
109,0.3686,0.3631,0.3704,0.3558,0.3723,0.3668,0.3595,0.3577,0.3631,0.3668,0.3723,0.3558,0.3644
110,0.3686,0.3631,0.3704,0.3558,0.3723,0.3668,0.3595,0.3577,0.3631,0.3668,0.3723,0.3558,0.3644
