timestamp,e1000e5,e1000e2,e1000e9,e1000e3,e1000e0,e1000e4,e1000e1,e1000e6,e1000e8,e1000e7,max,min,avg
113,0.2162,0.2222,0.2538,0.1922,0.2102,0.2703,0.2643,0.2658,0.3468,0.3604,0.3604,0.1922,0.2602
114,0.2162,0.2222,0.2538,0.1922,0.2102,0.2778,0.2643,0.2658,0.3468,0.3604,0.3604,0.1922,0.261
115,0.2162,0.2222,0.2538,0.1922,0.2102,0.2778,0.2643,0.2658,0.3468,0.3604,0.3604,0.1922,0.261
116,0.2162,0.2222,0.2538,0.1952,0.2102,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1952,0.2614
117,0.2162,0.2222,0.2538,0.1952,0.2102,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1952,0.2614
118,0.2162,0.2222,0.2538,0.1952,0.2102,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1952,0.2614
119,0.2162,0.2222,0.2538,0.1952,0.2102,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1952,0.2614
120,0.2162,0.2222,0.2538,0.1952,0.2102,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1952,0.2614
121,0.2162,0.2222,0.2538,0.1952,0.2102,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1952,0.2614
122,0.2162,0.2222,0.2538,0.1952,0.2102,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1952,0.2614
123,0.2162,0.2222,0.2538,0.1952,0.2102,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1952,0.2614
124,0.2162,0.2222,0.2538,0.1952,0.2102,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1952,0.2614
125,0.2162,0.2222,0.2538,0.1952,0.2102,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1952,0.2614
126,0.2162,0.2222,0.2538,0.1967,0.2102,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1967,0.2616
127,0.2162,0.2222,0.2538,0.1982,0.2102,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1982,0.2617
128,0.2162,0.2312,0.2538,0.1982,0.2102,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1982,0.2626
129,0.2162,0.2312,0.2538,0.1982,0.2147,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1982,0.2631
130,0.2162,0.2312,0.2538,0.1982,0.2207,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1982,0.2637
131,0.2162,0.2312,0.2538,0.1982,0.2207,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1982,0.2637
132,0.2162,0.2312,0.2538,0.1982,0.2237,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1982,0.264
133,0.2162,0.2312,0.2538,0.1982,0.2252,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1982,0.2641
134,0.2162,0.2312,0.2538,0.1982,0.2252,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1982,0.2641
135,0.2162,0.2312,0.2538,0.1982,0.2252,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1982,0.2641
136,0.2162,0.2312,0.2538,0.1982,0.2252,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1982,0.2641
137,0.2162,0.2312,0.2538,0.1997,0.2252,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1997,0.2643
138,0.2162,0.2312,0.2538,0.1997,0.2267,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1997,0.2644
139,0.2162,0.2312,0.2538,0.1997,0.2267,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1997,0.2644
140,0.2162,0.2312,0.2538,0.1997,0.2282,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1997,0.2646
141,0.2162,0.2312,0.2538,0.1997,0.2297,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1997,0.2647
142,0.2162,0.2312,0.2538,0.1997,0.2297,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.1997,0.2647
143,0.2162,0.2312,0.2538,0.2012,0.2297,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.2012,0.2649
144,0.2162,0.2312,0.2538,0.2012,0.2297,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.2012,0.2649
145,0.2162,0.2312,0.2538,0.2012,0.2297,0.2793,0.2643,0.2658,0.3468,0.3604,0.3604,0.2012,0.2649
146,0.2162,0.2312,0.2538,0.2012,0.2297,0.2808,0.2643,0.2658,0.3468,0.3604,0.3604,0.2012,0.265
147,0.2162,0.2312,0.2538,0.2012,0.2297,0.2823,0.2643,0.2658,0.3468,0.3604,0.3604,0.2012,0.2652
148,0.2162,0.2312,0.2538,0.2012,0.2297,0.2823,0.2643,0.2658,0.3468,0.3604,0.3604,0.2012,0.2652
149,0.2162,0.2312,0.2538,0.2012,0.2312,0.2823,0.2643,0.2658,0.3468,0.3604,0.3604,0.2012,0.2653
150,0.2162,0.2312,0.2538,0.2012,0.2312,0.2838,0.2643,0.2658,0.3468,0.3604,0.3604,0.2012,0.2655
151,0.2162,0.2312,0.2538,0.2012,0.2312,0.2838,0.2643,0.2658,0.3468,0.3604,0.3604,0.2012,0.2655
152,0.2162,0.2312,0.2538,0.2012,0.2312,0.2838,0.2643,0.2658,0.3468,0.3604,0.3604,0.2012,0.2655
153,0.2162,0.2342,0.2538,0.2012,0.2312,0.2838,0.2643,0.2658,0.3468,0.3604,0.3604,0.2012,0.2658
154,0.2162,0.2342,0.2538,0.2012,0.2312,0.2853,0.2643,0.2658,0.3468,0.3604,0.3604,0.2012,0.2659
155,0.2162,0.2342,0.2538,0.2042,0.2312,0.2853,0.2643,0.2658,0.3468,0.3604,0.3604,0.2042,0.2662
156,0.2162,0.2342,0.2538,0.2042,0.2312,0.2853,0.2643,0.2658,0.3468,0.3604,0.3604,0.2042,0.2662
