timestamp,legacy_floppy7,legacy_floppy2,legacy_floppy0,legacy_floppy5,legacy_floppy8,legacy_floppy1,legacy_floppy4,legacy_floppy6,legacy_floppy3,max,min,avg
165,0.417,0.4534,0.4615,0.4534,0.4332,0.4595,0.4595,0.4676,0.4636,0.4676,0.417,0.4521
166,0.417,0.4615,0.4595,0.4534,0.4332,0.4595,0.4595,0.4676,0.4636,0.4676,0.417,0.4528
167,0.417,0.4615,0.4271,0.4534,0.4109,0.4595,0.4595,0.4676,0.4636,0.4676,0.4109,0.4467
168,0.417,0.4615,0.4271,0.4534,0.4109,0.4615,0.4595,0.4676,0.4636,0.4676,0.4109,0.4469
169,0.417,0.4615,0.4271,0.4534,0.4717,0.4615,0.4595,0.4676,0.4636,0.4717,0.417,0.4537
171,0.417,0.4615,0.4271,0.4534,0.4717,0.4575,0.4595,0.4676,0.4636,0.4717,0.417,0.4532
172,0.417,0.4615,0.4271,0.4534,0.4717,0.4615,0.4555,0.4676,0.4636,0.4717,0.417,0.4532
173,0.417,0.4534,0.4271,0.4534,0.4717,0.4615,0.4555,0.4676,0.4636,0.4717,0.417,0.4523
174,0.417,0.4534,0.4271,0.4534,0.4534,0.4615,0.4555,0.4676,0.4636,0.4676,0.417,0.4503
175,0.417,0.4534,0.4271,0.4534,0.4737,0.4615,0.4555,0.4676,0.4636,0.4737,0.417,0.4525
176,0.417,0.4534,0.4433,0.4534,0.4737,0.4514,0.4555,0.4676,0.4636,0.4737,0.417,0.4532
177,0.417,0.4534,0.4433,0.4534,0.4737,0.4433,0.4555,0.4676,0.4636,0.4737,0.417,0.4523
178,0.417,0.4514,0.4433,0.4534,0.4676,0.4433,0.4555,0.4676,0.4636,0.4676,0.417,0.4514
179,0.413,0.4514,0.4433,0.4231,0.4737,0.4433,0.4555,0.4636,0.4636,0.4737,0.413,0.4478
180,0.413,0.4251,0.4433,0.4352,0.4737,0.4433,0.4555,0.4636,0.4636,0.4737,0.413,0.4463
181,0.413,0.4251,0.4433,0.4352,0.4737,0.4433,0.4555,0.4636,0.4636,0.4737,0.413,0.4463
182,0.413,0.4494,0.4433,0.4352,0.4737,0.4433,0.4271,0.4696,0.4636,0.4737,0.413,0.4465
183,0.413,0.4494,0.4737,0.4474,0.4737,0.4615,0.4271,0.4696,0.4636,0.4737,0.413,0.4532
184,0.413,0.4474,0.4737,0.4595,0.4575,0.4615,0.4271,0.4696,0.4636,0.4737,0.413,0.4525
185,0.413,0.4474,0.4312,0.4595,0.4575,0.4615,0.4271,0.4717,0.4636,0.4717,0.413,0.4481
186,0.413,0.4474,0.4514,0.4595,0.4575,0.4615,0.4271,0.4717,0.4636,0.4717,0.413,0.4503
187,0.413,0.4453,0.4514,0.4595,0.4575,0.4615,0.4615,0.4696,0.4737,0.4737,0.413,0.4548
188,0.4372,0.4453,0.4514,0.4595,0.4575,0.4615,0.4615,0.4696,0.4737,0.4737,0.4372,0.4575
189,0.4211,0.4453,0.4514,0.4595,0.4251,0.4615,0.4615,0.4696,0.4737,0.4737,0.4211,0.4521
190,0.4393,0.4413,0.4514,0.4595,0.4028,0.4615,0.4615,0.4696,0.4636,0.4696,0.4028,0.4501
191,0.4595,0.4453,0.4514,0.4595,0.4028,0.4615,0.4615,0.4696,0.4636,0.4696,0.4028,0.4527
192,0.4595,0.4453,0.4514,0.4595,0.4028,0.4615,0.4615,0.4696,0.4636,0.4696,0.4028,0.4527
193,0.4595,0.4453,0.4696,0.4595,0.4028,0.4615,0.4615,0.4696,0.4636,0.4696,0.4028,0.4548
194,0.4595,0.4453,0.4696,0.4474,0.4028,0.4615,0.4757,0.4696,0.4656,0.4757,0.4028,0.4552
195,0.4453,0.4453,0.4696,0.4514,0.4028,0.4615,0.4757,0.4696,0.4656,0.4757,0.4028,0.4541
196,0.4453,0.4453,0.4291,0.4514,0.4028,0.4615,0.4332,0.4696,0.4656,0.4696,0.4028,0.4449
197,0.4453,0.4453,0.4696,0.4514,0.4028,0.4615,0.4555,0.4696,0.4656,0.4696,0.4028,0.4518
198,0.4453,0.4453,0.4636,0.4514,0.4028,0.4615,0.4656,0.4696,0.4636,0.4696,0.4028,0.4521
199,0.4514,0.4676,0.4757,0.4534,0.4028,0.4615,0.4696,0.4696,0.4636,0.4757,0.4028,0.4572
