timestamp,sb168,sb165,sb160,sb166,sb163,sb161,sb162,sb164,sb169,sb167,max,min,avg
67,0.7756,0.8122,0.7488,0.7927,0.7268,0.761,0.7341,0.8171,0.7561,0.8268,0.8268,0.7268,0.7751
68,0.7756,0.8122,0.7488,0.7927,0.7293,0.7634,0.7341,0.8171,0.7561,0.8268,0.8268,0.7293,0.7756
69,0.7805,0.8122,0.7488,0.7927,0.7293,0.7634,0.7341,0.8171,0.7561,0.8341,0.8341,0.7293,0.7768
70,0.7805,0.8122,0.7488,0.7927,0.7317,0.7634,0.7341,0.8195,0.7561,0.8341,0.8341,0.7317,0.7773
71,0.7805,0.8122,0.7488,0.7927,0.7463,0.7634,0.7439,0.8195,0.7561,0.8341,0.8341,0.7439,0.7797
72,0.7805,0.8122,0.7561,0.7927,0.7463,0.7634,0.7439,0.8195,0.7585,0.8341,0.8341,0.7439,0.7807
73,0.7805,0.8122,0.7561,0.7927,0.7488,0.7634,0.7512,0.8195,0.7585,0.8341,0.8341,0.7488,0.7817
74,0.7805,0.8146,0.7561,0.7927,0.7561,0.7634,0.7585,0.8268,0.7585,0.8341,0.8341,0.7561,0.7841
75,0.7805,0.8146,0.7634,0.7927,0.7561,0.7634,0.7585,0.8268,0.7585,0.8341,0.8341,0.7561,0.7849
76,0.7878,0.8146,0.7634,0.7927,0.7561,0.7634,0.7634,0.8268,0.7634,0.8341,0.8341,0.7561,0.7866
77,0.7878,0.8146,0.7634,0.7951,0.7561,0.7634,0.7634,0.8268,0.7659,0.8341,0.8341,0.7561,0.7871
78,0.7878,0.8146,0.7634,0.7951,0.761,0.7634,0.7634,0.8268,0.7659,0.8341,0.8341,0.761,0.7875
79,0.7878,0.8146,0.7634,0.7951,0.7634,0.7634,0.7683,0.8293,0.7659,0.8341,0.8341,0.7634,0.7885
80,0.7878,0.8146,0.7659,0.7951,0.7634,0.7659,0.7683,0.8293,0.7707,0.8341,0.8341,0.7634,0.7895
