timestamp,xlnxdp4,xlnxdp6,xlnxdp8,xlnxdp2,xlnxdp9,xlnxdp3,xlnxdp7,xlnxdp0,xlnxdp5,xlnxdp1,max,min,avg
527,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
528,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
529,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
530,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
531,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
532,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
533,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
534,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
535,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
536,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
537,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
538,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
539,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
540,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
541,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
542,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
543,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
544,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
545,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
546,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
547,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
548,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
549,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
550,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
551,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
552,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
553,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
554,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
555,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
556,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
557,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
558,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
559,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
560,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
561,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
562,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042,0.9042
