timestamp,legacy_xhci2,legacy_xhci6,legacy_xhci5,legacy_xhci1,legacy_xhci7,legacy_xhci0,legacy_xhci9,legacy_xhci8,legacy_xhci4,max,min,avg
1767,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1768,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1769,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1770,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1771,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1772,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1774,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1775,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1776,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1777,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1779,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1780,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1782,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1785,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1787,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1788,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1789,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1790,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1791,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1793,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1794,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1796,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1798,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1799,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1800,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1801,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1804,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1805,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1806,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1807,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1810,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1812,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1813,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1814,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1816,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1817,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1818,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1821,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1823,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1825,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1826,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1829,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1830,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1833,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1835,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1836,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1838,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1840,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1841,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1842,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1843,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1845,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1847,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1848,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1849,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1854,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1856,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1857,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1860,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1862,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1863,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1864,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1866,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1867,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1868,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1869,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1870,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1872,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1874,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1875,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1877,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1878,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1883,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1884,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1885,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1887,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1889,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1890,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1891,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1892,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1893,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1894,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1895,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1897,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1899,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1902,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1904,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1907,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
1908,0.5674,0.5728,0.5707,0.5685,0.5739,0.5685,0.575,0.5674,0.5739,0.575,0.5674,0.5709
