timestamp,hd1,hd9,hd2,hd0,hd5,hd6,hd4,hd8,hd3,hd7,max,min,avg
177,0.1568,0.3386,0.2364,0.1045,0.1568,0.1614,0.2432,0.2205,0.2409,0.2273,0.3386,0.1045,0.2086
178,0.1568,0.3386,0.2364,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2091
179,0.1568,0.3386,0.2364,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2091
180,0.1568,0.3386,0.2364,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2091
181,0.1568,0.3386,0.2364,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2091
182,0.1568,0.3386,0.2364,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2091
183,0.1568,0.3386,0.2364,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2091
184,0.1568,0.3386,0.2364,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2091
185,0.1568,0.3386,0.2364,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2091
186,0.1568,0.3386,0.2364,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2091
187,0.1568,0.3386,0.2386,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2093
188,0.1568,0.3386,0.2386,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2093
189,0.1568,0.3386,0.2386,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2093
190,0.1568,0.3386,0.2386,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2093
191,0.1568,0.3386,0.2386,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2093
192,0.1568,0.3386,0.2386,0.1045,0.1568,0.1614,0.2477,0.2205,0.2409,0.2273,0.3386,0.1045,0.2093
