timestamp,megasas5,megasas3,megasas0,megasas6,megasas2,megasas8,megasas4,megasas1,megasas7,megasas9,max,min,avg
59,0.5798,0.5777,0.5588,0.6008,0.5966,0.5945,0.605,0.5546,0.5903,0.5672,0.605,0.5546,0.5825
60,0.5798,0.5798,0.5588,0.6008,0.5966,0.5966,0.605,0.5546,0.5903,0.5672,0.605,0.5546,0.5829
61,0.5798,0.5798,0.5588,0.6008,0.5966,0.5966,0.605,0.5546,0.5903,0.5672,0.605,0.5546,0.5829
62,0.5798,0.5798,0.5588,0.6008,0.5966,0.5966,0.605,0.5546,0.5903,0.5672,0.605,0.5546,0.5829
63,0.5861,0.5798,0.5588,0.6008,0.5966,0.5966,0.605,0.5567,0.5903,0.5672,0.605,0.5567,0.5838
64,0.5861,0.5798,0.5588,0.6008,0.5966,0.5966,0.605,0.5567,0.5924,0.5672,0.605,0.5567,0.584
65,0.5882,0.5798,0.5714,0.6008,0.5966,0.5966,0.605,0.5588,0.5924,0.5672,0.605,0.5588,0.5857
66,0.5882,0.5798,0.5756,0.6008,0.5966,0.6008,0.605,0.5588,0.5924,0.5672,0.605,0.5588,0.5865
67,0.5882,0.5798,0.5756,0.6008,0.5966,0.6008,0.605,0.5609,0.5924,0.5672,0.605,0.5609,0.5867
68,0.5903,0.5798,0.5945,0.6008,0.5966,0.6008,0.605,0.5609,0.5924,0.5672,0.605,0.5609,0.5888
69,0.5903,0.5798,0.5945,0.6008,0.5966,0.6008,0.605,0.5651,0.5924,0.5672,0.605,0.5651,0.5893
70,0.5903,0.5798,0.5945,0.6008,0.5966,0.6029,0.605,0.5651,0.5966,0.5672,0.605,0.5651,0.5899
71,0.5903,0.5798,0.5966,0.6008,0.5966,0.6029,0.605,0.5651,0.5966,0.5672,0.605,0.5651,0.5901
72,0.5903,0.5798,0.5966,0.6008,0.5966,0.6029,0.605,0.5651,0.5966,0.5672,0.605,0.5651,0.5901
73,0.5903,0.5924,0.5966,0.6029,0.5966,0.6029,0.605,0.5651,0.5966,0.5672,0.605,0.5651,0.5916
74,0.5903,0.5924,0.5966,0.6029,0.5966,0.6029,0.605,0.5651,0.5966,0.5672,0.605,0.5651,0.5916
75,0.5903,0.5924,0.5966,0.6029,0.5966,0.6029,0.605,0.5651,0.5966,0.5672,0.605,0.5651,0.5916
76,0.5903,0.5924,0.5966,0.6029,0.5966,0.6071,0.605,0.5651,0.5966,0.5672,0.6071,0.5651,0.592
77,0.5903,0.5966,0.5966,0.6029,0.5966,0.6071,0.605,0.5651,0.5966,0.5672,0.6071,0.5651,0.5924
78,0.5903,0.5966,0.5966,0.6029,0.5966,0.6071,0.605,0.5651,0.5966,0.5672,0.6071,0.5651,0.5924
79,0.5903,0.5966,0.5966,0.6029,0.5966,0.6113,0.605,0.5651,0.5966,0.5672,0.6113,0.5651,0.5928
80,0.5903,0.5966,0.5966,0.605,0.5966,0.6176,0.605,0.5651,0.5966,0.5672,0.6176,0.5651,0.5937
81,0.5903,0.5966,0.5966,0.605,0.5966,0.6176,0.605,0.5693,0.5966,0.5672,0.6176,0.5672,0.5941
82,0.5903,0.5987,0.5966,0.605,0.5966,0.6176,0.605,0.5693,0.5966,0.5861,0.6176,0.5693,0.5962
83,0.5903,0.5987,0.5966,0.605,0.5966,0.6176,0.605,0.5693,0.5966,0.5882,0.6176,0.5693,0.5964
84,0.5903,0.5987,0.5966,0.605,0.5966,0.6176,0.605,0.5735,0.5966,0.5882,0.6176,0.5735,0.5968
85,0.5903,0.5987,0.5966,0.605,0.5966,0.6176,0.605,0.5735,0.5966,0.5882,0.6176,0.5735,0.5968
86,0.5903,0.5987,0.5966,0.605,0.5966,0.6197,0.605,0.5735,0.5966,0.5882,0.6197,0.5735,0.597
87,0.5903,0.5987,0.5966,0.605,0.5966,0.6197,0.605,0.5735,0.5966,0.5882,0.6197,0.5735,0.597
88,0.5903,0.5987,0.5966,0.605,0.5966,0.6197,0.605,0.5735,0.5966,0.5882,0.6197,0.5735,0.597
89,0.5903,0.5987,0.5966,0.605,0.5966,0.6197,0.605,0.5735,0.5966,0.5882,0.6197,0.5735,0.597
90,0.5903,0.5987,0.5966,0.605,0.5966,0.6197,0.605,0.5735,0.5966,0.5882,0.6197,0.5735,0.597
91,0.5903,0.5987,0.5966,0.605,0.5966,0.6197,0.605,0.5735,0.5966,0.5882,0.6197,0.5735,0.597
92,0.5903,0.5987,0.5966,0.605,0.5966,0.6197,0.605,0.5735,0.5966,0.5882,0.6197,0.5735,0.597
93,0.5903,0.5987,0.5966,0.605,0.5966,0.6197,0.605,0.5735,0.5966,0.5882,0.6197,0.5735,0.597
94,0.5903,0.5987,0.6008,0.605,0.5966,0.6197,0.605,0.5735,0.5966,0.5903,0.6197,0.5735,0.5977
95,0.5903,0.5987,0.6008,0.605,0.5966,0.6197,0.6092,0.5735,0.5966,0.5903,0.6197,0.5735,0.5981
96,0.5903,0.5987,0.6008,0.605,0.5966,0.6197,0.6092,0.5735,0.5966,0.5903,0.6197,0.5735,0.5981
97,0.5903,0.5987,0.6008,0.6071,0.5966,0.6197,0.6092,0.5735,0.5966,0.5903,0.6197,0.5735,0.5983
98,0.5903,0.5987,0.6029,0.6071,0.5966,0.6197,0.6092,0.5735,0.5966,0.5903,0.6197,0.5735,0.5985
99,0.5903,0.5987,0.6029,0.6092,0.5966,0.6197,0.6092,0.5735,0.5966,0.6029,0.6197,0.5735,0.6
100,0.5903,0.5987,0.6029,0.6092,0.5966,0.6218,0.6092,0.5735,0.5966,0.6029,0.6218,0.5735,0.6002
101,0.5903,0.5987,0.6029,0.6092,0.5966,0.6218,0.6092,0.5735,0.5966,0.6029,0.6218,0.5735,0.6002
102,0.5903,0.5987,0.6092,0.6092,0.5966,0.6218,0.6092,0.5735,0.5966,0.6029,0.6218,0.5735,0.6008
103,0.5903,0.5987,0.6113,0.6092,0.5966,0.6218,0.6092,0.5735,0.5966,0.6029,0.6218,0.5735,0.601
104,0.5903,0.5987,0.6134,0.6092,0.5966,0.6218,0.6092,0.5735,0.5966,0.6029,0.6218,0.5735,0.6012
105,0.5903,0.5987,0.6134,0.6092,0.5966,0.6218,0.6092,0.5735,0.5966,0.6029,0.6218,0.5735,0.6012
106,0.5903,0.5987,0.6134,0.6092,0.5966,0.6218,0.6092,0.5735,0.5966,0.6029,0.6218,0.5735,0.6012
107,0.5903,0.5987,0.6134,0.6092,0.5966,0.6387,0.6092,0.5735,0.5966,0.6029,0.6387,0.5735,0.6029
108,0.5903,0.5987,0.6134,0.6092,0.5966,0.6534,0.6092,0.5735,0.5966,0.6029,0.6534,0.5735,0.6044
109,0.5903,0.5987,0.6134,0.6092,0.5966,0.6534,0.6092,0.5735,0.5966,0.6029,0.6534,0.5735,0.6044
110,0.5903,0.6008,0.6134,0.6092,0.5966,0.6534,0.6092,0.5735,0.5966,0.6029,0.6534,0.5735,0.6046
111,0.5903,0.6008,0.6134,0.6113,0.5966,0.6534,0.6092,0.5735,0.5966,0.6029,0.6534,0.5735,0.6048
112,0.5903,0.6008,0.6134,0.6113,0.5966,0.6534,0.6092,0.5735,0.5966,0.6071,0.6534,0.5735,0.6052
113,0.5903,0.6008,0.6134,0.6113,0.5966,0.6534,0.6092,0.5735,0.5966,0.6071,0.6534,0.5735,0.6052
114,0.5903,0.6008,0.6134,0.6113,0.5966,0.6534,0.6092,0.5735,0.5966,0.6071,0.6534,0.5735,0.6052
115,0.5903,0.6008,0.6134,0.6113,0.5966,0.6534,0.6092,0.5735,0.5966,0.6071,0.6534,0.5735,0.6052
116,0.5903,0.6008,0.6134,0.6113,0.5966,0.6534,0.6092,0.5735,0.5966,0.6071,0.6534,0.5735,0.6052
117,0.5903,0.6008,0.6134,0.6113,0.5966,0.6534,0.6092,0.5735,0.5966,0.6071,0.6534,0.5735,0.6052
118,0.5903,0.6008,0.6134,0.6113,0.5966,0.6534,0.6092,0.5735,0.5966,0.6071,0.6534,0.5735,0.6052
119,0.5903,0.6008,0.6134,0.6113,0.5966,0.6534,0.6092,0.5735,0.5966,0.6071,0.6534,0.5735,0.6052
120,0.5903,0.6008,0.6134,0.6113,0.5966,0.6534,0.6092,0.5735,0.5966,0.6071,0.6534,0.5735,0.6052
121,0.5903,0.6008,0.6134,0.6113,0.5966,0.6534,0.6092,0.5735,0.5966,0.6071,0.6534,0.5735,0.6052
122,0.5903,0.6008,0.6134,0.6113,0.5966,0.6534,0.6092,0.5735,0.5966,0.6071,0.6534,0.5735,0.6052
123,0.5903,0.6008,0.6134,0.6282,0.5966,0.6555,0.6092,0.5735,0.5966,0.6071,0.6555,0.5735,0.6071
124,0.5903,0.6029,0.6134,0.6282,0.5966,0.6555,0.6092,0.5735,0.5966,0.6071,0.6555,0.5735,0.6073
125,0.5903,0.6029,0.6134,0.6282,0.5966,0.6555,0.6092,0.5735,0.5966,0.6071,0.6555,0.5735,0.6073
126,0.5903,0.6029,0.6134,0.6282,0.5966,0.6555,0.6092,0.5735,0.5966,0.6071,0.6555,0.5735,0.6073
127,0.5903,0.6029,0.6134,0.6282,0.5966,0.6555,0.6092,0.5735,0.5966,0.6071,0.6555,0.5735,0.6073
128,0.5903,0.6029,0.6134,0.6282,0.5966,0.6555,0.6092,0.5735,0.5966,0.6071,0.6555,0.5735,0.6073
129,0.5903,0.6029,0.6134,0.6282,0.5966,0.6555,0.6092,0.5735,0.5966,0.6071,0.6555,0.5735,0.6073
130,0.5903,0.6029,0.6134,0.6282,0.5966,0.6555,0.6092,0.5735,0.5966,0.6071,0.6555,0.5735,0.6073
131,0.5903,0.6029,0.6134,0.6282,0.5966,0.6555,0.6092,0.5735,0.5966,0.6071,0.6555,0.5735,0.6073
132,0.5903,0.6029,0.6134,0.6282,0.5966,0.6555,0.6092,0.5735,0.5966,0.6071,0.6555,0.5735,0.6073
133,0.5903,0.605,0.6134,0.6282,0.5966,0.6555,0.6092,0.5735,0.5966,0.6071,0.6555,0.5735,0.6075
134,0.5903,0.6071,0.6134,0.6282,0.5966,0.6555,0.6092,0.5735,0.5966,0.6071,0.6555,0.5735,0.6078
