timestamp,legacy_sb160,legacy_sb167,legacy_sb166,legacy_sb163,legacy_sb165,legacy_sb168,legacy_sb169,legacy_sb162,legacy_sb161,max,min,avg
109,0.3341,0.2317,0.3293,0.361,0.3341,0.2512,0.2902,0.3561,0.139,0.361,0.139,0.2919
110,0.3341,0.2317,0.3171,0.361,0.3341,0.3683,0.361,0.3561,0.139,0.3683,0.139,0.3114
111,0.3341,0.2317,0.3171,0.361,0.3341,0.3683,0.3098,0.3317,0.0537,0.3683,0.0537,0.2935
112,0.3341,0.2317,0.3171,0.361,0.3341,0.3488,0.2707,0.3317,0.0537,0.361,0.0537,0.287
113,0.3341,0.2317,0.3171,0.361,0.3341,0.3488,0.0244,0.3317,0.0537,0.361,0.0244,0.2596
114,0.3341,0.2317,0.3171,0.361,0.3317,0.3463,0.0244,0.3317,0.0537,0.361,0.0244,0.2591
115,0.3341,0.2317,0.2902,0.361,0.3317,0.339,0.3537,0.3317,0.0537,0.361,0.0537,0.2919
116,0.3341,0.2317,0.2561,0.361,0.3317,0.0244,0.3537,0.3317,0.0537,0.361,0.0244,0.2531
117,0.3341,0.2317,0.2561,0.361,0.3317,0.1366,0.3537,0.3317,0.0537,0.361,0.0537,0.2656
118,0.3341,0.2317,0.2561,0.361,0.3317,0.278,0.3537,0.3268,0.3122,0.361,0.2317,0.3095
119,0.3341,0.2317,0.2561,0.361,0.3317,0.2634,0.3537,0.3268,0.3122,0.361,0.2317,0.3079
120,0.3341,0.2317,0.378,0.361,0.3317,0.0951,0.3537,0.3244,0.3122,0.378,0.0951,0.3024
121,0.3341,0.2317,0.378,0.361,0.3317,0.0951,0.3537,0.2854,0.2561,0.378,0.0951,0.2919
122,0.3341,0.2317,0.378,0.361,0.3317,0.378,0.3537,0.2805,0.1854,0.378,0.1854,0.3149
123,0.3341,0.2317,0.378,0.361,0.3317,0.378,0.3537,0.2415,0.1854,0.378,0.1854,0.3106
124,0.3341,0.2317,0.378,0.361,0.3317,0.378,0.3537,0.2415,0.1854,0.378,0.1854,0.3106
125,0.3341,0.2317,0.3707,0.361,0.3317,0.378,0.3537,0.2415,0.2439,0.378,0.2317,0.3163
126,0.3293,0.2317,0.3707,0.361,0.3317,0.378,0.378,0.2707,0.2439,0.378,0.2317,0.3217
127,0.3293,0.2317,0.3707,0.361,0.3317,0.3805,0.378,0.2561,0.2439,0.3805,0.2317,0.3203
128,0.3293,0.2317,0.3707,0.361,0.3317,0.3805,0.378,0.2561,0.2439,0.3805,0.2317,0.3203
129,0.3293,0.2317,0.3707,0.361,0.3317,0.378,0.378,0.2561,0.2439,0.378,0.2317,0.32
130,0.3293,0.2317,0.3463,0.361,0.3317,0.378,0.378,0.2561,0.2439,0.378,0.2317,0.3173
131,0.3293,0.2317,0.3463,0.361,0.3317,0.378,0.378,0.3732,0.2439,0.378,0.2317,0.3303
132,0.3293,0.2317,0.3463,0.361,0.3317,0.4049,0.3732,0.3732,0.2439,0.4049,0.2317,0.3328
133,0.3293,0.2317,0.3463,0.361,0.3317,0.4049,0.3732,0.2707,0.2439,0.4049,0.2317,0.3214
134,0.3293,0.2317,0.3707,0.361,0.3317,0.4049,0.3732,0.0244,0.1659,0.4049,0.0244,0.2881
135,0.322,0.2317,0.3707,0.361,0.3317,0.4049,0.3732,0.0244,0.1659,0.4049,0.0244,0.2873
136,0.322,0.2317,0.3707,0.361,0.3317,0.4049,0.3732,0.3561,0.1659,0.4049,0.1659,0.3241
137,0.322,0.2317,0.3707,0.361,0.3317,0.4049,0.3732,0.3561,0.1634,0.4049,0.1634,0.3239
138,0.322,0.2317,0.3707,0.361,0.339,0.4049,0.3561,0.3512,0.1561,0.4049,0.1561,0.3214
139,0.322,0.2317,0.3707,0.361,0.339,0.4049,0.3561,0.3512,0.061,0.4049,0.061,0.3108
140,0.322,0.2317,0.3707,0.361,0.339,0.4049,0.3561,0.3415,0.061,0.4049,0.061,0.3098
141,0.322,0.2317,0.3707,0.361,0.3195,0.4049,0.3561,0.3415,0.061,0.4049,0.061,0.3076
142,0.322,0.2317,0.3707,0.361,0.3171,0.4049,0.322,0.0561,0.061,0.4049,0.0561,0.2718
143,0.322,0.2317,0.3634,0.361,0.039,0.4049,0.2415,0.0537,0.061,0.4049,0.039,0.2309
144,0.3244,0.2317,0.3634,0.361,0.2659,0.4049,0.0463,0.2537,0.061,0.4049,0.0463,0.2569
145,0.3244,0.2317,0.3634,0.361,0.1146,0.4415,0.3122,0.1634,0.061,0.4415,0.061,0.2637
146,0.1951,0.2317,0.3634,0.361,0.1049,0.4415,0.3122,0.1634,0.061,0.4415,0.061,0.2482
147,0.1951,0.2317,0.339,0.361,0.1049,0.4415,0.3122,0.1634,0.061,0.4415,0.061,0.2455
148,0.1902,0.2317,0.339,0.361,0.2634,0.4415,0.3122,0.3317,0.061,0.4415,0.061,0.2813
149,0.1902,0.2317,0.339,0.361,0.2634,0.4415,0.3122,0.3317,0.061,0.4415,0.061,0.2813
150,0.1902,0.2317,0.339,0.361,0.2634,0.4415,0.3122,0.3122,0.061,0.4415,0.061,0.2791
151,0.1902,0.2317,0.3537,0.361,0.0537,0.4415,0.1463,0.2659,0.3805,0.4415,0.0537,0.2694
152,0.1902,0.2317,0.3537,0.361,0.0537,0.3439,0.2829,0.3463,0.3805,0.3805,0.0537,0.2827
153,0.2488,0.2317,0.3537,0.361,0.0537,0.3439,0.222,0.3463,0.3805,0.3805,0.0537,0.2824
154,0.2488,0.2317,0.3512,0.361,0.0537,0.3439,0.2366,0.3268,0.3805,0.3805,0.0537,0.2816
155,0.3122,0.2317,0.3512,0.361,0.0537,0.3439,0.1756,0.239,0.3805,0.3805,0.0537,0.2721
156,0.3122,0.2317,0.3512,0.361,0.0537,0.3439,0.1756,0.222,0.3805,0.3805,0.0537,0.2702
157,0.3122,0.2317,0.3512,0.361,0.0537,0.3366,0.3463,0.3585,0.3805,0.3805,0.0537,0.3035
158,0.3122,0.2317,0.3512,0.361,0.3366,0.3366,0.3463,0.3512,0.3805,0.3805,0.2317,0.3341
159,0.3049,0.2317,0.3512,0.361,0.3366,0.3366,0.3707,0.3512,0.3805,0.3805,0.2317,0.336
160,0.3024,0.2317,0.3512,0.361,0.3366,0.3366,0.3707,0.4171,0.3805,0.4171,0.2317,0.3431
161,0.1659,0.2317,0.3463,0.361,0.3341,0.3366,0.3561,0.4171,0.3805,0.4171,0.1659,0.3255
163,0.3293,0.2317,0.3463,0.361,0.3341,0.3366,0.3561,0.3488,0.3805,0.3805,0.2317,0.336
164,0.3293,0.2317,0.3463,0.361,0.3341,0.3366,0.3585,0.361,0.3805,0.3805,0.2317,0.3377
165,0.3293,0.2317,0.3463,0.361,0.3341,0.3366,0.3512,0.3585,0.3805,0.3805,0.2317,0.3366
166,0.3293,0.2317,0.3463,0.361,0.3341,0.3366,0.3512,0.3537,0.3732,0.3732,0.2317,0.3352
167,0.3293,0.2317,0.3463,0.361,0.3341,0.3366,0.3512,0.3341,0.3732,0.3732,0.2317,0.3331
168,0.3293,0.2317,0.3317,0.361,0.3341,0.3366,0.3512,0.3341,0.3732,0.3732,0.2317,0.3314
169,0.3293,0.2317,0.339,0.361,0.3341,0.3366,0.3512,0.3341,0.3732,0.3732,0.2317,0.3322
170,0.3293,0.2317,0.339,0.361,0.3341,0.3293,0.3512,0.3341,0.3732,0.3732,0.2317,0.3314
171,0.3293,0.2317,0.339,0.361,0.3341,0.3293,0.3512,0.3341,0.3732,0.3732,0.2317,0.3314
172,0.322,0.2317,0.339,0.361,0.3341,0.3293,0.3512,0.3341,0.3732,0.3732,0.2317,0.3306
173,0.322,0.2317,0.339,0.361,0.3341,0.3293,0.378,0.2561,0.3732,0.378,0.2317,0.3249
174,0.322,0.2317,0.339,0.361,0.3341,0.3293,0.378,0.1683,0.3732,0.378,0.1683,0.3152
175,0.322,0.2317,0.339,0.361,0.3341,0.3293,0.3537,0.1683,0.3732,0.3732,0.1683,0.3125
176,0.322,0.2317,0.3366,0.361,0.3341,0.3,0.3537,0.1683,0.3732,0.3732,0.1683,0.309
177,0.3171,0.2317,0.3366,0.361,0.3341,0.3,0.3537,0.3707,0.3732,0.3732,0.2317,0.3309
178,0.3171,0.2317,0.3341,0.361,0.3341,0.3,0.3463,0.3707,0.3732,0.3732,0.2317,0.3298
