timestamp,ati3,ati5,ati4,ati8,ati9,ati2,ati7,ati6,ati1,ati0,max,min,avg
170,0.7575,0.7833,0.7532,0.7704,0.7918,0.7833,0.7597,0.7704,0.7468,0.7618,0.7918,0.7468,0.7678
171,0.7575,0.7854,0.7532,0.7704,0.7918,0.7833,0.7597,0.7704,0.7468,0.7618,0.7918,0.7468,0.768
172,0.7575,0.7854,0.7532,0.7704,0.7918,0.7833,0.7597,0.7704,0.7468,0.7618,0.7918,0.7468,0.768
173,0.7575,0.7897,0.7554,0.7704,0.7918,0.7833,0.7597,0.7704,0.7468,0.7618,0.7918,0.7468,0.7687
174,0.7575,0.7897,0.7575,0.7704,0.794,0.7833,0.7597,0.7725,0.7468,0.7618,0.794,0.7468,0.7693
175,0.7575,0.7897,0.7575,0.7704,0.794,0.7833,0.7597,0.7725,0.7511,0.7618,0.794,0.7511,0.7698
176,0.7575,0.7897,0.7597,0.7704,0.7961,0.7833,0.7597,0.7725,0.7511,0.7618,0.7961,0.7511,0.7702
177,0.7575,0.7897,0.7597,0.7725,0.7961,0.7833,0.7597,0.7725,0.7511,0.7618,0.7961,0.7511,0.7704
178,0.7575,0.7897,0.7597,0.7725,0.7961,0.7833,0.7597,0.7725,0.7511,0.7639,0.7961,0.7511,0.7706
179,0.7575,0.7897,0.7618,0.7725,0.7961,0.7833,0.7597,0.7725,0.7511,0.7639,0.7961,0.7511,0.7708
180,0.7597,0.7897,0.7618,0.7725,0.7961,0.7876,0.7618,0.7747,0.7511,0.7639,0.7961,0.7511,0.7719
181,0.7597,0.7897,0.7618,0.7725,0.7983,0.7876,0.7618,0.7747,0.7511,0.7639,0.7983,0.7511,0.7721
182,0.7597,0.7897,0.7639,0.7725,0.7983,0.7876,0.7618,0.7747,0.7511,0.7639,0.7983,0.7511,0.7723
183,0.7597,0.7897,0.7661,0.7725,0.7983,0.7876,0.7618,0.7747,0.7511,0.7639,0.7983,0.7511,0.7725
184,0.7618,0.7897,0.7682,0.7725,0.7983,0.7876,0.7618,0.7747,0.7511,0.7639,0.7983,0.7511,0.773
185,0.7618,0.7897,0.7682,0.7725,0.7983,0.7876,0.7639,0.7747,0.7511,0.7639,0.7983,0.7511,0.7732
186,0.7618,0.7897,0.7704,0.7725,0.7983,0.7876,0.7661,0.7747,0.7511,0.7639,0.7983,0.7511,0.7736
187,0.7618,0.7897,0.7704,0.7725,0.7983,0.7876,0.7661,0.7747,0.7511,0.7639,0.7983,0.7511,0.7736
188,0.7618,0.7897,0.7704,0.7725,0.7983,0.7876,0.7661,0.7747,0.7511,0.7639,0.7983,0.7511,0.7736
189,0.7618,0.7897,0.7704,0.7725,0.7983,0.7876,0.7661,0.7747,0.7511,0.7639,0.7983,0.7511,0.7736
190,0.7618,0.7897,0.7704,0.7725,0.7983,0.7876,0.7661,0.7747,0.7511,0.7639,0.7983,0.7511,0.7736
191,0.7618,0.7897,0.7704,0.7747,0.7983,0.7876,0.7661,0.7747,0.7511,0.7639,0.7983,0.7511,0.7738
192,0.7618,0.7897,0.7704,0.7747,0.7983,0.7876,0.7661,0.7747,0.7511,0.7639,0.7983,0.7511,0.7738
193,0.7618,0.7897,0.7704,0.7768,0.7983,0.7876,0.7704,0.7747,0.7511,0.7639,0.7983,0.7511,0.7745
194,0.7618,0.7897,0.7704,0.7768,0.7983,0.7876,0.7704,0.7768,0.7511,0.7639,0.7983,0.7511,0.7747
195,0.7618,0.7897,0.7704,0.7768,0.7983,0.7876,0.7704,0.779,0.7511,0.7639,0.7983,0.7511,0.7749
196,0.7618,0.7897,0.7704,0.7768,0.7983,0.7876,0.7725,0.779,0.7554,0.7639,0.7983,0.7554,0.7755
197,0.7618,0.7918,0.7704,0.7768,0.7983,0.7876,0.7725,0.7811,0.7554,0.7639,0.7983,0.7554,0.776
198,0.7618,0.7918,0.7704,0.779,0.7983,0.7876,0.7725,0.7811,0.7554,0.7639,0.7983,0.7554,0.7762
199,0.7618,0.7918,0.7725,0.779,0.7983,0.7876,0.7725,0.7811,0.7554,0.7639,0.7983,0.7554,0.7764
200,0.7618,0.7918,0.7725,0.7811,0.7983,0.7876,0.7725,0.7811,0.7554,0.7639,0.7983,0.7554,0.7766
201,0.7618,0.7918,0.7725,0.7811,0.7983,0.7876,0.7725,0.7811,0.7554,0.7639,0.7983,0.7554,0.7766
202,0.7639,0.7918,0.7725,0.7811,0.7983,0.7876,0.7725,0.7811,0.7554,0.7639,0.7983,0.7554,0.7768
203,0.7639,0.7918,0.7725,0.7811,0.7983,0.7876,0.7747,0.7811,0.7554,0.7639,0.7983,0.7554,0.777
204,0.7639,0.7918,0.7725,0.7811,0.7983,0.7876,0.7747,0.7811,0.7554,0.7639,0.7983,0.7554,0.777
205,0.7639,0.7918,0.7725,0.7833,0.7983,0.7876,0.7747,0.7811,0.7554,0.7639,0.7983,0.7554,0.7773
206,0.7639,0.7918,0.7725,0.7833,0.7983,0.7876,0.7747,0.7811,0.7554,0.7639,0.7983,0.7554,0.7773
207,0.7639,0.7918,0.7725,0.7833,0.7983,0.7876,0.779,0.7811,0.7554,0.7639,0.7983,0.7554,0.7777
208,0.7639,0.7918,0.7725,0.7833,0.7983,0.7876,0.779,0.7811,0.7554,0.7639,0.7983,0.7554,0.7777
209,0.7639,0.7918,0.7725,0.7833,0.7983,0.7876,0.779,0.7811,0.7554,0.7639,0.7983,0.7554,0.7777
210,0.7639,0.7918,0.7725,0.7833,0.7983,0.7876,0.779,0.7811,0.7554,0.7639,0.7983,0.7554,0.7777
