timestamp,legacy_cs4231a4,legacy_cs4231a5,legacy_cs4231a9,legacy_cs4231a8,legacy_cs4231a0,legacy_cs4231a1,legacy_cs4231a2,legacy_cs4231a3,legacy_cs4231a6,max,min,avg
71,0.058,0.3478,0.4565,0.4058,0.4275,0.4203,0.4203,0.3188,0.6087,0.6087,0.058,0.3849
72,0.3551,0.3333,0.4565,0.4058,0.4275,0.3986,0.2826,0.413,0.6087,0.6087,0.2826,0.409
73,0.2971,0.4855,0.3623,0.4058,0.4275,0.3986,0.2826,0.3841,0.6087,0.6087,0.2826,0.4058
74,0.3333,0.1884,0.3623,0.4058,0.3406,0.4783,0.2826,0.3841,0.6087,0.6087,0.1884,0.376
75,0.3841,0.4275,0.3623,0.4058,0.3406,0.4493,0.4783,0.2971,0.6087,0.6087,0.2971,0.4171
76,0.3841,0.4275,0.3623,0.4058,0.4638,0.4203,0.4783,0.2971,0.6087,0.6087,0.2971,0.4275
77,0.3841,0.4275,0.3406,0.3043,0.4638,0.4058,0.4783,0.2971,0.6087,0.6087,0.2971,0.4122
78,0.3841,0.4275,0.3406,0.3043,0.4638,0.4058,0.4783,0.2971,0.6087,0.6087,0.2971,0.4122
79,0.3841,0.3261,0.3406,0.4783,0.4855,0.4058,0.4783,0.2971,0.6087,0.6087,0.2971,0.4227
80,0.3841,0.3261,0.3406,0.4783,0.4855,0.4855,0.4783,0.2971,0.6014,0.6014,0.2971,0.4308
81,0.2174,0.3551,0.3406,0.4783,0.4565,0.4855,0.4783,0.2971,0.6014,0.6014,0.2174,0.4122
82,0.4783,0.3551,0.3406,0.4783,0.4565,0.4855,0.4783,0.2971,0.6014,0.6014,0.2971,0.4412
83,0.4783,0.3551,0.3406,0.4638,0.3406,0.4855,0.4783,0.6087,0.6014,0.6087,0.3406,0.4614
84,0.4783,0.3551,0.3406,0.471,0.2971,0.4855,0.4783,0.6087,0.6014,0.6087,0.2971,0.4573
85,0.4855,0.3551,0.3188,0.471,0.4565,0.4855,0.4783,0.471,0.6014,0.6014,0.3188,0.4581
86,0.3696,0.3551,0.2464,0.471,0.4565,0.4855,0.4783,0.471,0.6014,0.6014,0.2464,0.4372
87,0.3696,0.5797,0.3623,0.4348,0.4565,0.4855,0.4783,0.471,0.6014,0.6014,0.3623,0.471
88,0.3623,0.4783,0.2971,0.4348,0.4565,0.4203,0.4783,0.471,0.6014,0.6014,0.2971,0.4444
89,0.3623,0.5145,0.4203,0.4348,0.4565,0.4203,0.4783,0.442,0.6014,0.6014,0.3623,0.4589
90,0.3623,0.4493,0.4203,0.413,0.4565,0.4348,0.4783,0.442,0.6014,0.6014,0.3623,0.4509
91,0.3623,0.4275,0.4203,0.3116,0.0,0.442,0.4783,0.3986,0.6014,0.6014,0.3116,0.3824
92,0.3623,0.4275,0.4203,0.3188,0.0,0.2971,0.4783,0.3986,0.6014,0.6014,0.2971,0.3671
93,0.3406,0.4275,0.4203,0.3261,0.3623,0.3841,0.4783,0.1884,0.6014,0.6014,0.1884,0.3921
94,0.3406,0.4275,0.4203,0.2609,0.3623,0.2826,0.4565,0.1884,0.6014,0.6014,0.1884,0.3712
95,0.3333,0.2174,0.4203,0.2609,0.2609,0.2826,0.4565,0.4855,0.6014,0.6014,0.2174,0.3688
96,0.3841,0.2174,0.4203,0.2609,0.2609,0.2826,0.4565,0.4855,0.6014,0.6014,0.2174,0.3744
97,0.1884,0.2174,0.3623,0.2609,0.2609,0.2826,0.4565,0.4855,0.5942,0.5942,0.1884,0.3454
98,0.1884,0.2174,0.3623,0.2609,0.2609,0.2826,0.4565,0.4855,0.5942,0.5942,0.1884,0.3454
99,0.1884,0.2174,0.3623,0.2609,0.2609,0.1522,0.4565,0.4855,0.5942,0.5942,0.1522,0.3309
100,0.4855,0.2174,0.3623,0.6377,0.2609,0.1522,0.4565,0.3913,0.5942,0.6377,0.1522,0.3953
