timestamp,vga0,vga1,vga3,vga2,vga7,vga5,vga8,vga9,vga6,vga4,max,min,avg
135,0.3173,0.2753,0.241,0.2736,0.2521,0.2762,0.2667,0.2333,0.3002,0.1921,0.3173,0.1921,0.2628
136,0.3173,0.2753,0.241,0.2736,0.2521,0.2762,0.2667,0.2333,0.3002,0.1921,0.3173,0.1921,0.2628
137,0.3182,0.2753,0.241,0.2736,0.2521,0.2762,0.2667,0.2333,0.3002,0.1921,0.3182,0.1921,0.2629
138,0.3182,0.2753,0.241,0.2736,0.2822,0.2762,0.3062,0.2333,0.3002,0.193,0.3182,0.193,0.2699
139,0.3182,0.2753,0.2419,0.2736,0.2822,0.2762,0.3062,0.2333,0.3002,0.1998,0.3182,0.1998,0.2707
140,0.3182,0.2753,0.2419,0.2744,0.2822,0.2762,0.3062,0.2333,0.3002,0.1998,0.3182,0.1998,0.2708
141,0.3182,0.2753,0.2419,0.2744,0.2822,0.2762,0.3062,0.2333,0.3002,0.1998,0.3182,0.1998,0.2708
142,0.3182,0.2753,0.2419,0.2744,0.2822,0.2762,0.3062,0.2333,0.3002,0.1998,0.3182,0.1998,0.2708
143,0.3182,0.2753,0.2419,0.2744,0.2822,0.2762,0.3062,0.2333,0.3002,0.1998,0.3182,0.1998,0.2708
144,0.3182,0.2753,0.2419,0.2744,0.2822,0.2762,0.3062,0.2333,0.3002,0.1998,0.3182,0.1998,0.2708
145,0.3182,0.2753,0.2419,0.2744,0.2822,0.2762,0.3062,0.2333,0.3002,0.1998,0.3182,0.1998,0.2708
146,0.3182,0.2753,0.2419,0.2744,0.2822,0.2762,0.3062,0.2333,0.3002,0.1998,0.3182,0.1998,0.2708
147,0.3182,0.2753,0.2427,0.2744,0.2822,0.2762,0.3062,0.2333,0.3002,0.1998,0.3182,0.1998,0.2709
148,0.3182,0.2753,0.2427,0.2744,0.2822,0.277,0.3062,0.2358,0.3002,0.1998,0.3182,0.1998,0.2712
149,0.3182,0.2753,0.2427,0.2744,0.2822,0.277,0.3062,0.2358,0.3002,0.1998,0.3182,0.1998,0.2712
150,0.3182,0.2753,0.2427,0.2744,0.283,0.2787,0.3062,0.2358,0.3002,0.1998,0.3182,0.1998,0.2714
151,0.3182,0.2753,0.2427,0.2744,0.283,0.2787,0.3062,0.2358,0.3002,0.1998,0.3182,0.1998,0.2714
152,0.3182,0.2753,0.2427,0.2744,0.2847,0.2787,0.3062,0.2358,0.3002,0.1998,0.3182,0.1998,0.2716
153,0.3182,0.2753,0.2427,0.2744,0.2847,0.2804,0.307,0.2358,0.3002,0.1998,0.3182,0.1998,0.2719
154,0.3182,0.2753,0.2427,0.2744,0.2847,0.2813,0.307,0.2358,0.3002,0.1998,0.3182,0.1998,0.2719
155,0.3182,0.2753,0.2427,0.2744,0.2847,0.2813,0.307,0.2358,0.3002,0.1998,0.3182,0.1998,0.2719
156,0.3182,0.2753,0.2427,0.3156,0.2847,0.2822,0.307,0.2358,0.3002,0.1998,0.3182,0.1998,0.2762
157,0.3182,0.2753,0.2427,0.3156,0.2847,0.2822,0.307,0.2358,0.3002,0.1998,0.3182,0.1998,0.2762
158,0.3714,0.2753,0.2427,0.3156,0.2847,0.2925,0.307,0.2358,0.3002,0.1998,0.3714,0.1998,0.2825
159,0.3714,0.2753,0.2427,0.3156,0.2847,0.2925,0.307,0.2358,0.3002,0.2427,0.3714,0.2358,0.2868
160,0.3714,0.2753,0.2427,0.3156,0.2847,0.2925,0.307,0.2358,0.3002,0.2427,0.3714,0.2358,0.2868
161,0.3714,0.2753,0.2427,0.3156,0.2847,0.2925,0.307,0.2367,0.3002,0.2427,0.3714,0.2367,0.2869
162,0.3714,0.2753,0.2719,0.3156,0.2847,0.2925,0.307,0.2376,0.3002,0.2427,0.3714,0.2376,0.2899
