timestamp,ohci6,ohci4,ohci0,ohci9,ohci8,ohci7,ohci1,ohci2,ohci5,ohci3,max,min,avg
70,0.3846,0.3535,0.337,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3593
71,0.3846,0.3535,0.3407,0.37,0.3352,0.3883,0.3516,0.3681,0.3681,0.337,0.3883,0.3352,0.3597
72,0.3846,0.3535,0.3407,0.37,0.3352,0.3883,0.3516,0.3718,0.3681,0.337,0.3883,0.3352,0.3601
73,0.3846,0.3535,0.3407,0.37,0.3352,0.3883,0.3516,0.3718,0.3681,0.337,0.3883,0.3352,0.3601
74,0.3846,0.3571,0.3407,0.37,0.3352,0.3883,0.3516,0.3718,0.3681,0.337,0.3883,0.3352,0.3604
75,0.3846,0.3571,0.3407,0.37,0.3352,0.3883,0.3516,0.3718,0.3681,0.337,0.3883,0.3352,0.3604
76,0.3846,0.3571,0.3407,0.37,0.3352,0.3883,0.3516,0.3718,0.3681,0.337,0.3883,0.3352,0.3604
77,0.3846,0.3571,0.3407,0.37,0.3352,0.3883,0.3516,0.3718,0.3681,0.337,0.3883,0.3352,0.3604
78,0.3846,0.3571,0.3407,0.37,0.3352,0.3883,0.3516,0.3718,0.3681,0.337,0.3883,0.3352,0.3604
79,0.3846,0.3571,0.3407,0.37,0.3352,0.3883,0.3516,0.3718,0.3681,0.337,0.3883,0.3352,0.3604
80,0.3846,0.3571,0.3407,0.37,0.3352,0.3883,0.3516,0.3718,0.3681,0.337,0.3883,0.3352,0.3604
81,0.3846,0.3571,0.3407,0.37,0.3352,0.3883,0.3553,0.3718,0.3681,0.337,0.3883,0.3352,0.3608
82,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
83,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
84,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
85,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
86,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
87,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
88,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
89,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
90,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
91,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
92,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
93,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
94,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
95,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
96,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
97,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
98,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
99,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
100,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
101,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
102,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
103,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
104,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
105,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
106,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
107,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
108,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
109,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
110,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
111,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
112,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
113,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
114,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
115,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
116,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
117,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
118,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
119,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
120,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
121,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
122,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
123,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
124,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
125,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
126,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
127,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
128,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
129,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
130,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
131,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
132,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
133,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
134,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
135,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
136,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
137,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
138,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
139,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
140,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
141,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
142,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
143,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
144,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
145,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
146,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
147,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
148,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
149,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
150,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
151,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
152,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
153,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
154,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
155,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
156,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
157,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
158,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
159,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
160,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
161,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
162,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
163,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
164,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
165,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
166,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
167,0.3846,0.3571,0.3407,0.37,0.3352,0.3919,0.3553,0.3718,0.3681,0.337,0.3919,0.3352,0.3612
