timestamp,legacy_ac971,legacy_ac972,legacy_ac979,legacy_ac977,legacy_ac973,legacy_ac970,legacy_ac976,legacy_ac978,legacy_ac975,legacy_ac974,max,min,avg
91,0.1831,0.6612,0.5219,0.6011,0.4153,0.4672,0.4399,0.1093,0.2896,0.5984,0.6612,0.1093,0.4287
92,0.1831,0.6612,0.5219,0.6011,0.4153,0.0,0.4399,0.1093,0.2896,0.5683,0.6612,0.1093,0.379
93,0.1831,0.6612,0.4399,0.6011,0.4153,0.2896,0.4399,0.1093,0.153,0.5683,0.6612,0.1093,0.3861
94,0.6858,0.6612,0.4208,0.6011,0.4153,0.0902,0.4399,0.1366,0.3661,0.5683,0.6858,0.0902,0.4385
95,0.6858,0.6612,0.1421,0.5137,0.4153,0.0765,0.418,0.3552,0.4481,0.5683,0.6858,0.0765,0.4284
96,0.123,0.6612,0.1421,0.5137,0.4153,0.0765,0.418,0.3552,0.1311,0.5683,0.6612,0.0765,0.3404
97,0.4645,0.6612,0.1421,0.5137,0.4153,0.0765,0.418,0.3552,0.2596,0.5683,0.6612,0.0765,0.3874
98,0.4645,0.5519,0.1421,0.5137,0.5929,0.0765,0.4016,0.3552,0.2623,0.5683,0.5929,0.0765,0.3929
99,0.4645,0.5519,0.1421,0.5137,0.5082,0.0765,0.4016,0.3552,0.0,0.5683,0.5683,0.0765,0.3582
100,0.4645,0.5519,0.1421,0.5137,0.5082,0.0765,0.4016,0.3552,0.0,0.5492,0.5519,0.0765,0.3563
101,0.4645,0.5519,0.1421,0.5137,0.4754,0.4126,0.4016,0.6749,0.0,0.5492,0.6749,0.1421,0.4186
102,0.5574,0.5437,0.1421,0.5137,0.4754,0.1421,0.0,0.235,0.0,0.5492,0.5574,0.1421,0.3159
103,0.4645,0.5437,0.4672,0.5874,0.4754,0.1421,0.3634,0.2404,0.0,0.5273,0.5874,0.1421,0.3811
104,0.4645,0.5437,0.4672,0.5874,0.4754,0.1421,0.1148,0.2404,0.0,0.5273,0.5874,0.1148,0.3563
105,0.4645,0.5437,0.4399,0.5874,0.4754,0.1421,0.1148,0.4781,0.0,0.5273,0.5874,0.1148,0.3773
106,0.4645,0.5437,0.2459,0.5874,0.4754,0.5109,0.1148,0.4754,0.0,0.5273,0.5874,0.1148,0.3945
108,0.4645,0.5437,0.4617,0.5874,0.724,0.5082,0.1148,0.4317,0.0,0.5273,0.724,0.1148,0.4363
109,0.5219,0.5437,0.4617,0.5874,0.724,0.5082,0.1148,0.4317,0.0,0.4863,0.724,0.1148,0.438
110,0.5219,0.5437,0.3033,0.5874,0.724,0.5082,0.1148,0.4317,0.0,0.4836,0.724,0.1148,0.4219
111,0.5219,0.5437,0.4317,0.5874,0.724,0.5082,0.1148,0.4317,0.0,0.4836,0.724,0.1148,0.4347
112,0.4372,0.5191,0.4317,0.5874,0.724,0.4973,0.1148,0.4836,0.0,0.4781,0.724,0.1148,0.4273
113,0.4372,0.5191,0.4317,0.5874,0.5464,0.4973,0.1148,0.3962,0.0,0.4754,0.5874,0.1148,0.4005
114,0.2978,0.5191,0.5738,0.5874,0.1612,0.4973,0.1148,0.0,0.0,0.4645,0.5874,0.1148,0.3216
115,0.2978,0.5191,0.5738,0.5874,0.2158,0.4973,0.1148,0.1967,0.0,0.4645,0.5874,0.1148,0.3467
116,0.2978,0.5191,0.5738,0.5874,0.123,0.4973,0.1148,0.153,0.0,0.4645,0.5874,0.1148,0.3331
117,0.2978,0.5191,0.5738,0.5874,0.123,0.4973,0.2623,0.3169,0.0,0.4645,0.5874,0.123,0.3642
118,0.2978,0.4727,0.5738,0.5874,0.4235,0.4973,0.459,0.3169,0.0,0.4645,0.5874,0.2978,0.4093
119,0.2978,0.4727,0.5656,0.5874,0.4235,0.4973,0.2623,0.4262,0.0,0.4645,0.5874,0.2623,0.3997
120,0.2978,0.4727,0.5656,0.5874,0.4098,0.4973,0.2623,0.4262,0.0,0.4645,0.5874,0.2623,0.3984
121,0.3251,0.4727,0.5656,0.5874,0.4098,0.4891,0.2623,0.4262,0.0,0.4809,0.5874,0.2623,0.4019
122,0.4973,0.4727,0.5656,0.5874,0.1667,0.4891,0.2623,0.1148,0.0,0.4809,0.5874,0.1148,0.3637
123,0.5219,0.4727,0.5656,0.5874,0.4399,0.4891,0.2623,0.1148,0.0,0.3333,0.5874,0.1148,0.3787
124,0.5219,0.4727,0.5656,0.5874,0.4399,0.4727,0.2623,0.1148,0.0,0.3333,0.5874,0.1148,0.3771
125,0.4863,0.4727,0.5601,0.5874,0.4016,0.4699,0.2623,0.4126,0.0,0.3333,0.5874,0.2623,0.3986
126,0.4863,0.4727,0.5601,0.5874,0.2131,0.4699,0.2623,0.4126,0.0,0.3333,0.5874,0.2131,0.3798
127,0.5164,0.4727,0.5601,0.5874,0.2131,0.4699,0.5464,0.4126,0.0,0.5792,0.5874,0.2131,0.4358
128,0.5164,0.5273,0.5601,0.5874,0.2131,0.1148,0.5464,0.4126,0.0,0.5792,0.5874,0.1148,0.4057
129,0.2131,0.5273,0.5301,0.5874,0.2131,0.1148,0.5464,0.4126,0.0,0.5792,0.5874,0.1148,0.3724
130,0.2131,0.5273,0.5301,0.5874,0.2131,0.1148,0.5464,0.4836,0.0,0.5792,0.5874,0.1148,0.3795
131,0.2131,0.5273,0.5301,0.5874,0.2131,0.1148,0.5464,0.4262,0.0,0.5792,0.5874,0.1148,0.3738
132,0.2131,0.4973,0.5301,0.4918,0.2131,0.1148,0.5464,0.4262,0.0,0.5792,0.5792,0.1148,0.3612
133,0.5656,0.4973,0.5301,0.4918,0.2186,0.1148,0.5464,0.4699,0.0,0.5792,0.5792,0.1148,0.4014
134,0.5656,0.4973,0.5301,0.4918,0.2842,0.1148,0.5464,0.306,0.0,0.582,0.582,0.1148,0.3918
135,0.5656,0.4973,0.5301,0.4918,0.2842,0.1148,0.5464,0.1913,0.0,0.582,0.582,0.1148,0.3803
136,0.5656,0.4973,0.4672,0.4836,0.2842,0.5492,0.5464,0.1967,0.0,0.582,0.582,0.1967,0.4172
137,0.5656,0.4973,0.4672,0.4836,0.2842,0.5492,0.5464,0.1967,0.0,0.582,0.582,0.1967,0.4172
138,0.5656,0.3415,0.3743,0.4836,0.5164,0.5383,0.5464,0.1967,0.0,0.582,0.582,0.1967,0.4145
139,0.5656,0.3197,0.3743,0.4836,0.5164,0.5383,0.5464,0.1967,0.0,0.571,0.571,0.1967,0.4112
140,0.5656,0.3197,0.3743,0.4836,0.5164,0.5383,0.5464,0.1967,0.0,0.571,0.571,0.1967,0.4112
141,0.5628,0.3197,0.3743,0.5464,0.5164,0.5383,0.5464,0.1967,0.0,0.571,0.571,0.1967,0.4172
142,0.5628,0.3197,0.3743,0.5464,0.5164,0.5383,0.5464,0.5847,0.0,0.571,0.5847,0.3197,0.456
143,0.5628,0.3197,0.3743,0.5464,0.5164,0.4973,0.5464,0.5847,0.0,0.571,0.5847,0.3197,0.4519
144,0.5628,0.4891,0.3743,0.5464,0.5164,0.4918,0.5464,0.5847,0.0,0.571,0.5847,0.3743,0.4683
145,0.5628,0.4891,0.3743,0.5464,0.5164,0.4918,0.5464,0.5847,0.0,0.0,0.5847,0.3743,0.4112
146,0.5628,0.4891,0.3743,0.5683,0.5164,0.4918,0.5464,0.5847,0.0,0.0,0.5847,0.3743,0.4134
147,0.5628,0.4617,0.3743,0.5683,0.5137,0.4918,0.5464,0.5847,0.0,0.0,0.5847,0.3743,0.4104
148,0.5628,0.4617,0.6803,0.5683,0.5137,0.2541,0.5464,0.5847,0.0,0.0,0.6803,0.2541,0.4172
149,0.5519,0.4617,0.6803,0.5683,0.5137,0.2541,0.5464,0.5847,0.0,0.5792,0.6803,0.2541,0.474
150,0.5519,0.3825,0.6803,0.5383,0.5137,0.4071,0.5464,0.5847,0.0,0.5792,0.6803,0.3825,0.4784
151,0.5519,0.1749,0.6803,0.5383,0.5137,0.4071,0.5464,0.5847,0.0,0.5792,0.6803,0.1749,0.4577
