timestamp,legacy_intel_hda5,legacy_intel_hda1,legacy_intel_hda0,legacy_intel_hda9,legacy_intel_hda2,legacy_intel_hda3,legacy_intel_hda8,legacy_intel_hda4,legacy_intel_hda7,legacy_intel_hda6,max,min,avg
109,0.5348,0.287,0.4522,0.2,0.3,0.3739,0.1174,0.1435,0.2609,0.0,0.5348,0.1174,0.267
110,0.5348,0.2391,0.4522,0.2,0.3,0.3739,0.1174,0.1435,0.2609,0.0,0.5348,0.1174,0.2622
111,0.5348,0.2391,0.4522,0.2,0.3,0.3739,0.1174,0.2217,0.2609,0.0,0.5348,0.1174,0.27
112,0.5348,0.1652,0.4522,0.2,0.3,0.3739,0.1174,0.2217,0.2609,0.0,0.5348,0.1174,0.2626
113,0.1435,0.1652,0.4522,0.1304,0.2696,0.3,0.1174,0.1609,0.2609,0.0,0.4522,0.1174,0.2
114,0.1435,0.1304,0.4522,0.1304,0.2696,0.3,0.1174,0.1609,0.2609,0.0,0.4522,0.1174,0.1965
115,0.1739,0.1304,0.2783,0.1304,0.2696,0.3,0.5652,0.1609,0.2609,0.0,0.5652,0.1304,0.227
117,0.1304,0.1435,0.1304,0.2696,0.2696,0.3739,0.5652,0.1609,0.2565,0.2174,0.5652,0.1304,0.2517
118,0.1304,0.1435,0.1304,0.2696,0.1478,0.2696,0.2478,0.1609,0.1217,0.2174,0.2696,0.1217,0.1839
119,0.1174,0.2261,0.1304,0.2696,0.1217,0.2696,0.2478,0.2087,0.1217,0.2174,0.2696,0.1174,0.193
120,0.2087,0.2261,0.1304,0.2739,0.1217,0.2696,0.2043,0.2087,0.1217,0.2304,0.2739,0.1217,0.1995
121,0.2087,0.2217,0.1304,0.2739,0.2522,0.2696,0.2043,0.2087,0.1217,0.2304,0.2739,0.1217,0.2122
123,0.2391,0.2217,0.2957,0.2739,0.2522,0.2696,0.2565,0.2087,0.1217,0.2304,0.2957,0.1217,0.2369
124,0.2391,0.2217,0.2391,0.2739,0.2522,0.2696,0.2565,0.2087,0.1217,0.2304,0.2739,0.1217,0.2313
126,0.2391,0.2739,0.2391,0.2739,0.2522,0.2696,0.2565,0.2087,0.1217,0.2304,0.2739,0.1217,0.2365
127,0.2391,0.2739,0.2391,0.2739,0.2522,0.2696,0.2565,0.2087,0.1217,0.3522,0.3522,0.1217,0.2487
128,0.2391,0.2739,0.2391,0.2739,0.2522,0.2696,0.2565,0.1957,0.4348,0.3522,0.4348,0.1957,0.2787
129,0.2391,0.2391,0.2391,0.2739,0.2522,0.2696,0.2565,0.1957,0.4348,0.3522,0.4348,0.1957,0.2752
130,0.2609,0.2391,0.2391,0.2739,0.2522,0.2696,0.2565,0.1957,0.4348,0.3522,0.4348,0.1957,0.2774
131,0.2609,0.2391,0.287,0.2739,0.2522,0.2696,0.3,0.1957,0.4348,0.3522,0.4348,0.1957,0.2865
132,0.2609,0.2391,0.287,0.2739,0.2522,0.2696,0.3,0.1957,0.2565,0.3522,0.3522,0.1957,0.2687
133,0.2609,0.2391,0.287,0.2739,0.2522,0.2696,0.3,0.1957,0.2565,0.2783,0.3,0.1957,0.2613
135,0.2609,0.3,0.287,0.3391,0.2522,0.2696,0.3,0.1957,0.2565,0.2783,0.3391,0.1957,0.2739
136,0.2609,0.3,0.287,0.3391,0.2522,0.2696,0.3,0.1957,0.2565,0.2783,0.3391,0.1957,0.2739
137,0.2609,0.3,0.287,0.3391,0.2522,0.3435,0.3,0.1957,0.2565,0.2783,0.3435,0.1957,0.2813
138,0.2609,0.3,0.287,0.3391,0.2522,0.3435,0.3,0.1826,0.2565,0.2783,0.3435,0.1826,0.28
139,0.2609,0.3,0.287,0.3391,0.2522,0.3435,0.2087,0.1826,0.2565,0.2783,0.3435,0.1826,0.2709
140,0.2565,0.3,0.287,0.3391,0.2522,0.3435,0.2087,0.1826,0.2565,0.2087,0.3435,0.1826,0.2635
141,0.2565,0.2391,0.287,0.3391,0.2522,0.3435,0.2087,0.1826,0.2565,0.2043,0.3435,0.1826,0.2569
143,0.1826,0.2696,0.287,0.3391,0.2522,0.3435,0.2087,0.2913,0.2565,0.2043,0.3435,0.1826,0.2635
144,0.1826,0.2696,0.287,0.3391,0.2522,0.2,0.2087,0.2913,0.2565,0.2043,0.3391,0.1826,0.2491
145,0.1826,0.2087,0.287,0.3391,0.2522,0.3,0.2087,0.2913,0.5174,0.2043,0.5174,0.1826,0.2791
