timestamp,hda2,hda5,hda1,hda0,hda6,hda8,hda3,hda4,hda7,hda9,max,min,avg
107,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
108,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
109,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
110,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
111,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
112,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
113,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
114,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
115,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
116,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
117,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
118,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
119,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
120,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
121,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
122,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6391,0.6478,0.5565,0.633
123,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6339
124,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6339
125,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6339
126,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6339
127,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6339
128,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6339
129,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6339
130,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6339
131,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6339
132,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6339
133,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6339
134,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6339
135,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6339
136,0.6435,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6339
137,0.6478,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6343
138,0.6478,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6343
139,0.6478,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6343
140,0.6478,0.5565,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.5565,0.6343
141,0.6478,0.6043,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.6043,0.6391
142,0.6478,0.6043,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.6043,0.6391
143,0.6478,0.6043,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.6043,0.6391
144,0.6478,0.6043,0.6435,0.6478,0.6435,0.6348,0.6348,0.6391,0.6478,0.6478,0.6478,0.6043,0.6391
145,0.6478,0.6043,0.6435,0.6478,0.6435,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6043,0.64
146,0.6478,0.6043,0.6435,0.6478,0.6435,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6043,0.64
147,0.6478,0.6043,0.6435,0.6478,0.6435,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6043,0.64
148,0.6478,0.6043,0.6435,0.6478,0.6435,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6043,0.64
149,0.6478,0.6043,0.6435,0.6478,0.6435,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6043,0.64
150,0.6478,0.6043,0.6435,0.6478,0.6435,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6043,0.64
151,0.6478,0.6043,0.6435,0.6478,0.6435,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6043,0.64
152,0.6478,0.6087,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6087,0.6409
153,0.6478,0.6087,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6087,0.6409
154,0.6478,0.6087,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6087,0.6409
155,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
156,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
157,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
158,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
159,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
160,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
161,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
162,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
163,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
164,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
165,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
166,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
167,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
168,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
169,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
170,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
171,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
172,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
173,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
174,0.6478,0.6217,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6217,0.6422
175,0.6478,0.6304,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6304,0.643
176,0.6478,0.6304,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6304,0.643
177,0.6478,0.6304,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6304,0.643
178,0.6478,0.6304,0.6435,0.6478,0.6478,0.6348,0.6348,0.6478,0.6478,0.6478,0.6478,0.6304,0.643
