timestamp,legacy_pcnet3,legacy_pcnet7,legacy_pcnet0,legacy_pcnet4,legacy_pcnet8,legacy_pcnet5,legacy_pcnet1,legacy_pcnet2,legacy_pcnet6,max,min,avg
166,0.0839,0.2664,0.3066,0.3504,0.3485,0.3303,0.1971,0.3248,0.3869,0.3869,0.0839,0.2883
167,0.0839,0.2755,0.3066,0.3504,0.3485,0.3303,0.0821,0.3248,0.2865,0.3504,0.0821,0.2654
168,0.0839,0.2865,0.3066,0.3431,0.3485,0.3303,0.0821,0.3248,0.3248,0.3485,0.0821,0.2701
169,0.2682,0.281,0.3066,0.3431,0.3485,0.3303,0.0821,0.3248,0.1971,0.3485,0.0821,0.2757
170,0.0876,0.0201,0.3339,0.3431,0.3485,0.3285,0.0821,0.3248,0.2062,0.3485,0.0201,0.2305
171,0.188,0.2646,0.3339,0.3394,0.3485,0.3285,0.0821,0.3248,0.0839,0.3485,0.0821,0.2549
172,0.2318,0.2646,0.3339,0.3394,0.3485,0.3285,0.0821,0.3248,0.1953,0.3485,0.0821,0.2721
173,0.1697,0.2646,0.3339,0.3394,0.3485,0.3285,0.0821,0.3248,0.3412,0.3485,0.0821,0.2814
174,0.1697,0.188,0.3339,0.3339,0.3485,0.3285,0.0821,0.3248,0.3412,0.3485,0.0821,0.2723
175,0.1697,0.2646,0.3339,0.3339,0.3558,0.3285,0.0821,0.3248,0.3029,0.3558,0.0821,0.2774
176,0.1697,0.2536,0.3066,0.3339,0.3558,0.3285,0.0821,0.3248,0.3029,0.3558,0.0821,0.2731
177,0.2737,0.2536,0.3066,0.3358,0.3558,0.3285,0.0821,0.3248,0.3285,0.3558,0.0821,0.2877
178,0.2737,0.2591,0.3066,0.3321,0.3558,0.3266,0.0821,0.3248,0.3285,0.3558,0.0821,0.2877
179,0.2737,0.2591,0.3066,0.3321,0.3558,0.3266,0.0821,0.3248,0.312,0.3558,0.0821,0.2859
180,0.2737,0.2792,0.3066,0.3321,0.3558,0.3266,0.0821,0.3248,0.312,0.3558,0.0821,0.2881
181,0.2737,0.2792,0.2956,0.3266,0.3558,0.3266,0.0821,0.3248,0.323,0.3558,0.0821,0.2875
182,0.2737,0.2792,0.2956,0.3157,0.3558,0.3266,0.3704,0.3248,0.323,0.3704,0.2737,0.3183
183,0.2701,0.25,0.2956,0.312,0.3485,0.3266,0.3704,0.3248,0.323,0.3704,0.25,0.3134
184,0.2701,0.25,0.2354,0.2847,0.3485,0.3266,0.3704,0.3248,0.323,0.3704,0.2354,0.3037
185,0.2701,0.25,0.2354,0.2226,0.3485,0.3266,0.3704,0.3248,0.323,0.3704,0.2226,0.2968
186,0.2701,0.25,0.2354,0.2226,0.3485,0.3266,0.3704,0.3248,0.323,0.3704,0.2226,0.2968
187,0.2701,0.2318,0.2354,0.2609,0.3485,0.3266,0.3704,0.3248,0.3723,0.3723,0.2318,0.3045
188,0.2664,0.2299,0.2354,0.2646,0.3485,0.3266,0.3467,0.3248,0.3723,0.3723,0.2299,0.3017
189,0.2664,0.2299,0.2409,0.1752,0.3485,0.3266,0.3467,0.3248,0.3102,0.3485,0.1752,0.2855
190,0.2664,0.0201,0.2409,0.1752,0.3485,0.3266,0.3467,0.354,0.3102,0.354,0.0201,0.2654
191,0.2664,0.2135,0.2409,0.3504,0.3485,0.3266,0.3467,0.354,0.3102,0.354,0.2135,0.3064
192,0.2664,0.2135,0.2409,0.3504,0.3577,0.3266,0.3467,0.354,0.3102,0.3577,0.2135,0.3074
194,0.2664,0.1807,0.2409,0.3504,0.3577,0.3266,0.3431,0.354,0.3102,0.3577,0.1807,0.3033
195,0.2664,0.1934,0.2245,0.292,0.3577,0.3266,0.3431,0.354,0.3504,0.3577,0.1934,0.3009
196,0.2664,0.1934,0.2245,0.292,0.3577,0.3157,0.3431,0.354,0.3504,0.3577,0.1934,0.2997
197,0.2664,0.1934,0.2026,0.292,0.3577,0.3157,0.3431,0.354,0.3504,0.3577,0.1934,0.2973
198,0.2664,0.2646,0.2026,0.3485,0.3577,0.3157,0.3431,0.354,0.2263,0.3577,0.2026,0.2977
199,0.2664,0.2646,0.0201,0.3485,0.3577,0.3157,0.3431,0.354,0.2263,0.3577,0.0201,0.2774
200,0.2609,0.2646,0.0201,0.2135,0.3577,0.3157,0.3431,0.354,0.2263,0.3577,0.0201,0.2618
201,0.2609,0.2646,0.0201,0.0967,0.3577,0.3157,0.3431,0.354,0.2245,0.3577,0.0201,0.2486
202,0.2609,0.2336,0.0201,0.2865,0.3577,0.3157,0.3431,0.3504,0.2135,0.3577,0.0201,0.2646
203,0.2609,0.2336,0.031,0.2044,0.3577,0.3157,0.3431,0.3504,0.1971,0.3577,0.031,0.2549
204,0.2609,0.2336,0.031,0.2044,0.3558,0.3157,0.3431,0.3504,0.2007,0.3558,0.031,0.2551
205,0.2609,0.2336,0.2828,0.2044,0.3558,0.2938,0.3431,0.3504,0.1697,0.3558,0.1697,0.2772
206,0.2609,0.2336,0.2336,0.2044,0.3558,0.2938,0.3431,0.3504,0.1916,0.3558,0.1916,0.2741
207,0.2609,0.0201,0.1004,0.3814,0.3558,0.2938,0.3431,0.3504,0.1916,0.3814,0.0201,0.2553
208,0.2591,0.0766,0.1004,0.2847,0.3558,0.2938,0.3431,0.3504,0.1916,0.3558,0.0766,0.2506
209,0.2591,0.2263,0.1004,0.2847,0.3558,0.2755,0.3431,0.3029,0.1916,0.3558,0.1004,0.2599
210,0.2591,0.0766,0.2555,0.2847,0.3558,0.2755,0.3431,0.3029,0.1916,0.3558,0.0766,0.2605
211,0.2591,0.0766,0.2555,0.354,0.3558,0.2828,0.3431,0.3029,0.1916,0.3558,0.0766,0.269
212,0.2591,0.0766,0.2555,0.354,0.3558,0.281,0.3431,0.3029,0.3047,0.3558,0.0766,0.2814
213,0.2591,0.0766,0.2555,0.354,0.3558,0.281,0.3431,0.3029,0.3066,0.3558,0.0766,0.2816
214,0.2591,0.0766,0.2555,0.354,0.3504,0.2792,0.3431,0.3029,0.3066,0.354,0.0766,0.2808
215,0.2591,0.0766,0.3285,0.354,0.3504,0.2372,0.3431,0.3029,0.3066,0.354,0.0766,0.2843
217,0.2591,0.3923,0.3285,0.3522,0.3504,0.2372,0.3394,0.3175,0.3066,0.3923,0.2372,0.3204
218,0.2573,0.2737,0.3285,0.3522,0.3504,0.2372,0.3394,0.3175,0.3066,0.3522,0.2372,0.307
219,0.2591,0.2737,0.3285,0.3522,0.3558,0.3339,0.3394,0.3175,0.0292,0.3558,0.0292,0.2877
220,0.2591,0.2792,0.3285,0.3522,0.3558,0.3339,0.3394,0.3175,0.0292,0.3558,0.0292,0.2883
221,0.2591,0.2792,0.3285,0.3522,0.3558,0.3339,0.3394,0.2828,0.0292,0.3558,0.0292,0.2845
222,0.2591,0.2792,0.3285,0.3522,0.3558,0.3339,0.3394,0.2828,0.0292,0.3558,0.0292,0.2845
223,0.2555,0.2792,0.3285,0.3887,0.3558,0.3339,0.3394,0.2828,0.0292,0.3887,0.0292,0.2881
224,0.2555,0.2682,0.3285,0.3887,0.3558,0.3339,0.3431,0.2828,0.0292,0.3887,0.0292,0.2873
225,0.2555,0.2007,0.3285,0.3887,0.3558,0.3339,0.3431,0.2828,0.0292,0.3887,0.0292,0.2798
