timestamp,rtl81399,rtl81390,rtl81393,rtl81397,rtl81398,rtl81392,rtl81394,rtl81395,rtl81391,rtl81396,max,min,avg
64,0.7174,0.7355,0.7355,0.7156,0.712,0.7337,0.7373,0.7337,0.7373,0.7156,0.7373,0.712,0.7274
65,0.7174,0.7355,0.7355,0.7156,0.712,0.7355,0.7373,0.7337,0.7373,0.7156,0.7373,0.712,0.7275
66,0.7174,0.7355,0.7355,0.7156,0.712,0.7355,0.7373,0.7337,0.7373,0.7156,0.7373,0.712,0.7275
67,0.7174,0.7355,0.7355,0.7156,0.712,0.7355,0.7373,0.7337,0.7373,0.7156,0.7373,0.712,0.7275
68,0.7174,0.7355,0.7355,0.7156,0.712,0.7355,0.7373,0.7337,0.7373,0.7156,0.7373,0.712,0.7275
69,0.7174,0.7355,0.7355,0.7156,0.712,0.7355,0.7391,0.7337,0.7373,0.7156,0.7391,0.712,0.7277
70,0.7174,0.7355,0.7355,0.7156,0.712,0.7373,0.7409,0.7337,0.7373,0.7156,0.7409,0.712,0.7281
71,0.7174,0.7355,0.7355,0.7156,0.712,0.7373,0.7409,0.7337,0.7373,0.7156,0.7409,0.712,0.7281
72,0.7174,0.7355,0.7355,0.7156,0.712,0.7373,0.7409,0.7337,0.7373,0.7156,0.7409,0.712,0.7281
73,0.7174,0.7355,0.7355,0.7156,0.712,0.7391,0.7409,0.7337,0.7373,0.7156,0.7409,0.712,0.7283
74,0.7174,0.7355,0.7355,0.7156,0.712,0.7391,0.7409,0.7337,0.7373,0.7156,0.7409,0.712,0.7283
75,0.7174,0.7355,0.7355,0.7156,0.712,0.7391,0.7409,0.7337,0.7373,0.7156,0.7409,0.712,0.7283
76,0.7174,0.7355,0.7355,0.7156,0.712,0.7446,0.7409,0.7337,0.7482,0.7156,0.7482,0.712,0.7299
77,0.7174,0.7355,0.7355,0.7156,0.712,0.7446,0.7409,0.7337,0.75,0.7156,0.75,0.712,0.7301
78,0.7174,0.7355,0.7355,0.7156,0.712,0.7446,0.7409,0.7337,0.75,0.7156,0.75,0.712,0.7301
79,0.7174,0.7355,0.7355,0.7156,0.712,0.7464,0.7409,0.7337,0.75,0.7156,0.75,0.712,0.7303
80,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.75,0.7156,0.75,0.7138,0.7304
81,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.75,0.7156,0.75,0.7138,0.7304
82,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.75,0.7156,0.75,0.7138,0.7304
83,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.75,0.7156,0.75,0.7138,0.7304
84,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.75,0.7156,0.75,0.7138,0.7304
85,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.75,0.7156,0.75,0.7138,0.7304
86,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.75,0.7156,0.75,0.7138,0.7304
87,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.75,0.7156,0.75,0.7138,0.7304
88,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.75,0.7156,0.75,0.7138,0.7304
89,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.75,0.7156,0.75,0.7138,0.7304
90,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.75,0.7156,0.75,0.7138,0.7304
91,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.75,0.7156,0.75,0.7138,0.7304
92,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.75,0.7156,0.75,0.7138,0.7304
93,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.7518,0.7156,0.7518,0.7138,0.7306
94,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.7518,0.7156,0.7518,0.7138,0.7306
95,0.7174,0.7355,0.7355,0.7156,0.7138,0.7464,0.7409,0.7337,0.7518,0.7156,0.7518,0.7138,0.7306
96,0.7174,0.7355,0.7355,0.7156,0.7138,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7138,0.731
97,0.7174,0.7355,0.7355,0.7156,0.7138,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7138,0.731
98,0.7174,0.7355,0.7355,0.7156,0.7156,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7312
99,0.7174,0.7355,0.7355,0.7156,0.7156,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7312
100,0.7174,0.7355,0.7355,0.7156,0.7156,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7312
101,0.7174,0.7355,0.7355,0.7156,0.7156,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7312
102,0.7174,0.7355,0.7355,0.7156,0.7156,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7312
103,0.7174,0.7355,0.7355,0.7156,0.7156,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7312
104,0.7174,0.7428,0.7355,0.7156,0.7156,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7319
105,0.7174,0.7428,0.7355,0.7156,0.7156,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7319
106,0.7174,0.7428,0.7355,0.7156,0.7156,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7319
107,0.7174,0.7428,0.7355,0.7156,0.7156,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7319
108,0.7174,0.7428,0.7355,0.7156,0.7156,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7319
109,0.7174,0.7428,0.7355,0.7156,0.7156,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7319
110,0.7174,0.7428,0.7355,0.7156,0.7156,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7319
111,0.7174,0.7428,0.7355,0.7156,0.7192,0.75,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7322
112,0.7174,0.7428,0.7355,0.7156,0.7192,0.7518,0.7409,0.7337,0.7518,0.7156,0.7518,0.7156,0.7324
113,0.7174,0.7428,0.7355,0.7301,0.7192,0.7518,0.7464,0.7337,0.7518,0.7156,0.7518,0.7156,0.7344
114,0.7174,0.7428,0.7355,0.7301,0.7192,0.7518,0.7464,0.7337,0.7518,0.7156,0.7518,0.7156,0.7344
115,0.7174,0.7428,0.7355,0.7301,0.7192,0.7518,0.7482,0.7337,0.7518,0.7156,0.7518,0.7156,0.7346
116,0.7174,0.7428,0.7355,0.7301,0.7192,0.7518,0.7482,0.7337,0.7518,0.7156,0.7518,0.7156,0.7346
117,0.7174,0.7428,0.7355,0.7301,0.7192,0.7518,0.7482,0.7337,0.7518,0.7156,0.7518,0.7156,0.7346
118,0.7174,0.7428,0.7355,0.7337,0.7192,0.7518,0.7482,0.7337,0.7518,0.7156,0.7518,0.7156,0.735
119,0.7174,0.7428,0.7355,0.7337,0.7192,0.7518,0.7482,0.7373,0.7518,0.7156,0.7518,0.7156,0.7353
120,0.7174,0.7428,0.7355,0.7337,0.7192,0.7518,0.7482,0.7373,0.7518,0.7156,0.7518,0.7156,0.7353
121,0.7174,0.7428,0.7355,0.7337,0.7192,0.7518,0.7482,0.7373,0.7518,0.7156,0.7518,0.7156,0.7353
122,0.7174,0.7428,0.7355,0.7337,0.7192,0.7518,0.7482,0.7373,0.7518,0.7156,0.7518,0.7156,0.7353
123,0.7174,0.7428,0.7355,0.7337,0.7192,0.7518,0.7482,0.7409,0.7518,0.7156,0.7518,0.7156,0.7357
124,0.7174,0.7428,0.7355,0.7337,0.7192,0.7518,0.7482,0.7464,0.7518,0.7156,0.7518,0.7156,0.7362
125,0.7174,0.7428,0.7355,0.7337,0.7192,0.7518,0.7482,0.7464,0.7518,0.7156,0.7518,0.7156,0.7362
126,0.7174,0.7428,0.7355,0.7337,0.7192,0.7518,0.7482,0.7464,0.7518,0.7156,0.7518,0.7156,0.7362
127,0.7174,0.7428,0.7355,0.7337,0.7192,0.7518,0.7482,0.7464,0.7518,0.7156,0.7518,0.7156,0.7362
128,0.7174,0.7428,0.7355,0.7337,0.7192,0.7518,0.7482,0.7464,0.7518,0.7156,0.7518,0.7156,0.7362
129,0.7174,0.7428,0.7355,0.7337,0.7192,0.7518,0.7482,0.7482,0.7518,0.7156,0.7518,0.7156,0.7364
130,0.7174,0.7428,0.7355,0.7337,0.7192,0.7518,0.7482,0.75,0.7518,0.7156,0.7518,0.7156,0.7366
131,0.7174,0.7428,0.7355,0.7355,0.7192,0.7518,0.7482,0.75,0.7518,0.7156,0.7518,0.7156,0.7368
132,0.7174,0.7428,0.7355,0.7355,0.7192,0.7518,0.7518,0.75,0.7518,0.7156,0.7518,0.7156,0.7371
133,0.7174,0.7428,0.7355,0.7355,0.7192,0.7518,0.7518,0.75,0.7518,0.7156,0.7518,0.7156,0.7371
134,0.7174,0.7464,0.7355,0.7355,0.7192,0.7518,0.7536,0.75,0.7518,0.7156,0.7536,0.7156,0.7377
135,0.7174,0.7482,0.7355,0.7355,0.7192,0.7518,0.7536,0.75,0.7518,0.7156,0.7536,0.7156,0.7379
136,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
137,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
138,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
139,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
140,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
141,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
142,0.7174,0.7482,0.7373,0.7355,0.7192,0.7518,0.7536,0.7518,0.7518,0.7156,0.7536,0.7156,0.7382
