timestamp,legacy_ee100pro8,legacy_ee100pro5,legacy_ee100pro4,legacy_ee100pro9,legacy_ee100pro0,legacy_ee100pro1,legacy_ee100pro6,legacy_ee100pro2,legacy_ee100pro7,legacy_ee100pro3,max,min,avg
116,0.5023,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.5023,0.0116,0.0607
117,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
118,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
119,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
120,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
121,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
122,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
123,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
124,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
125,0.0116,0.0116,0.3218,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3218,0.0116,0.0426
126,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
127,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
128,0.0116,0.0116,0.0116,0.0116,0.1574,0.0116,0.0116,0.0116,0.0116,0.0116,0.1574,0.0116,0.0262
129,0.0116,0.0116,0.0116,0.0116,0.1574,0.0116,0.0116,0.0116,0.0116,0.0116,0.1574,0.0116,0.0262
130,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
131,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
132,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
133,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
135,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
136,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
137,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
138,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
139,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
140,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
141,0.4236,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4236,0.0116,0.0528
142,0.4236,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4236,0.0116,0.0528
143,0.0116,0.0116,0.3495,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3495,0.0116,0.0454
144,0.0116,0.0116,0.3495,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3495,0.0116,0.0454
145,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
147,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
148,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
149,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
150,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
151,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
152,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
153,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
154,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
155,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
156,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
157,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
158,0.0116,0.3125,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3125,0.0116,0.0417
159,0.0116,0.3125,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3843,0.0116,0.3843,0.0116,0.079
160,0.0116,0.3125,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3843,0.0116,0.3843,0.0116,0.079
161,0.0116,0.3125,0.3032,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3356,0.3356,0.0116,0.1033
162,0.0116,0.0116,0.3032,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3356,0.3356,0.0116,0.0732
163,0.0116,0.0116,0.3032,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3356,0.3356,0.0116,0.0732
164,0.0116,0.0116,0.3032,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3356,0.3356,0.0116,0.0732
165,0.0116,0.0116,0.3032,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3356,0.3356,0.0116,0.0732
166,0.0116,0.0116,0.3032,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3032,0.0116,0.0408
167,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
168,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
169,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
170,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
171,0.0116,0.0116,0.0116,0.0116,0.3843,0.0116,0.0116,0.0116,0.3634,0.0116,0.3843,0.0116,0.084
172,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3125,0.0116,0.3634,0.0116,0.3634,0.0116,0.0769
173,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3125,0.0116,0.3634,0.0116,0.3634,0.0116,0.0769
174,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3125,0.0116,0.3634,0.0116,0.3634,0.0116,0.0769
175,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3634,0.0116,0.3634,0.0116,0.0468
176,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3634,0.0116,0.3634,0.0116,0.0468
177,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.3634,0.0116,0.3634,0.0116,0.0468
178,0.0116,0.0116,0.0116,0.0116,0.2894,0.0116,0.0116,0.0116,0.0116,0.0116,0.2894,0.0116,0.0394
179,0.0116,0.0116,0.0116,0.0116,0.0116,0.4306,0.0116,0.0116,0.0116,0.0116,0.4306,0.0116,0.0535
181,0.0116,0.0116,0.0116,0.0116,0.0116,0.4306,0.0116,0.0116,0.0116,0.0116,0.4306,0.0116,0.0535
182,0.0116,0.0116,0.0116,0.0116,0.0116,0.4306,0.0116,0.0116,0.0116,0.0116,0.4306,0.0116,0.0535
183,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
184,0.4514,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4514,0.0116,0.0556
185,0.4514,0.0116,0.0116,0.3681,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4514,0.0116,0.0912
186,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
187,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
188,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4051,0.0116,0.0116,0.4051,0.0116,0.051
189,0.2708,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4051,0.0116,0.0116,0.4051,0.0116,0.0769
190,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4051,0.0116,0.0116,0.4051,0.0116,0.051
191,0.3727,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4051,0.0116,0.0116,0.4051,0.0116,0.0871
192,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4051,0.0116,0.0116,0.4051,0.0116,0.051
193,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.4051,0.0116,0.0116,0.4051,0.0116,0.051
194,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
195,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
196,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
197,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
198,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
199,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
200,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
201,0.0116,0.0116,0.0116,0.0116,0.456,0.0116,0.0116,0.0116,0.0116,0.0116,0.456,0.0116,0.056
203,0.0116,0.0116,0.0116,0.0116,0.456,0.0116,0.0116,0.0116,0.0116,0.0116,0.456,0.0116,0.056
204,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
205,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
206,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.1574,0.0116,0.0116,0.1574,0.0116,0.0262
207,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
208,0.0116,0.0116,0.0116,0.0116,0.0116,0.4352,0.0116,0.0116,0.0116,0.0116,0.4352,0.0116,0.054
209,0.0116,0.0116,0.0116,0.0116,0.0116,0.4352,0.0116,0.0116,0.0116,0.0116,0.4352,0.0116,0.054
210,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116,0.0116
