timestamp,legacy_pcnet1,legacy_pcnet8,legacy_pcnet5,legacy_pcnet2,legacy_pcnet6,legacy_pcnet3,legacy_pcnet0,legacy_pcnet9,legacy_pcnet7,max,min,avg
96,0.4288,0.3923,0.3759,0.3777,0.3668,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3771
97,0.4288,0.3923,0.3759,0.3777,0.3668,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3771
98,0.4288,0.3942,0.3759,0.3777,0.3668,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3773
99,0.4288,0.3942,0.3759,0.3777,0.3668,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3773
100,0.4288,0.3942,0.3759,0.3777,0.3668,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3773
101,0.4288,0.396,0.3759,0.3777,0.3668,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3775
102,0.4288,0.396,0.3759,0.3777,0.3668,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3775
103,0.4288,0.396,0.3759,0.3777,0.3686,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3777
104,0.4288,0.396,0.3759,0.3777,0.3686,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3777
105,0.4288,0.396,0.3759,0.3777,0.3686,0.354,0.3759,0.3522,0.3704,0.4288,0.3522,0.3777
106,0.4288,0.396,0.3796,0.3777,0.3686,0.354,0.3796,0.3522,0.3704,0.4288,0.3522,0.3785
107,0.4288,0.396,0.3796,0.3777,0.3686,0.354,0.3796,0.3522,0.3704,0.4288,0.3522,0.3785
108,0.4288,0.396,0.3796,0.3777,0.3686,0.354,0.3796,0.3522,0.3704,0.4288,0.3522,0.3785
109,0.4288,0.396,0.3796,0.3777,0.3686,0.354,0.3796,0.3522,0.3704,0.4288,0.3522,0.3785
110,0.4288,0.396,0.3796,0.3796,0.3686,0.354,0.3796,0.3522,0.3704,0.4288,0.3522,0.3788
111,0.4288,0.396,0.3796,0.3796,0.3686,0.354,0.3796,0.3522,0.3704,0.4288,0.3522,0.3788
