timestamp,rtl81396,rtl81393,rtl81391,rtl81392,rtl81394,rtl81398,rtl81399,rtl81395,rtl81390,rtl81397,max,min,avg
145,0.3945,0.3127,0.3491,0.2964,0.3273,0.3436,0.3618,0.28,0.3436,0.3218,0.3945,0.28,0.3331
146,0.3945,0.3127,0.3491,0.2964,0.3273,0.3436,0.3618,0.28,0.3455,0.3218,0.3945,0.28,0.3333
147,0.3945,0.3164,0.3491,0.2964,0.3273,0.3436,0.3636,0.28,0.3455,0.3218,0.3945,0.28,0.3338
148,0.3945,0.3164,0.3491,0.2964,0.3273,0.3436,0.3636,0.28,0.3455,0.3218,0.3945,0.28,0.3338
149,0.3945,0.3164,0.3491,0.2964,0.3273,0.3436,0.3636,0.28,0.3455,0.3218,0.3945,0.28,0.3338
150,0.3945,0.3164,0.3491,0.2964,0.3273,0.3436,0.3636,0.28,0.3455,0.3218,0.3945,0.28,0.3338
151,0.3945,0.3164,0.3491,0.2964,0.3273,0.3436,0.3636,0.28,0.3455,0.3218,0.3945,0.28,0.3338
152,0.3945,0.3164,0.3491,0.2964,0.3273,0.3436,0.3636,0.28,0.3455,0.3218,0.3945,0.28,0.3338
153,0.3945,0.3164,0.3491,0.2964,0.3273,0.3436,0.3636,0.28,0.3455,0.3218,0.3945,0.28,0.3338
154,0.3945,0.3164,0.3491,0.2964,0.3273,0.3436,0.3673,0.28,0.3455,0.3218,0.3945,0.28,0.3342
155,0.3945,0.3164,0.3491,0.2964,0.3273,0.3436,0.3673,0.28,0.3455,0.3218,0.3945,0.28,0.3342
156,0.3945,0.3164,0.3491,0.2964,0.3273,0.3436,0.3673,0.28,0.3455,0.3218,0.3945,0.28,0.3342
157,0.3945,0.3164,0.3491,0.2964,0.3273,0.3436,0.3673,0.28,0.3455,0.3218,0.3945,0.28,0.3342
158,0.3945,0.3164,0.3491,0.2964,0.3273,0.3436,0.3673,0.28,0.3455,0.3218,0.3945,0.28,0.3342
159,0.3945,0.3164,0.3491,0.2964,0.3273,0.3436,0.3691,0.28,0.3564,0.3218,0.3945,0.28,0.3355
160,0.3945,0.3164,0.3491,0.2964,0.3273,0.3436,0.3691,0.28,0.3564,0.3218,0.3945,0.28,0.3355
