timestamp,legacy_ee100pro4,legacy_ee100pro3,legacy_ee100pro6,legacy_ee100pro7,legacy_ee100pro0,legacy_ee100pro9,legacy_ee100pro2,legacy_ee100pro5,max,min,avg
72,0.3577,0.3328,0.4539,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.4005
73,0.3577,0.3328,0.4539,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.4005
74,0.3577,0.3328,0.4539,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.4005
75,0.3577,0.3328,0.4539,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.4005
76,0.3577,0.3328,0.4539,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.4005
77,0.3577,0.3328,0.4539,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.4005
78,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
80,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
81,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
83,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
84,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
85,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
86,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
87,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
88,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
89,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
90,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
91,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
92,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
93,0.3577,0.3328,0.4581,0.4398,0.3461,0.473,0.3427,0.4581,0.473,0.3328,0.401
