timestamp,legacy_es13704,legacy_es13707,legacy_es13708,legacy_es13705,legacy_es13706,legacy_es13703,legacy_es13702,legacy_es13700,legacy_es13709,legacy_es13701,max,min,avg
66,0.4506,0.4506,0.4321,0.4815,0.3395,0.6358,0.5556,0.4568,0.4691,0.5,0.6358,0.3395,0.4772
67,0.4506,0.4506,0.4321,0.4815,0.3395,0.6358,0.5556,0.4568,0.4691,0.5247,0.6358,0.3395,0.4796
68,0.4506,0.4506,0.4321,0.4815,0.3395,0.6358,0.5556,0.4568,0.4691,0.5309,0.6358,0.3395,0.4803
69,0.4506,0.4506,0.4321,0.4815,0.3395,0.6358,0.5556,0.4568,0.4691,0.5494,0.6358,0.3395,0.4821
70,0.4506,0.4506,0.4321,0.4815,0.3395,0.6358,0.6235,0.4568,0.4691,0.5494,0.6358,0.3395,0.4889
71,0.4506,0.4506,0.4321,0.4815,0.4815,0.6358,0.6235,0.4568,0.4691,0.5494,0.6358,0.4321,0.5031
72,0.4506,0.4506,0.4321,0.4815,0.4815,0.6975,0.6235,0.4753,0.4691,0.5494,0.6975,0.4321,0.5111
73,0.4506,0.4506,0.4321,0.4815,0.4815,0.6975,0.6235,0.4753,0.4691,0.5494,0.6975,0.4321,0.5111
74,0.4506,0.4506,0.4321,0.4815,0.4815,0.6975,0.6235,0.4753,0.4691,0.5494,0.6975,0.4321,0.5111
75,0.4506,0.4506,0.4321,0.4815,0.4815,0.6975,0.6235,0.4753,0.4691,0.5494,0.6975,0.4321,0.5111
76,0.4506,0.4506,0.4321,0.4815,0.4815,0.6975,0.6235,0.4753,0.5062,0.5494,0.6975,0.4321,0.5148
77,0.4506,0.4506,0.4321,0.5062,0.4815,0.6975,0.6235,0.4753,0.5062,0.7037,0.7037,0.4321,0.5327
78,0.537,0.4506,0.4321,0.5062,0.4815,0.6975,0.6235,0.4753,0.5062,0.7037,0.7037,0.4321,0.5414
79,0.537,0.4506,0.4321,0.5062,0.4815,0.6975,0.6235,0.4753,0.5062,0.7037,0.7037,0.4321,0.5414
80,0.537,0.4506,0.4321,0.5062,0.4938,0.6975,0.6235,0.4753,0.5062,0.7037,0.7037,0.4321,0.5426
81,0.537,0.4506,0.4321,0.5062,0.4938,0.6975,0.6235,0.4753,0.5062,0.7037,0.7037,0.4321,0.5426
82,0.537,0.4506,0.4321,0.5062,0.4938,0.6975,0.6235,0.4753,0.5062,0.7222,0.7222,0.4321,0.5444
83,0.537,0.4938,0.4815,0.5123,0.4938,0.6975,0.6235,0.4753,0.5062,0.7222,0.7222,0.4753,0.5543
84,0.537,0.4938,0.4815,0.5123,0.4938,0.6975,0.6235,0.4753,0.5062,0.7222,0.7222,0.4753,0.5543
85,0.537,0.4938,0.5556,0.5123,0.4938,0.6975,0.6235,0.5247,0.5062,0.7222,0.7222,0.4938,0.5667
86,0.537,0.4938,0.5556,0.5123,0.4938,0.6975,0.6235,0.5247,0.5062,0.7222,0.7222,0.4938,0.5667
87,0.537,0.4938,0.5556,0.5123,0.4938,0.6975,0.6235,0.5247,0.5062,0.7222,0.7222,0.4938,0.5667
88,0.537,0.4938,0.5556,0.5123,0.4938,0.6975,0.6235,0.5247,0.5062,0.7222,0.7222,0.4938,0.5667
89,0.537,0.4938,0.5556,0.5123,0.4938,0.6975,0.6235,0.5247,0.5062,0.7222,0.7222,0.4938,0.5667
90,0.537,0.4938,0.5556,0.5123,0.4938,0.6975,0.6235,0.5309,0.5062,0.7222,0.7222,0.4938,0.5673
91,0.537,0.4938,0.5617,0.5123,0.4938,0.6975,0.6235,0.537,0.5062,0.7222,0.7222,0.4938,0.5685
92,0.537,0.4938,0.5617,0.5185,0.4938,0.6975,0.6235,0.5432,0.5062,0.7222,0.7222,0.4938,0.5697
93,0.537,0.4938,0.5617,0.5185,0.4938,0.6975,0.6235,0.5432,0.5062,0.7222,0.7222,0.4938,0.5697
94,0.537,0.4938,0.5617,0.5185,0.4938,0.6975,0.6235,0.5679,0.5062,0.7222,0.7222,0.4938,0.5722
95,0.537,0.4938,0.5617,0.5185,0.4938,0.6975,0.6235,0.5679,0.5062,0.7222,0.7222,0.4938,0.5722
96,0.537,0.4938,0.5617,0.5185,0.4938,0.6975,0.6235,0.5679,0.5062,0.7222,0.7222,0.4938,0.5722
97,0.537,0.4938,0.5617,0.5185,0.4938,0.6975,0.6235,0.5679,0.5062,0.7222,0.7222,0.4938,0.5722
98,0.537,0.4938,0.5617,0.5185,0.4938,0.6975,0.6235,0.5679,0.5062,0.7222,0.7222,0.4938,0.5722
99,0.537,0.4938,0.5617,0.5185,0.4938,0.6975,0.6235,0.5679,0.5062,0.7222,0.7222,0.4938,0.5722
100,0.537,0.4938,0.5679,0.5185,0.4938,0.6975,0.6235,0.6728,0.5062,0.7222,0.7222,0.4938,0.5833
101,0.537,0.4938,0.5679,0.5247,0.4938,0.6975,0.6235,0.6975,0.5062,0.7222,0.7222,0.4938,0.5864
102,0.537,0.4938,0.5679,0.5247,0.4938,0.6975,0.6235,0.6975,0.5062,0.7222,0.7222,0.4938,0.5864
103,0.537,0.4938,0.5679,0.5247,0.4938,0.6975,0.6235,0.7037,0.5062,0.7222,0.7222,0.4938,0.587
104,0.537,0.4938,0.5679,0.5247,0.4938,0.6975,0.6235,0.7037,0.5062,0.7222,0.7222,0.4938,0.587
105,0.537,0.4938,0.5679,0.5247,0.4938,0.6975,0.6235,0.7037,0.5062,0.7222,0.7222,0.4938,0.587
106,0.537,0.4938,0.5679,0.5247,0.4938,0.6975,0.6235,0.7037,0.5062,0.7222,0.7222,0.4938,0.587
107,0.537,0.4938,0.5679,0.5247,0.4938,0.6975,0.6235,0.7037,0.5062,0.7222,0.7222,0.4938,0.587
108,0.537,0.4938,0.5679,0.5247,0.4938,0.6975,0.6235,0.7037,0.5062,0.7222,0.7222,0.4938,0.587
109,0.5432,0.4938,0.5679,0.5247,0.4938,0.6975,0.6235,0.7037,0.5062,0.7222,0.7222,0.4938,0.5876
110,0.5432,0.4938,0.5679,0.5247,0.4938,0.6975,0.6235,0.7037,0.5062,0.7222,0.7222,0.4938,0.5876
111,0.5432,0.4938,0.5679,0.5247,0.4938,0.6975,0.6235,0.716,0.5062,0.7222,0.7222,0.4938,0.5889
112,0.5432,0.4938,0.5679,0.5247,0.4938,0.6975,0.6235,0.716,0.5062,0.7222,0.7222,0.4938,0.5889
