timestamp,legacy_intelhda4,legacy_intelhda5,legacy_intelhda8,legacy_intelhda0,legacy_intelhda6,legacy_intelhda7,legacy_intelhda1,legacy_intelhda3,legacy_intelhda9,legacy_intelhda2,max,min,avg
64,0.4957,0.4261,0.3957,0.5043,0.2348,0.2783,0.4348,0.5043,0.2957,0.3652,0.5043,0.2348,0.3935
65,0.4957,0.4261,0.3957,0.5043,0.2348,0.2783,0.4348,0.5043,0.3652,0.3652,0.5043,0.2348,0.4004
66,0.4957,0.4261,0.3957,0.5043,0.2348,0.2783,0.4348,0.5043,0.3652,0.3652,0.5043,0.2348,0.4004
67,0.4957,0.4261,0.3957,0.5043,0.2348,0.287,0.4348,0.5043,0.3913,0.3652,0.5043,0.2348,0.4039
68,0.4957,0.4261,0.3957,0.5043,0.2348,0.287,0.4348,0.5043,0.3913,0.3652,0.5043,0.2348,0.4039
69,0.4957,0.4261,0.3957,0.5043,0.2348,0.287,0.4348,0.5043,0.3913,0.3652,0.5043,0.2348,0.4039
70,0.4957,0.4261,0.3957,0.5043,0.2348,0.287,0.4348,0.5043,0.3913,0.3652,0.5043,0.2348,0.4039
71,0.4957,0.4261,0.3957,0.5043,0.2348,0.287,0.4348,0.5043,0.3913,0.3652,0.5043,0.2348,0.4039
72,0.4957,0.4261,0.3957,0.5043,0.2348,0.287,0.4348,0.5043,0.3913,0.3652,0.5043,0.2348,0.4039
73,0.4957,0.4261,0.3957,0.5043,0.2348,0.287,0.4348,0.5043,0.3913,0.3652,0.5043,0.2348,0.4039
74,0.4957,0.4261,0.3957,0.5043,0.2348,0.287,0.4348,0.5087,0.3913,0.3652,0.5087,0.2348,0.4044
75,0.4957,0.4261,0.3957,0.5043,0.2348,0.287,0.4348,0.5087,0.3913,0.3652,0.5087,0.2348,0.4044
76,0.4957,0.4261,0.3957,0.5043,0.2348,0.287,0.4348,0.5087,0.3913,0.3652,0.5087,0.2348,0.4044
77,0.4957,0.4261,0.3957,0.5043,0.2348,0.287,0.4348,0.5087,0.3913,0.3652,0.5087,0.2348,0.4044
78,0.4957,0.4261,0.3957,0.5043,0.2348,0.287,0.4348,0.5087,0.3913,0.3652,0.5087,0.2348,0.4044
80,0.4957,0.4261,0.3957,0.5043,0.2348,0.287,0.4348,0.5087,0.3913,0.3652,0.5087,0.2348,0.4044
81,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.5087,0.3913,0.3652,0.5087,0.2348,0.41
82,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.5087,0.3913,0.3652,0.5087,0.2348,0.41
83,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.3913,0.3652,0.513,0.2348,0.4104
84,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.3913,0.3652,0.513,0.2348,0.4104
85,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.3913,0.3652,0.513,0.2348,0.4104
86,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.3913,0.3652,0.513,0.2348,0.4104
87,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.3913,0.3652,0.513,0.2348,0.4104
88,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.3913,0.3652,0.513,0.2348,0.4104
90,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.3913,0.3652,0.513,0.2348,0.4104
91,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.3913,0.3652,0.513,0.2348,0.4104
92,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.5043,0.3652,0.513,0.2348,0.4217
93,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.5043,0.3652,0.513,0.2348,0.4217
94,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.5043,0.3652,0.513,0.2348,0.4217
95,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.5043,0.3652,0.513,0.2348,0.4217
96,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.5174,0.3652,0.5174,0.2348,0.4231
97,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.5174,0.3652,0.5174,0.2348,0.4231
98,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.513,0.5174,0.3652,0.5174,0.2348,0.4231
99,0.4957,0.4261,0.3957,0.5043,0.2348,0.3435,0.4348,0.5261,0.5174,0.3652,0.5261,0.2348,0.4244
101,0.4957,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5174,0.3652,0.5261,0.2348,0.4248
102,0.4957,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5174,0.3652,0.5261,0.2348,0.4248
103,0.4957,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.4278
104,0.4957,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.4278
105,0.4957,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.4278
106,0.4957,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.4278
107,0.4957,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.4278
108,0.4957,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.4278
109,0.4957,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.4278
110,0.4957,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.4278
111,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
112,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
113,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
114,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
115,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
116,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
117,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
118,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
119,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
120,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
121,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
122,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
123,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
124,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
125,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
127,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
128,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
129,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
130,0.5174,0.4261,0.3957,0.5043,0.2348,0.3478,0.4348,0.5261,0.5478,0.3652,0.5478,0.2348,0.43
