timestamp,legacy_e10004,legacy_e10009,legacy_e10006,legacy_e10008,legacy_e10002,legacy_e10000,legacy_e10007,legacy_e10005,legacy_e10003,max,min,avg
68,0.3658,0.2467,0.3847,0.3365,0.3478,0.3686,0.3526,0.3611,0.2769,0.3847,0.2467,0.3379
69,0.3658,0.2467,0.3847,0.3365,0.3478,0.3686,0.3526,0.3611,0.2769,0.3847,0.2467,0.3379
70,0.3715,0.2467,0.3847,0.3365,0.3478,0.3686,0.3526,0.3611,0.2769,0.3847,0.2467,0.3385
71,0.3715,0.2467,0.3847,0.3365,0.3478,0.3686,0.3526,0.3715,0.2769,0.3847,0.2467,0.3396
72,0.3715,0.2467,0.3847,0.3365,0.3478,0.3686,0.3526,0.3715,0.3507,0.3847,0.2467,0.3478
73,0.3715,0.2467,0.3847,0.3365,0.3478,0.3686,0.3526,0.3715,0.3507,0.3847,0.2467,0.3478
74,0.3715,0.2467,0.3847,0.3365,0.3478,0.3686,0.3526,0.3743,0.3507,0.3847,0.2467,0.3482
75,0.3715,0.2467,0.3847,0.3365,0.3478,0.3686,0.3526,0.3743,0.3507,0.3847,0.2467,0.3482
76,0.3715,0.2713,0.3847,0.3365,0.3516,0.3686,0.3526,0.3762,0.3507,0.3847,0.2713,0.3515
77,0.3715,0.2713,0.3847,0.3365,0.3516,0.3686,0.3526,0.3762,0.3507,0.3847,0.2713,0.3515
78,0.3715,0.2713,0.3847,0.3365,0.3516,0.3686,0.3526,0.3762,0.3507,0.3847,0.2713,0.3515
79,0.3715,0.2713,0.3847,0.3365,0.3516,0.3686,0.3526,0.3819,0.3507,0.3847,0.2713,0.3522
80,0.3715,0.2713,0.3847,0.3365,0.3516,0.3686,0.3526,0.3819,0.3507,0.3847,0.2713,0.3522
81,0.3715,0.2911,0.3847,0.3365,0.3516,0.3686,0.3526,0.3819,0.3507,0.3847,0.2911,0.3544
82,0.3715,0.2911,0.3847,0.3365,0.3516,0.3686,0.3526,0.3819,0.3507,0.3847,0.2911,0.3544
83,0.3715,0.2911,0.3847,0.3365,0.3516,0.3686,0.3526,0.3819,0.3507,0.3847,0.2911,0.3544
84,0.3762,0.2911,0.3847,0.3365,0.3516,0.3686,0.3526,0.3819,0.3507,0.3847,0.2911,0.3549
85,0.3762,0.2911,0.3847,0.3365,0.3516,0.3686,0.3526,0.3819,0.3507,0.3847,0.2911,0.3549
86,0.3762,0.2911,0.3847,0.3365,0.3516,0.3686,0.3526,0.3819,0.3507,0.3847,0.2911,0.3549
87,0.3762,0.3157,0.3847,0.3365,0.3516,0.3686,0.3526,0.3819,0.3507,0.3847,0.3157,0.3576
88,0.3762,0.3157,0.3847,0.3365,0.3516,0.3686,0.3677,0.3819,0.3507,0.3847,0.3157,0.3593
89,0.3762,0.3157,0.3847,0.3365,0.3516,0.3686,0.3677,0.3819,0.3507,0.3847,0.3157,0.3593
90,0.3762,0.3157,0.3847,0.3365,0.3516,0.3686,0.3677,0.3819,0.3507,0.3847,0.3157,0.3593
91,0.3762,0.3157,0.3847,0.3365,0.3516,0.3686,0.3677,0.3819,0.3507,0.3847,0.3157,0.3593
92,0.3762,0.3157,0.3847,0.3365,0.3516,0.3686,0.3677,0.3819,0.3507,0.3847,0.3157,0.3593
93,0.3762,0.3157,0.3904,0.3365,0.3516,0.3686,0.3677,0.3819,0.3507,0.3904,0.3157,0.3599
94,0.3762,0.3157,0.3904,0.3365,0.3516,0.3686,0.3677,0.3819,0.3507,0.3904,0.3157,0.3599
95,0.3762,0.3157,0.3904,0.3365,0.3648,0.3686,0.3677,0.3819,0.3809,0.3904,0.3157,0.3647
96,0.3762,0.3157,0.3904,0.3365,0.3648,0.3686,0.3677,0.3837,0.3809,0.3904,0.3157,0.3649
97,0.3762,0.3157,0.3904,0.3365,0.3648,0.3686,0.3677,0.3837,0.3809,0.3904,0.3157,0.3649
98,0.3762,0.3157,0.3904,0.3365,0.3648,0.3686,0.3677,0.3837,0.3856,0.3904,0.3157,0.3655
99,0.3762,0.3157,0.3904,0.3365,0.3648,0.3686,0.3677,0.3837,0.3856,0.3904,0.3157,0.3655
100,0.3762,0.3157,0.3904,0.3365,0.3648,0.3686,0.3677,0.3837,0.3856,0.3904,0.3157,0.3655
101,0.3762,0.3157,0.3904,0.3365,0.3648,0.3686,0.3677,0.3837,0.3856,0.3904,0.3157,0.3655
102,0.3762,0.3157,0.3904,0.3365,0.3648,0.3686,0.3677,0.3837,0.3856,0.3904,0.3157,0.3655
103,0.3762,0.3157,0.3904,0.3365,0.3648,0.3686,0.3677,0.3837,0.3856,0.3904,0.3157,0.3655
104,0.3762,0.3157,0.3904,0.3365,0.3648,0.3686,0.3677,0.3837,0.3856,0.3904,0.3157,0.3655
105,0.3762,0.3157,0.3904,0.3365,0.3648,0.3686,0.3677,0.3837,0.3856,0.3904,0.3157,0.3655
106,0.3762,0.3157,0.3904,0.3365,0.3648,0.3686,0.3677,0.3837,0.3856,0.3904,0.3157,0.3655
107,0.3762,0.3157,0.3904,0.3365,0.3648,0.3686,0.3677,0.3904,0.3856,0.3904,0.3157,0.3662
108,0.3762,0.3157,0.3922,0.3365,0.3648,0.3686,0.3677,0.3904,0.3856,0.3922,0.3157,0.3664
109,0.3762,0.3157,0.3922,0.3365,0.3648,0.3686,0.3677,0.3904,0.3856,0.3922,0.3157,0.3664
110,0.3762,0.3157,0.3941,0.3365,0.3648,0.3686,0.3677,0.3904,0.3856,0.3941,0.3157,0.3666
111,0.3762,0.3157,0.3941,0.3365,0.3648,0.3686,0.3677,0.3904,0.3856,0.3941,0.3157,0.3666
112,0.3762,0.3157,0.3941,0.3365,0.3648,0.38,0.3677,0.3922,0.3856,0.3941,0.3157,0.3681
113,0.3762,0.3157,0.3941,0.3365,0.3648,0.38,0.3677,0.3922,0.3856,0.3941,0.3157,0.3681
114,0.3762,0.3157,0.3941,0.3365,0.3648,0.38,0.3677,0.3922,0.3856,0.3941,0.3157,0.3681
115,0.3762,0.3157,0.3941,0.3365,0.3648,0.38,0.3677,0.3922,0.3856,0.3941,0.3157,0.3681
116,0.3762,0.3157,0.3941,0.3592,0.3648,0.38,0.3677,0.3922,0.3856,0.3941,0.3157,0.3706
117,0.3762,0.3157,0.3941,0.3592,0.3648,0.38,0.3677,0.3922,0.3856,0.3941,0.3157,0.3706
118,0.3762,0.3157,0.3941,0.3592,0.3648,0.38,0.3677,0.3922,0.3856,0.3941,0.3157,0.3706
119,0.3762,0.3157,0.3941,0.3592,0.3648,0.38,0.3677,0.3922,0.3856,0.3941,0.3157,0.3706
120,0.3762,0.3724,0.3941,0.3592,0.3648,0.38,0.3677,0.3922,0.3856,0.3941,0.3592,0.3769
121,0.3762,0.3724,0.3941,0.3592,0.3648,0.3885,0.3677,0.3922,0.3856,0.3941,0.3592,0.3779
122,0.3762,0.3724,0.3941,0.3592,0.3648,0.3885,0.3677,0.3922,0.3856,0.3941,0.3592,0.3779
123,0.3762,0.3828,0.3941,0.3592,0.3648,0.3885,0.3677,0.3922,0.3941,0.3941,0.3592,0.38
124,0.3762,0.3828,0.3941,0.3592,0.3648,0.3922,0.3677,0.3922,0.3941,0.3941,0.3592,0.3804
125,0.3762,0.3828,0.3941,0.3592,0.3648,0.3922,0.3677,0.3922,0.3941,0.3941,0.3592,0.3804
126,0.3762,0.3828,0.3941,0.3592,0.3648,0.3922,0.3677,0.3922,0.3941,0.3941,0.3592,0.3804
127,0.3762,0.3828,0.3941,0.3592,0.3648,0.3922,0.3677,0.3922,0.3941,0.3941,0.3592,0.3804
128,0.3762,0.3828,0.3941,0.3592,0.3648,0.3922,0.3677,0.3922,0.3941,0.3941,0.3592,0.3804
129,0.3762,0.3828,0.3941,0.3592,0.3648,0.3922,0.3677,0.3922,0.3941,0.3941,0.3592,0.3804
130,0.38,0.3828,0.3941,0.3592,0.3648,0.3922,0.3677,0.3922,0.3941,0.3941,0.3592,0.3808
131,0.38,0.3828,0.3941,0.3592,0.3648,0.3922,0.3677,0.3922,0.3941,0.3941,0.3592,0.3808
132,0.38,0.3894,0.3941,0.3592,0.3648,0.3922,0.3677,0.3922,0.396,0.396,0.3592,0.3817
133,0.38,0.3894,0.3941,0.3592,0.3648,0.3932,0.3677,0.3922,0.396,0.396,0.3592,0.3818
134,0.38,0.3894,0.3941,0.3866,0.3648,0.3932,0.3677,0.3922,0.396,0.396,0.3648,0.3849
135,0.38,0.3894,0.3941,0.3866,0.3648,0.3951,0.3677,0.3922,0.396,0.396,0.3648,0.3851
136,0.38,0.3894,0.3941,0.3866,0.3648,0.3951,0.3677,0.3922,0.396,0.396,0.3648,0.3851
137,0.3913,0.3894,0.3941,0.3866,0.3648,0.3951,0.3677,0.3922,0.396,0.396,0.3648,0.3864
138,0.3913,0.3894,0.3941,0.3866,0.3648,0.3951,0.3677,0.3922,0.396,0.396,0.3648,0.3864
139,0.3913,0.3894,0.3941,0.3866,0.3648,0.3951,0.3677,0.3922,0.396,0.396,0.3648,0.3864
140,0.3913,0.3894,0.3941,0.3866,0.3648,0.3951,0.3677,0.3922,0.396,0.396,0.3648,0.3864
141,0.3913,0.3894,0.3941,0.3866,0.3648,0.3951,0.3677,0.3922,0.396,0.396,0.3648,0.3864
142,0.3913,0.3894,0.3941,0.4008,0.3648,0.3998,0.3677,0.3922,0.396,0.4008,0.3648,0.3885
143,0.3913,0.3894,0.3941,0.4008,0.3648,0.4093,0.3677,0.3922,0.396,0.4093,0.3648,0.3895
144,0.3913,0.3894,0.3941,0.4008,0.3648,0.4112,0.3677,0.3922,0.396,0.4112,0.3648,0.3897
145,0.3913,0.466,0.3941,0.4008,0.3648,0.4112,0.3677,0.3922,0.396,0.466,0.3648,0.3982
146,0.3913,0.466,0.3941,0.4008,0.3648,0.4112,0.3677,0.3922,0.396,0.466,0.3648,0.3982
147,0.3913,0.466,0.3941,0.4008,0.3648,0.4112,0.3677,0.3922,0.396,0.466,0.3648,0.3982
148,0.3913,0.466,0.3941,0.4008,0.3648,0.4773,0.3677,0.3922,0.396,0.4773,0.3648,0.4056
149,0.3913,0.466,0.3941,0.4008,0.3648,0.4773,0.3677,0.4017,0.396,0.4773,0.3648,0.4066
150,0.3913,0.466,0.3941,0.4008,0.3648,0.4773,0.3677,0.4017,0.396,0.4773,0.3648,0.4066
151,0.3913,0.466,0.3941,0.4083,0.3733,0.4773,0.3677,0.4017,0.396,0.4773,0.3677,0.4084
152,0.3913,0.466,0.3941,0.4083,0.3733,0.4773,0.3677,0.4017,0.396,0.4773,0.3677,0.4084
153,0.3913,0.466,0.3941,0.4083,0.3733,0.4773,0.3715,0.4017,0.396,0.4773,0.3715,0.4088
154,0.3913,0.466,0.3941,0.4083,0.3733,0.4773,0.3715,0.4017,0.396,0.4773,0.3715,0.4088
155,0.3913,0.466,0.3941,0.4083,0.3733,0.4773,0.3715,0.4017,0.396,0.4773,0.3715,0.4088
