timestamp,e10009,e10004,e10003,e10008,e10001,e10002,e10000,e10006,e10007,e10005,max,min,avg
83,0.2219,0.2252,0.2914,0.2384,0.3609,0.2914,0.2252,0.2219,0.2119,0.2152,0.3609,0.2119,0.2503
84,0.2219,0.2252,0.2914,0.2384,0.3609,0.2914,0.2252,0.2219,0.2119,0.2152,0.3609,0.2119,0.2503
85,0.2219,0.2252,0.3079,0.2384,0.3609,0.2914,0.2252,0.2219,0.2119,0.2219,0.3609,0.2119,0.2527
86,0.2219,0.2252,0.3079,0.2384,0.3609,0.2914,0.2252,0.2219,0.2119,0.2219,0.3609,0.2119,0.2527
87,0.2219,0.2252,0.3079,0.2384,0.3609,0.2914,0.2252,0.2219,0.2517,0.2219,0.3609,0.2219,0.2566
88,0.2219,0.2252,0.3079,0.2384,0.3609,0.298,0.2252,0.2252,0.2517,0.2219,0.3609,0.2219,0.2576
89,0.2219,0.2252,0.3079,0.2384,0.3609,0.298,0.2252,0.2252,0.2517,0.2219,0.3609,0.2219,0.2576
90,0.2219,0.2252,0.3079,0.2384,0.3609,0.298,0.2252,0.2252,0.2517,0.2219,0.3609,0.2219,0.2576
91,0.2219,0.2252,0.3079,0.2483,0.3609,0.298,0.2252,0.2252,0.2517,0.2219,0.3609,0.2219,0.2586
92,0.2219,0.2252,0.3079,0.2483,0.3609,0.298,0.2252,0.2252,0.2517,0.2219,0.3609,0.2219,0.2586
93,0.2219,0.2252,0.3079,0.2517,0.3609,0.298,0.2252,0.2252,0.2517,0.2219,0.3609,0.2219,0.259
94,0.2219,0.2252,0.3079,0.2517,0.3609,0.298,0.2252,0.2252,0.2517,0.2219,0.3609,0.2219,0.259
95,0.2219,0.2252,0.3079,0.2517,0.3609,0.298,0.2252,0.2252,0.2517,0.2219,0.3609,0.2219,0.259
96,0.2219,0.2252,0.3079,0.2517,0.3609,0.298,0.2252,0.2252,0.2517,0.2219,0.3609,0.2219,0.259
97,0.2219,0.2252,0.3079,0.2517,0.3609,0.298,0.2252,0.2252,0.2517,0.2219,0.3609,0.2219,0.259
98,0.2219,0.2252,0.3079,0.2517,0.3609,0.298,0.2252,0.2252,0.2517,0.2219,0.3609,0.2219,0.259
99,0.2219,0.2252,0.3079,0.2517,0.3609,0.298,0.2252,0.2285,0.2517,0.2219,0.3609,0.2219,0.2593
100,0.2219,0.2252,0.3079,0.2517,0.3609,0.298,0.2285,0.2285,0.2517,0.2219,0.3609,0.2219,0.2596
101,0.2219,0.2252,0.3212,0.2517,0.3609,0.298,0.2285,0.2285,0.2517,0.2219,0.3609,0.2219,0.2609
102,0.2219,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2517,0.2219,0.3609,0.2219,0.2623
103,0.2219,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2517,0.2219,0.3609,0.2219,0.2623
104,0.2219,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2517,0.2384,0.3609,0.2219,0.2639
105,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2616,0.2384,0.3609,0.2252,0.2652
106,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2616,0.2384,0.3609,0.2252,0.2652
107,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2616,0.2384,0.3609,0.2252,0.2652
108,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2616,0.2384,0.3609,0.2252,0.2652
109,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2616,0.2384,0.3609,0.2252,0.2652
110,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2616,0.2384,0.3609,0.2252,0.2652
111,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2616,0.2384,0.3609,0.2252,0.2652
112,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2616,0.2384,0.3609,0.2252,0.2652
113,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2616,0.2384,0.3609,0.2252,0.2652
114,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2616,0.2384,0.3609,0.2252,0.2652
115,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2682,0.2384,0.3609,0.2252,0.2659
116,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2682,0.2384,0.3609,0.2252,0.2659
117,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2682,0.2384,0.3609,0.2252,0.2659
118,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2682,0.2417,0.3609,0.2252,0.2662
119,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2682,0.2417,0.3609,0.2252,0.2662
120,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2682,0.2417,0.3609,0.2252,0.2662
121,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2682,0.2417,0.3609,0.2252,0.2662
122,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2682,0.2417,0.3609,0.2252,0.2662
123,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2682,0.2417,0.3609,0.2252,0.2662
124,0.2252,0.2252,0.3344,0.2517,0.3609,0.298,0.2285,0.2285,0.2682,0.2517,0.3609,0.2252,0.2672
125,0.2252,0.2252,0.3344,0.2517,0.3675,0.298,0.2285,0.2285,0.2682,0.2517,0.3675,0.2252,0.2679
126,0.2252,0.2252,0.3344,0.2517,0.3675,0.298,0.2285,0.2285,0.2682,0.2517,0.3675,0.2252,0.2679
127,0.2252,0.2252,0.3344,0.2517,0.3675,0.298,0.2285,0.2285,0.2682,0.2517,0.3675,0.2252,0.2679
128,0.2252,0.2252,0.3344,0.2517,0.3675,0.298,0.2285,0.2285,0.2682,0.2517,0.3675,0.2252,0.2679
129,0.2252,0.2252,0.3344,0.2517,0.3675,0.298,0.2285,0.2285,0.2682,0.2517,0.3675,0.2252,0.2679
130,0.2252,0.2252,0.3344,0.2517,0.3675,0.298,0.2285,0.2285,0.2682,0.2517,0.3675,0.2252,0.2679
131,0.2252,0.2252,0.3344,0.2517,0.3675,0.298,0.2285,0.2285,0.2682,0.2517,0.3675,0.2252,0.2679
132,0.2252,0.2252,0.3344,0.2517,0.3675,0.298,0.2285,0.2285,0.2682,0.2517,0.3675,0.2252,0.2679
133,0.2252,0.2252,0.3344,0.2517,0.3675,0.298,0.2285,0.2285,0.2682,0.2517,0.3675,0.2252,0.2679
134,0.2252,0.2252,0.3344,0.2517,0.3675,0.298,0.2285,0.2285,0.2682,0.2517,0.3675,0.2252,0.2679
135,0.2252,0.2252,0.3344,0.2517,0.3675,0.298,0.2285,0.2285,0.2682,0.2517,0.3675,0.2252,0.2679
136,0.2252,0.2252,0.3344,0.2517,0.3675,0.298,0.2285,0.2285,0.2815,0.2517,0.3675,0.2252,0.2692
137,0.2285,0.2252,0.3344,0.2517,0.3675,0.298,0.2285,0.2285,0.2914,0.2517,0.3675,0.2252,0.2705
138,0.2285,0.2252,0.3344,0.2583,0.3675,0.298,0.2285,0.2285,0.2914,0.2517,0.3675,0.2252,0.2712
139,0.2285,0.2252,0.3344,0.2616,0.3675,0.298,0.2285,0.2285,0.2914,0.2517,0.3675,0.2252,0.2715
140,0.2285,0.2252,0.3344,0.2616,0.3675,0.298,0.2285,0.2285,0.2914,0.2517,0.3675,0.2252,0.2715
141,0.2285,0.2252,0.3344,0.2616,0.3675,0.298,0.2285,0.2285,0.2914,0.2517,0.3675,0.2252,0.2715
142,0.2285,0.2252,0.3344,0.2616,0.3675,0.298,0.2285,0.2351,0.2914,0.2517,0.3675,0.2252,0.2722
143,0.2285,0.2252,0.3344,0.2616,0.3675,0.298,0.2285,0.2351,0.2947,0.2517,0.3675,0.2252,0.2725
144,0.2285,0.2252,0.3344,0.2616,0.3675,0.298,0.2285,0.2351,0.2947,0.2517,0.3675,0.2252,0.2725
145,0.2285,0.2252,0.3344,0.2616,0.3675,0.298,0.2285,0.2351,0.3013,0.2517,0.3675,0.2252,0.2732
146,0.2285,0.2252,0.3344,0.2616,0.3675,0.298,0.2285,0.2351,0.3013,0.2517,0.3675,0.2252,0.2732
147,0.2285,0.2252,0.3344,0.2616,0.3675,0.298,0.2285,0.2384,0.3013,0.2517,0.3675,0.2252,0.2735
148,0.2285,0.2318,0.3344,0.2616,0.3675,0.298,0.2285,0.2384,0.3013,0.2517,0.3675,0.2285,0.2742
149,0.2285,0.2318,0.3344,0.2616,0.3675,0.298,0.2285,0.2384,0.3013,0.2517,0.3675,0.2285,0.2742
150,0.2285,0.2318,0.3344,0.2616,0.3675,0.298,0.2285,0.2384,0.3013,0.2517,0.3675,0.2285,0.2742
151,0.2285,0.2318,0.3444,0.2616,0.3675,0.298,0.2285,0.2384,0.3046,0.2517,0.3675,0.2285,0.2755
152,0.2285,0.2318,0.3444,0.2616,0.3675,0.298,0.2285,0.2384,0.3046,0.2517,0.3675,0.2285,0.2755
153,0.2285,0.2715,0.3444,0.2616,0.3675,0.298,0.2285,0.2384,0.3245,0.2517,0.3675,0.2285,0.2815
154,0.2285,0.2715,0.3444,0.2616,0.3675,0.298,0.2285,0.2384,0.3245,0.2517,0.3675,0.2285,0.2815
155,0.2285,0.2715,0.3444,0.2616,0.3675,0.298,0.2285,0.2384,0.3245,0.2517,0.3675,0.2285,0.2815
156,0.2285,0.2715,0.3444,0.2616,0.3675,0.298,0.2285,0.245,0.3245,0.2517,0.3675,0.2285,0.2821
157,0.2285,0.2715,0.3444,0.2616,0.3675,0.298,0.2285,0.245,0.3245,0.2517,0.3675,0.2285,0.2821
158,0.2285,0.2715,0.3444,0.2616,0.3675,0.298,0.2285,0.245,0.3245,0.2517,0.3675,0.2285,0.2821
159,0.2285,0.2781,0.3444,0.2616,0.3675,0.298,0.2285,0.245,0.3278,0.2517,0.3675,0.2285,0.2831
160,0.2285,0.2781,0.3444,0.2616,0.3675,0.298,0.2285,0.245,0.3278,0.2517,0.3675,0.2285,0.2831
161,0.2285,0.2781,0.3444,0.2616,0.3675,0.298,0.2285,0.245,0.3278,0.2517,0.3675,0.2285,0.2831
162,0.2285,0.2781,0.3444,0.2616,0.3675,0.298,0.2285,0.245,0.3278,0.2517,0.3675,0.2285,0.2831
163,0.2285,0.2781,0.3444,0.2616,0.3675,0.298,0.2285,0.245,0.3278,0.2517,0.3675,0.2285,0.2831
164,0.2285,0.2781,0.3444,0.2616,0.3675,0.298,0.2285,0.245,0.3278,0.2517,0.3675,0.2285,0.2831
165,0.2285,0.2781,0.3444,0.2616,0.3675,0.298,0.2351,0.245,0.3278,0.2517,0.3675,0.2285,0.2838
166,0.2285,0.2781,0.3444,0.2616,0.3675,0.298,0.2351,0.245,0.3278,0.2517,0.3675,0.2285,0.2838
167,0.2285,0.2781,0.3444,0.2616,0.3675,0.3046,0.2351,0.245,0.3278,0.2517,0.3675,0.2285,0.2844
168,0.2285,0.2781,0.3444,0.2616,0.3675,0.3046,0.2351,0.245,0.3278,0.2649,0.3675,0.2285,0.2858
169,0.2285,0.2781,0.3444,0.2616,0.3675,0.3046,0.2351,0.245,0.3278,0.2649,0.3675,0.2285,0.2858
170,0.2285,0.2781,0.3444,0.2616,0.3675,0.3046,0.2351,0.245,0.3278,0.2649,0.3675,0.2285,0.2858
171,0.2285,0.2781,0.3444,0.2616,0.3675,0.3046,0.2351,0.245,0.3278,0.2649,0.3675,0.2285,0.2858
172,0.2285,0.2781,0.3444,0.2616,0.3675,0.3046,0.2351,0.245,0.3278,0.2748,0.3675,0.2285,0.2867
173,0.2285,0.2781,0.3444,0.2616,0.3675,0.3046,0.2351,0.245,0.3278,0.2748,0.3675,0.2285,0.2867
174,0.2285,0.2781,0.3444,0.2616,0.3675,0.3046,0.2351,0.245,0.3278,0.2748,0.3675,0.2285,0.2867
175,0.2285,0.2781,0.3444,0.2616,0.3675,0.3046,0.2351,0.245,0.3278,0.2748,0.3675,0.2285,0.2867
176,0.2285,0.2781,0.3444,0.2616,0.3675,0.3046,0.2351,0.245,0.3278,0.2748,0.3675,0.2285,0.2867
177,0.2285,0.2781,0.3444,0.2715,0.3675,0.3046,0.2351,0.245,0.3278,0.2748,0.3675,0.2285,0.2877
178,0.2285,0.2781,0.3444,0.2781,0.3742,0.3046,0.2583,0.245,0.3278,0.2748,0.3742,0.2285,0.2914
179,0.2285,0.2781,0.3444,0.2815,0.3742,0.3046,0.2583,0.245,0.3278,0.2748,0.3742,0.2285,0.2917
180,0.2285,0.2781,0.3444,0.2815,0.3742,0.3046,0.2583,0.245,0.3278,0.2748,0.3742,0.2285,0.2917
181,0.2285,0.2781,0.3444,0.2914,0.3742,0.3046,0.2583,0.245,0.3278,0.2748,0.3742,0.2285,0.2927
182,0.2285,0.2781,0.3477,0.2914,0.3742,0.3046,0.2583,0.245,0.3278,0.2748,0.3742,0.2285,0.293
183,0.2285,0.2781,0.3477,0.2914,0.3742,0.3046,0.2583,0.2517,0.3278,0.2748,0.3742,0.2285,0.2937
184,0.2285,0.2781,0.3477,0.3411,0.3742,0.3046,0.2583,0.2517,0.3278,0.2748,0.3742,0.2285,0.2987
185,0.2285,0.2781,0.3477,0.3411,0.3742,0.3046,0.2583,0.2517,0.3278,0.2748,0.3742,0.2285,0.2987
186,0.2285,0.2781,0.3477,0.3411,0.3742,0.3046,0.2583,0.2517,0.3278,0.2748,0.3742,0.2285,0.2987
