timestamp,legacy_cs4231a9,legacy_cs4231a6,legacy_cs4231a1,legacy_cs4231a2,legacy_cs4231a5,legacy_cs4231a3,legacy_cs4231a7,legacy_cs4231a4,legacy_cs4231a0,legacy_cs4231a8,max,min,avg
110,0.6353,0.7224,0.6706,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.5647,0.7224,0.5647,0.6562
111,0.6353,0.7224,0.6706,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.5647,0.7224,0.5647,0.6562
112,0.6353,0.7224,0.6706,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.5647,0.7224,0.5647,0.6562
113,0.6353,0.7224,0.6706,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.5647,0.7224,0.5647,0.6562
114,0.6353,0.7224,0.6776,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.5906,0.7224,0.5906,0.6595
115,0.6353,0.7224,0.6776,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.5906,0.7224,0.5906,0.6595
116,0.6353,0.7224,0.6776,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.5906,0.7224,0.5906,0.6595
117,0.6353,0.7224,0.6776,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.5906,0.7224,0.5906,0.6595
118,0.6353,0.7224,0.6918,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.5906,0.7224,0.5906,0.6609
119,0.6635,0.7224,0.6918,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.5906,0.7224,0.5906,0.6638
120,0.6635,0.7224,0.6918,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.5906,0.7224,0.5906,0.6638
121,0.6635,0.7224,0.6918,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.6518,0.7224,0.6,0.6699
122,0.6635,0.7224,0.6918,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.6518,0.7224,0.6,0.6699
123,0.6635,0.7224,0.6918,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.6518,0.7224,0.6,0.6699
124,0.6635,0.7224,0.6918,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.6612,0.7224,0.6,0.6708
125,0.6635,0.7224,0.6988,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.6612,0.7224,0.6,0.6715
126,0.6635,0.7224,0.6988,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.6612,0.7224,0.6,0.6715
127,0.6635,0.7224,0.6988,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.6612,0.7224,0.6,0.6715
128,0.6635,0.7224,0.6988,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.6612,0.7224,0.6,0.6715
129,0.6635,0.7224,0.6988,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.6612,0.7224,0.6,0.6715
130,0.6635,0.7224,0.6988,0.6494,0.6212,0.7153,0.7153,0.6,0.6682,0.6612,0.7224,0.6,0.6715
131,0.6635,0.7224,0.6988,0.6729,0.6212,0.7153,0.7153,0.6,0.6682,0.6612,0.7224,0.6,0.6739
132,0.6635,0.7224,0.6988,0.6729,0.6212,0.7153,0.7153,0.6,0.6682,0.6612,0.7224,0.6,0.6739
133,0.6706,0.7224,0.6988,0.6729,0.6212,0.7153,0.7153,0.6,0.6682,0.6612,0.7224,0.6,0.6746
134,0.6706,0.7224,0.6988,0.6729,0.6212,0.7153,0.7153,0.6,0.6776,0.6612,0.7224,0.6,0.6755
135,0.6706,0.7224,0.6988,0.6729,0.6212,0.7153,0.7153,0.6,0.6776,0.6612,0.7224,0.6,0.6755
136,0.6706,0.7224,0.6988,0.6729,0.6212,0.7153,0.7153,0.6,0.6776,0.6612,0.7224,0.6,0.6755
137,0.6706,0.7224,0.6988,0.68,0.6212,0.7153,0.7153,0.6,0.6776,0.6612,0.7224,0.6,0.6762
138,0.6706,0.7224,0.6988,0.68,0.6212,0.7153,0.7153,0.6,0.6847,0.6612,0.7224,0.6,0.6769
139,0.6706,0.7224,0.6988,0.68,0.6212,0.7153,0.7224,0.6,0.6847,0.6612,0.7224,0.6,0.6777
140,0.6706,0.7294,0.6988,0.68,0.6212,0.7153,0.7224,0.6,0.6847,0.6612,0.7294,0.6,0.6784
141,0.6706,0.7294,0.6988,0.68,0.6212,0.7153,0.7224,0.6,0.6847,0.6612,0.7294,0.6,0.6784
142,0.6706,0.7294,0.6988,0.68,0.6212,0.7153,0.7224,0.6,0.6847,0.6612,0.7294,0.6,0.6784
143,0.6706,0.7294,0.7082,0.68,0.6212,0.7153,0.7224,0.6,0.6847,0.6612,0.7294,0.6,0.6793
144,0.6706,0.7294,0.7082,0.6894,0.6212,0.7153,0.7224,0.6,0.6847,0.6612,0.7294,0.6,0.6802
145,0.6706,0.7294,0.7082,0.6894,0.6212,0.7153,0.7224,0.6,0.6847,0.6612,0.7294,0.6,0.6802
146,0.6706,0.7294,0.7082,0.6894,0.6212,0.7153,0.7224,0.6,0.6847,0.6612,0.7294,0.6,0.6802
147,0.6706,0.7294,0.7082,0.6894,0.6212,0.7153,0.7224,0.6,0.6847,0.6612,0.7294,0.6,0.6802
148,0.6706,0.7294,0.7082,0.6894,0.6212,0.7153,0.7224,0.6,0.6847,0.6612,0.7294,0.6,0.6802
149,0.6706,0.7294,0.7082,0.6894,0.6212,0.7224,0.7224,0.6,0.6847,0.6612,0.7294,0.6,0.681
150,0.6706,0.7294,0.7082,0.6965,0.6212,0.7224,0.7341,0.6,0.6847,0.6612,0.7341,0.6,0.6828
151,0.6706,0.7294,0.7082,0.6965,0.6376,0.7224,0.7341,0.6,0.6847,0.6612,0.7341,0.6,0.6845
152,0.6706,0.7294,0.7082,0.6965,0.6376,0.7224,0.7341,0.6,0.6847,0.6612,0.7341,0.6,0.6845
153,0.6706,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6,0.6847,0.6612,0.7341,0.6,0.6852
154,0.6706,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6,0.6847,0.6612,0.7341,0.6,0.6852
155,0.6706,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6,0.6847,0.6612,0.7341,0.6,0.6852
156,0.6706,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6,0.6847,0.6612,0.7341,0.6,0.6852
157,0.6706,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6,0.6847,0.6612,0.7341,0.6,0.6852
158,0.6706,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6,0.6847,0.6612,0.7341,0.6,0.6852
159,0.6706,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6,0.6847,0.6612,0.7341,0.6,0.6852
160,0.6706,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6,0.6847,0.6612,0.7341,0.6,0.6852
161,0.6941,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6885
162,0.6941,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6885
163,0.6941,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6885
164,0.6941,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6885
165,0.6941,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6885
166,0.6941,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6885
167,0.6941,0.7294,0.7082,0.7035,0.6376,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6885
168,0.6941,0.7294,0.7082,0.7035,0.6447,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6892
169,0.6941,0.7294,0.7082,0.7035,0.6447,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6892
170,0.6941,0.7294,0.7082,0.7035,0.6447,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6892
171,0.6941,0.7294,0.7082,0.7035,0.6447,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6892
172,0.6941,0.7294,0.7082,0.7035,0.6447,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6892
173,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6901
174,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6901
175,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6901
176,0.6941,0.7294,0.7082,0.7035,0.6541,0.7224,0.7341,0.6094,0.6847,0.6612,0.7341,0.6094,0.6901
