timestamp,i825503,i825500,i825505,i825507,i825504,i825506,i825501,i825509,i825502,i825508,max,min,avg
77,0.4259,0.4074,0.3704,0.3681,0.3773,0.3796,0.4653,0.3727,0.4444,0.3519,0.4653,0.3519,0.3963
78,0.4282,0.4074,0.3704,0.3681,0.3773,0.3796,0.4653,0.3727,0.4444,0.3519,0.4653,0.3519,0.3965
79,0.4306,0.4074,0.3704,0.3681,0.3773,0.3796,0.4653,0.3727,0.4491,0.3519,0.4653,0.3519,0.3972
80,0.4306,0.4074,0.3704,0.3681,0.3773,0.3796,0.4653,0.3727,0.4491,0.3519,0.4653,0.3519,0.3972
81,0.4306,0.4074,0.3704,0.3681,0.3773,0.3843,0.4653,0.3727,0.4491,0.3519,0.4653,0.3519,0.3977
82,0.4306,0.4074,0.3727,0.3681,0.3773,0.3843,0.4769,0.3727,0.4491,0.3519,0.4769,0.3519,0.3991
83,0.4306,0.4074,0.3727,0.3681,0.3773,0.3843,0.4769,0.3727,0.4491,0.3519,0.4769,0.3519,0.3991
84,0.4306,0.4074,0.3727,0.3681,0.3773,0.3843,0.4769,0.3727,0.4491,0.3519,0.4769,0.3519,0.3991
85,0.4306,0.4074,0.3727,0.3681,0.3773,0.3843,0.4769,0.3727,0.4491,0.3519,0.4769,0.3519,0.3991
86,0.4329,0.4213,0.3727,0.3681,0.3773,0.3843,0.4792,0.3727,0.4491,0.3519,0.4792,0.3519,0.401
87,0.4329,0.4213,0.3727,0.3681,0.3773,0.3843,0.4792,0.3727,0.4491,0.3519,0.4792,0.3519,0.401
88,0.4329,0.4213,0.3727,0.3681,0.3773,0.3843,0.4792,0.3727,0.4491,0.3519,0.4792,0.3519,0.401
89,0.4329,0.4213,0.3727,0.3681,0.3796,0.3843,0.4792,0.3727,0.4491,0.3935,0.4792,0.3681,0.4053
90,0.4329,0.4213,0.3727,0.3681,0.3796,0.3843,0.4792,0.3727,0.4491,0.3935,0.4792,0.3681,0.4053
91,0.4329,0.4213,0.3727,0.3681,0.3796,0.3843,0.4792,0.3727,0.4491,0.3935,0.4792,0.3681,0.4053
92,0.4329,0.4213,0.3727,0.3681,0.3796,0.3843,0.4792,0.3727,0.4491,0.3935,0.4792,0.3681,0.4053
93,0.4329,0.4213,0.3727,0.3681,0.3796,0.3843,0.4792,0.3727,0.4491,0.3935,0.4792,0.3681,0.4053
94,0.4329,0.4213,0.3727,0.3704,0.3796,0.3843,0.4792,0.3727,0.4491,0.3935,0.4792,0.3704,0.4056
95,0.4329,0.4213,0.3727,0.3704,0.3796,0.3843,0.4792,0.3727,0.4491,0.3935,0.4792,0.3704,0.4056
96,0.4329,0.4213,0.3727,0.3704,0.3796,0.3843,0.4792,0.3727,0.4491,0.3935,0.4792,0.3704,0.4056
97,0.4329,0.4213,0.3727,0.3704,0.3796,0.3843,0.4792,0.3727,0.4491,0.3935,0.4792,0.3704,0.4056
98,0.4329,0.4213,0.3727,0.3704,0.3796,0.3843,0.4792,0.3727,0.4491,0.3958,0.4792,0.3704,0.4058
99,0.4329,0.4213,0.3727,0.3704,0.3796,0.3843,0.4792,0.3727,0.4491,0.3958,0.4792,0.3704,0.4058
100,0.4375,0.4213,0.3727,0.3704,0.3796,0.3843,0.4792,0.375,0.4491,0.3958,0.4792,0.3704,0.4065
101,0.4375,0.4213,0.3727,0.3704,0.3796,0.3843,0.4792,0.375,0.4491,0.3958,0.4792,0.3704,0.4065
102,0.4398,0.4213,0.3727,0.3704,0.3819,0.3843,0.4792,0.375,0.4491,0.3958,0.4792,0.3704,0.407
103,0.4421,0.4213,0.3727,0.3704,0.3819,0.3843,0.4792,0.375,0.4491,0.3958,0.4792,0.3704,0.4072
104,0.4421,0.4213,0.3727,0.3727,0.3819,0.3843,0.4792,0.375,0.4514,0.3958,0.4792,0.3727,0.4076
105,0.4421,0.4213,0.3727,0.375,0.3819,0.3843,0.4792,0.375,0.4514,0.3958,0.4792,0.3727,0.4079
106,0.4421,0.4213,0.375,0.375,0.3843,0.3866,0.4792,0.375,0.4514,0.3958,0.4792,0.375,0.4086
107,0.4421,0.4213,0.375,0.3843,0.3843,0.3866,0.4838,0.375,0.4514,0.3958,0.4838,0.375,0.41
108,0.4421,0.4213,0.375,0.3843,0.3843,0.3866,0.4838,0.375,0.4514,0.3981,0.4838,0.375,0.4102
109,0.4421,0.4213,0.375,0.3843,0.3843,0.3866,0.4861,0.375,0.4514,0.3981,0.4861,0.375,0.4104
110,0.4421,0.4213,0.375,0.3843,0.3866,0.3866,0.4861,0.375,0.4514,0.3981,0.4861,0.375,0.4107
111,0.4421,0.4213,0.375,0.3843,0.4028,0.3866,0.4861,0.375,0.4514,0.3981,0.4861,0.375,0.4123
112,0.4421,0.4213,0.375,0.3843,0.4074,0.3866,0.4861,0.375,0.4514,0.3981,0.4861,0.375,0.4127
113,0.4421,0.4213,0.375,0.3843,0.4074,0.3866,0.4861,0.375,0.4514,0.3981,0.4861,0.375,0.4127
114,0.4421,0.4213,0.375,0.3843,0.4074,0.3866,0.4861,0.375,0.4514,0.3981,0.4861,0.375,0.4127
115,0.4421,0.4213,0.375,0.3843,0.4074,0.3866,0.4861,0.375,0.4514,0.3981,0.4861,0.375,0.4127
116,0.4421,0.4213,0.375,0.3843,0.4074,0.3866,0.4861,0.375,0.4514,0.3981,0.4861,0.375,0.4127
117,0.4421,0.4213,0.375,0.3843,0.4074,0.3866,0.4861,0.375,0.4514,0.3981,0.4861,0.375,0.4127
118,0.4421,0.4213,0.375,0.3843,0.4074,0.3866,0.4861,0.375,0.4514,0.3981,0.4861,0.375,0.4127
119,0.4421,0.4213,0.375,0.3843,0.4074,0.3866,0.4861,0.375,0.4514,0.3981,0.4861,0.375,0.4127
120,0.4421,0.4236,0.375,0.3843,0.419,0.3866,0.4861,0.375,0.4514,0.3981,0.4861,0.375,0.4141
121,0.4421,0.4236,0.375,0.3843,0.419,0.3866,0.4861,0.375,0.4514,0.3981,0.4861,0.375,0.4141
122,0.4676,0.4236,0.375,0.3843,0.419,0.3866,0.4861,0.375,0.4537,0.3981,0.4861,0.375,0.4169
123,0.4676,0.4236,0.375,0.3843,0.419,0.3866,0.4861,0.375,0.4537,0.3981,0.4861,0.375,0.4169
124,0.4676,0.4236,0.375,0.3843,0.4213,0.3866,0.4861,0.3796,0.456,0.3981,0.4861,0.375,0.4178
125,0.4676,0.4236,0.375,0.3843,0.4213,0.3866,0.4861,0.3796,0.456,0.3981,0.4861,0.375,0.4178
